ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	Data
82	OHNK38	[WRC140-001]	20	36.5535323	-81.513874	Jerd Branch	0.009	0.011	0.005	0.005	0.005	0.961	0.004	0.9-1.1-0.5-0.5-0.5-96.1-0.4
83	OHNK39	[WRC141-001]	20	36.2687846	-81.7183243	Jones Branch	0.021	0.017	0.02	0.011	0.101	0.038	0.791	2.1-1.7-2-1.1-10.1-3.8-79.1
84	OHNK4	[WRC122-001]	20	36.1726689	-81.6925992	(C) Winkler Creek (above old Impoundment)	0.057	0.003	0.007	0.008	0.019	0.002	0.903	5.7-0.3-0.7-0.8-1.9-0.2-90.3
85	OHNK40	[WRC142-001]	20	36.5283912	-81.6843392	Kilby Creek	0.043	0.114	0.069	0.015	0.016	0.069	0.674	4.3-11.4-6.9-1.5-1.6-6.9-67.4
87	OHNK42	[WRC145-001]	20	36.424392	-81.197458	Meadow Fork	0.120	0.023	0.02	0.046	0.058	0.069	0.664	12-2.3-2-4.6-5.8-6.9-66.4
89	OHNK44	[WRC148-001]	20	36.2362881	-81.6642773	Norris Branch	0.029	0.044	0.328	0.004	0.177	0.074	0.344	2.9-4.4-32.8-0.4-17.7-7.4-34.4
90	OHNK45	[WRC149-001]	19	36.2825932	-81.6830482	Norris Fork	0.011	0.007	0.013	0.007	0.012	0.11	0.841	1.1-0.7-1.3-0.7-1.2-11-84.1
93	OHNK48	[WRC155-001]	20	36.3041046	-81.650166	Rittle Fork	0.009	0.005	0.02	0.004	0.020	0.007	0.936	0.9-0.5-2-0.4-2-0.7-93.6
94	OHNK49	[WRC157-001]	20	36.5053588	-81.5980255	Roaring Branch	0.069	0.035	0.036	0.077	0.014	0.096	0.674	6.9-3.5-3.6-7.7-1.4-9.6-67.4
95	OHNK5	[WRC123-001]	20	36.1752544	-81.6899697	(C) Winkler Creek (between old & new impoundments)	0.063	0.006	0.012	0.008	0.018	0.036	0.858	6.3-0.6-1.2-0.8-1.8-3.6-85.8
96	OHNK50	[WRC158-001]	20	36.5147638	-81.653585	Roaring Fork	0.020	0.287	0.026	0.08	0.011	0.511	0.066	2-28.7-2.6-8-1.1-51.1-6.6
98	OHNK52	[WRC160-001]	20	36.455572	-81.697383	Roundabout Creek	0.023	0.046	0.051	0.029	0.017	0.538	0.295	2.3-4.6-5.1-2.9-1.7-53.8-29.5
99	OHNK53	[WRC162-001]	20	36.3749868	-81.5996959	Skin Camp Branch	0.005	0.006	0.174	0.005	0.022	0.003	0.784	0.5-0.6-17.4-0.5-2.2-0.3-78.4
100	OHNK54	[WRC163-001]	20	36.354175	-81.676697	Snyder Branch	0.017	0.022	0.035	0.009	0.009	0.299	0.61	1.7-2.2-3.5-0.9-0.9-29.9-61
102	OHNK56	[WRC166-001]	19	36.146241	-81.647147	UT Aho Branch	0.042	0.01	0.016	0.005	0.013	0.193	0.72	4.2-1-1.6-0.5-1.3-19.3-72
103	OHNK57	[WRC169-001]	20	36.547918	-81.6603131	UT Big Laurel Creek ( Below Flatwood )	0.026	0.069	0.212	0.007	0.024	0.133	0.529	2.6-6.9-21.2-0.7-2.4-13.3-52.9
104	OHNK58	[WRC170-001]	20	36.5547494	-81.6693876	UT Big Laurel Creek ( Denny Hollow )	0.034	0.046	0.026	0.005	0.076	0.297	0.515	3.4-4.6-2.6-0.5-7.6-29.7-51.5
105	OHNK59	[WRC171-001]	20	36.395783	-81.531642	UT Buffalo Creek (@ Buck Mtn.)	0.006	0.018	0.016	0.009	0.013	0.021	0.917	0.6-1.8-1.6-0.9-1.3-2.1-91.7
106	OHNK6	[WRC124-001]	20	36.3573423	-81.6159101	Bald Fork	0.006	0.003	0.004	0.003	0.019	0.003	0.964	0.6-0.3-0.4-0.3-1.9-0.3-96.4
110	OHNK63	[WRC176-001]	20	36.139162	-81.6672204	UT Middle Fork New River (@substation)	0.027	0.01	0.012	0.009	0.015	0.05	0.877	2.7-1-1.2-0.9-1.5-5-87.7
111	OHNK64	[WRC178-001]	20	36.4802743	-81.4765576	UT North Fork New River	0.053	0.116	0.048	0.005	0.008	0.17	0.601	5.3-11.6-4.8-0.5-0.8-17-60.1
112	OHNK65	[WRC179-001]	20	36.42683	-81.613394	UT North Fork New River (@ Creston)	0.024	0.026	0.03	0.007	0.015	0.26	0.639	2.4-2.6-3-0.7-1.5-26-63.9
113	OHNK66	[WRC183-001]	20	36.332893	-81.4599757	UT South Fork New River	0.018	0.012	0.011	0.009	0.039	0.11	0.802	1.8-1.2-1.1-0.9-3.9-11-80.2
115	OHNK68	[WRC187-001]	19	36.4039791	-81.2784303	Wolf Branch	0.034	0.009	0.013	0.023	0.030	0.136	0.754	3.4-0.9-1.3-2.3-3-13.6-75.4
116	OHNK69	[D701-001]	22	36.3169623	-81.7013383	UT Meat Camp Creek	0.043	0.006	0.011	0.01	0.010	0.014	0.906	4.3-0.6-1.1-1-1-1.4-90.6
117	OHNK7	[WRC126-001]	20	36.5626706	-81.6665957	Big Laurel Creek	0.044	0.159	0.035	0.018	0.067	0.207	0.471	4.4-15.9-3.5-1.8-6.7-20.7-47.1
119	OHNK71	[D703-001]	24	36.1541123	-81.6276005	Aho Branch	0.014	0.004	0.006	0.005	0.012	0.002	0.957	1.4-0.4-0.6-0.5-1.2-0.2-95.7
120	OHNK8	[WRC130-001]	20	36.2638257	-81.5339435	Cranberry Creek	0.008	0.003	0.007	0.007	0.013	0.006	0.957	0.8-0.3-0.7-0.7-1.3-0.6-95.7
121	OHNK9	[WRC132-001]	20	36.2838079	-81.4351735	East Fork Pine Swamp Creek	0.008	0.004	0.01	0.005	0.021	0.006	0.946	0.8-0.4-1-0.5-2.1-0.6-94.6
122	PFBNC124	[WRC336-001]	20	36.3592958	-81.719256	UT Hoskins Fork	0.030	0.131	0.02	0.013	0.052	0.303	0.451	3-13.1-2-1.3-5.2-30.3-45.1
123	PFBNC76	[WRC332-001]	20	36.3083612	-81.6702018	Little Creek	0.020	0.02	0.014	0.033	0.019	0.046	0.848	2-2-1.4-3.3-1.9-4.6-84.8
124	SnakeCreek	[VA12-001]	20	36.678723	-80.657286	Snake Creek	0.005	0.006	0.054	0.004	0.006	0.005	0.92	0.5-0.6-5.4-0.4-0.6-0.5-92
125	StandrockBranch	[VA13-001]	20	37.196585	-80.893499	Standrock Branch	0.006	0.029	0.046	0.016	0.018	0.047	0.838	0.6-2.9-4.6-1.6-1.8-4.7-83.8
126	ToryCreek	[VA14-001]	18	36.744527	-80.493856	Tory Creek	0.008	0.003	0.007	0.005	0.008	0.003	0.965	0.8-0.3-0.7-0.5-0.8-0.3-96.5
128	GA13	[GA13-001]	30	34.769548	-84.033267	Bryant Creek	0.007	0.006	0.005	0.002	0.032	0.012	0.936	0.7-0.6-0.5-0.2-3.2-1.2-93.6
129	GA14	[GA14-001]	40	34.767345	-83.993942	Logan Creek	0.011	0.003	0.003	0.002	0.010	0.004	0.968	1.1-0.3-0.3-0.2-1-0.4-96.8
130	GCS1	[LR_2013_121]	29	35.591956	-83.516187	Grouse Creek Site 1	0.963	0.003	0.011	0.004	0.008	0.003	0.008	96.3-0.3-1.1-0.4-0.8-0.3-0.8
131	GPS1	[FC_2014_001]	40	35.594153	-83.561233	Goshen Prong Site 1	0.959	0.004	0.006	0.003	0.014	0.003	0.011	95.9-0.4-0.6-0.3-1.4-0.3-1.1
132	GPS4	[FC_2014_096]	50	35.5834	-83.544	Goshen Prong Site 4	0.959	0.005	0.006	0.003	0.015	0.005	0.008	95.9-0.5-0.6-0.3-1.5-0.5-0.8
133	GRSML1	[GRSML1-001]	48	35.591	-83.5744	Fish Camp Run	0.960	0.003	0.012	0.003	0.007	0.003	0.012	96-0.3-1.2-0.3-0.7-0.3-1.2
136	GRSML22	[GS35-001]	30	35.62383817	-83.64181971	Marks Creek	0.968	0.002	0.01	0.003	0.005	0.003	0.009	96.8-0.2-1-0.3-0.5-0.3-0.9
137	GRSML3	[GRSML3-001]	35	35.5879	-83.6316	Indian Flats	0.508	0.033	0.1	0.025	0.014	0.302	0.017	50.8-3.3-10-2.5-1.4-30.2-1.7
138	GRSML4	[GRSML4-001]	49	35.6509	-83.6281	Mannis Branch	0.976	0.004	0.004	0.002	0.004	0.007	0.003	97.6-0.4-0.4-0.2-0.4-0.7-0.3
139	GRSML5	[GRSML5-001]	24	35.5899	-83.5662	Silers's Creek	0.966	0.003	0.013	0.003	0.005	0.005	0.006	96.6-0.3-1.3-0.3-0.5-0.5-0.6
140	GRSML6	[GRSML6-1001]	76	35.5899	-83.5662	Silers's Creek (4,9,10)	0.968	0.003	0.011	0.003	0.005	0.005	0.006	96.8-0.3-1.1-0.3-0.5-0.5-0.6
142	GRSMP1	[GRSMP1-001]	47	35.6521	-83.1689	Lost Bottoms	0.970	0.003	0.003	0.003	0.012	0.004	0.005	97-0.3-0.3-0.3-1.2-0.4-0.5
143	GRSMP10	[GRSMP10-001]	21	35.62527	-83.47016	Road Prong	0.852	0.005	0.005	0.003	0.104	0.024	0.007	85.2-0.5-0.5-0.3-10.4-2.4-0.7
144	GRSMP11	[GRSMP11-001]	34	35.75969	-83.19495	Tom?s Creek	0.966	0.008	0.005	0.006	0.003	0.009	0.004	96.6-0.8-0.5-0.6-0.3-0.9-0.4
145	GRSMP12	[GRSMP12-001]	32	35.7389	-83.2783	Indian Camp Creek	0.982	0.003	0.003	0.002	0.004	0.003	0.002	98.2-0.3-0.3-0.2-0.4-0.3-0.2
146	GRSMP13	[GRSMP13-001]	25	35.67001	-83.09951	Little Cataloochee Creek	0.981	0.002	0.002	0.002	0.006	0.003	0.004	98.1-0.2-0.2-0.2-0.6-0.3-0.4
147	GRSMP14	[GRSMP14-001]	28	35.6767	-83.08874	Correll Branch	0.980	0.003	0.004	0.002	0.005	0.002	0.003	98-0.3-0.4-0.2-0.5-0.2-0.3
148	GRSMP16	[GRSMP16-001]	40	35.7608	-83.19703	Toms Creek	0.947	0.01	0.006	0.003	0.004	0.026	0.004	94.7-1-0.6-0.3-0.4-2.6-0.4
149	GRSMP17	[GRSMP17-009]	16	35.76479	-83.25353	Greenbrier Creek	0.979	0.003	0.004	0.003	0.005	0.003	0.004	97.9-0.3-0.4-0.3-0.5-0.3-0.4
150	GRSMP18	[GRSMP18-009]	16	35.73785	-83.27838	Indian Camp Creek	0.982	0.003	0.004	0.003	0.004	0.003	0.002	98.2-0.3-0.4-0.3-0.4-0.3-0.2
152	GRSMP2	[GRSMP2-001]	32	35.7671	-83.2023	Cosby Creek	0.952	0.009	0.006	0.006	0.007	0.014	0.005	95.2-0.9-0.6-0.6-0.7-1.4-0.5
153	GRSMP20	[GS34-001]	30	35.62745	-83.40842	Kephart Branch	0.851	0.035	0.007	0.006	0.028	0.069	0.005	85.1-3.5-0.7-0.6-2.8-6.9-0.5
157	GRSMP24	[GS37-001]	30	35.62274826	-83.42144591	Walker Camp Prong	0.485	0.032	0.007	0.006	0.096	0.364	0.011	48.5-3.2-0.7-0.6-9.6-36.4-1.1
158	GRSMP25	[GS38-001]	28	35.7456837	-83.215988	Rock Creek	0.979	0.003	0.005	0.002	0.004	0.003	0.004	97.9-0.3-0.5-0.2-0.4-0.3-0.4
159	GRSMP26	[GS39-001]	30	35.69511594	-83.32153141	Buck Fork	0.016	0.005	0.012	0.031	0.925	0.003	0.007	1.6-0.5-1.2-3.1-92.5-0.3-0.7
160	GRSMP27	[GS43-001]	30	35.69182448	-83.31598851	Chapman Prong	0.007	0.003	0.007	0.003	0.974	0.002	0.004	0.7-0.3-0.7-0.3-97.4-0.2-0.4
162	GRSMP29	[GS55-002]	30	35.64431163	-83.0726446	Winding Stair	0.982	0.002	0.004	0.002	0.004	0.002	0.003	98.2-0.2-0.4-0.2-0.4-0.2-0.3
163	GRSMP3	[GRSMP3-033]	48	35.7671	-83.2023	Cosby Creek	0.943	0.01	0.007	0.009	0.008	0.018	0.006	94.3-1-0.7-0.9-0.8-1.8-0.6
164	GRSMP30	[GS56-002]	30	35.59985518	-83.1308236	Hurricane Creek	0.909	0.014	0.004	0.01	0.005	0.05	0.009	90.9-1.4-0.4-1-0.5-5-0.9
165	GRSMP31	[GS57-002]	30	35.6021498	-83.16291579	Bear Branch	0.972	0.005	0.004	0.003	0.005	0.005	0.007	97.2-0.5-0.4-0.3-0.5-0.5-0.7
166	GRSMP32	[GS58-002]	30	35.67181836	-83.13536468	Pretty Hollow	0.978	0.003	0.004	0.003	0.004	0.002	0.006	97.8-0.3-0.4-0.3-0.4-0.2-0.6
167	GRSMP33	[GS59-002]	30	35.60188	-83.16237872	Horse Creek	0.975	0.003	0.003	0.002	0.006	0.003	0.007	97.5-0.3-0.3-0.2-0.6-0.3-0.7
168	GRSMP34	[GS60-002]	30	35.61488345	-83.14599307	Messer Branch	0.868	0.049	0.005	0.013	0.011	0.037	0.017	86.8-4.9-0.5-1.3-1.1-3.7-1.7
169	GRSMP35	[GS61-002]	29	35.61336491	-83.0939906	Sag Branch	0.961	0.005	0.004	0.006	0.005	0.013	0.006	96.1-0.5-0.4-0.6-0.5-1.3-0.6
170	GRSMP36	[GS62-002]	29	35.57193744	-83.12570343	Caldwell Fork	0.939	0.011	0.005	0.004	0.010	0.021	0.01	93.9-1.1-0.5-0.4-1-2.1-1
171	GRSMP37	[GS63-002]	30	35.67180283	-83.13877789	Onion Bed	0.972	0.003	0.003	0.003	0.006	0.002	0.011	97.2-0.3-0.3-0.3-0.6-0.2-1.1
172	GRSMP38	[GS64-002]	30	35.57635336	-83.12628358	Straight Creek	0.947	0.005	0.004	0.004	0.017	0.008	0.016	94.7-0.5-0.4-0.4-1.7-0.8-1.6
173	GRSMP39	[GS65-002]	30	35.59419869	-83.0987225	McKee Branch	0.908	0.015	0.006	0.005	0.024	0.027	0.014	90.8-1.5-0.6-0.5-2.4-2.7-1.4
174	GRSMP4	[GRSMP4-001]	28	35.7643	-83.2526	Greenbrier Creek	0.984	0.003	0.003	0.002	0.003	0.003	0.003	98.4-0.3-0.3-0.2-0.3-0.3-0.3
175	GRSMP5	[GRSMP5-035]	27	35.7643	-83.2526	Greenbrier Creek	0.984	0.003	0.003	0.002	0.003	0.003	0.003	98.4-0.3-0.3-0.2-0.3-0.3-0.3
176	GRSMP6	[GRSMP6-001]	33	35.7389	-83.2783	Indian Camp Creek	0.959	0.013	0.005	0.003	0.006	0.01	0.003	95.9-1.3-0.5-0.3-0.6-1-0.3
177	GRSMP8	[GRSMP8-001]	25	35.7671	-83.2023	Cosby Creek	0.960	0.007	0.008	0.006	0.006	0.008	0.005	96-0.7-0.8-0.6-0.6-0.8-0.5
178	GRSMP9	[GRSMP9-001]	34	35.7643	-83.2526	Greenbrier Creek	0.984	0.003	0.003	0.002	0.003	0.002	0.003	98.4-0.3-0.3-0.2-0.3-0.2-0.3
179	GRSMT1	[GRSMT1-001]	49	35.5563	-83.1677	Bunches Creek	0.112	0.003	0.009	0.003	0.852	0.004	0.017	11.2-0.3-0.9-0.3-85.2-0.4-1.7
