ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	Data
136	GRSML22	GS35-001	30	35.62383817	-83.64181971	Marks Creek	1	0	0	0	100-0-0-0
137	GRSML3	GRSML3-001	35	35.5879	-83.6316	Indian Flats	0.872828571	0.040571429	0.004057143	0.082457143	87.3-4.1-0.4-8.2
138	GRSML4	GRSML4-001	49	35.6509	-83.6281	Mannis Branch	1	0	0	0	100-0-0-0
139	GRSML5	GRSML5-001	24	35.5899	-83.5662	Silers's Creek	0.999833333	0	0.000166667	0	100-0-0-0
140	GRSML6	GRSML6-1001	76	35.5899	-83.5662	Silers's Creek (4,9,10)	0.999855263	0	0.000144737	0	100-0-0-0
142	GRSMP1	GRSMP1-001	47	35.6521	-83.1689	Lost Bottoms	1	0	0	0	100-0-0-0
143	GRSMP10	GRSMP10-001	21	35.62527	-83.47016	Road Prong	1	0	0	0	100-0-0-0
144	GRSMP11	GRSMP11-001	34	35.75969	-83.19495	Tom?s Creek	1	0	0	0	100-0-0-0
145	GRSMP12	GRSMP12-001	32	35.7389	-83.2783	Indian Camp Creek	1	0	0	0	100-0-0-0
146	GRSMP13	GRSMP13-001	25	35.67001	-83.09951	Little Cataloochee Creek	1	0	0	0	100-0-0-0
147	GRSMP14	GRSMP14-001	28	35.6767	-83.08874	Correll Branch	1	0	0	0	100-0-0-0
148	GRSMP16	GRSMP16-001	40	35.7608	-83.19703	Toms Creek	1	0	0	0	100-0-0-0
149	GRSMP17	GRSMP17-009	16	35.76479	-83.25353	Greenbrier Creek	0.999	0	0.001	0	99.9-0-0.1-0
150	GRSMP18	GRSMP18-009	16	35.73785	-83.27838	Indian Camp Creek	1	0	0	0	100-0-0-0
152	GRSMP2	GRSMP2-001	32	35.7671	-83.2023	Cosby Creek	1	0	0	0	100-0-0-0
153	GRSMP20	GS34-001	30	35.62745	-83.40842	Kephart Branch	0.999933333	0	6.67E-05	0	100-0-0-0
157	GRSMP24	GS37-001	30	35.62274826	-83.42144591	Walker Camp Prong	0.5664	0.013266667	0.051766667	0.368533333	56.6-1.3-5.2-36.9
158	GRSMP25	GS38-001	28	35.7456837	-83.215988	Rock Creek	1	0	0	0	100-0-0-0
159	GRSMP26	GS39-001	30	35.69511594	-83.32153141	Buck Fork	0.059666667	0.033166667	0.907166667	0	6-3.3-90.7-0
160	GRSMP27	GS43-001	30	35.69182448	-83.31598851	Chapman Prong	0.029033333	0	0.970966667	0	2.9-0-97.1-0
162	GRSMP29	GS55-002	30	35.64431163	-83.0726446	Winding Stair	1	0	0	0	100-0-0-0
163	GRSMP3	GRSMP3-033	48	35.7671	-83.2023	Cosby Creek	0.99975	8.33E-05	0.000166667	0	100-0-0-0
164	GRSMP30	GS56-002	30	35.59985518	-83.1308236	Hurricane Creek	0.9976	0	0.000266667	0.002133333	99.8-0-0-0.2
165	GRSMP31	GS57-002	30	35.6021498	-83.16291579	Bear Branch	1	0	0	0	100-0-0-0
166	GRSMP32	GS58-002	30	35.67181836	-83.13536468	Pretty Hollow	1	0	0	0	100-0-0-0
167	GRSMP33	GS59-002	30	35.60188	-83.16237872	Horse Creek	0.9999	0	1.00E-04	0	100-0-0-0
168	GRSMP34	GS60-002	30	35.61488345	-83.14599307	Messer Branch	0.999866667	3.33E-05	1.00E-04	0	100-0-0-0
169	GRSMP35	GS61-002	29	35.61336491	-83.0939906	Sag Branch	1	0	0	0	100-0-0-0
170	GRSMP36	GS62-002	29	35.57193744	-83.12570343	Caldwell Fork	0.997827586	0	0.002172414	0	99.8-0-0.2-0
171	GRSMP37	GS63-002	30	35.67180283	-83.13877789	Onion Bed	0.970966667	0	0.029033333	0	97.1-0-2.9-0
172	GRSMP38	GS64-002	30	35.57635336	-83.12628358	Straight Creek	0.995133333	0	0.004866667	0	99.5-0-0.5-0
173	GRSMP39	GS65-002	30	35.59419869	-83.0987225	McKee Branch	0.999633333	0	0.000366667	0	100-0-0-0
174	GRSMP4	GRSMP4-001	28	35.7643	-83.2526	Greenbrier Creek	1	0	0	0	100-0-0-0
175	GRSMP5	GRSMP5-035	27	35.7643	-83.2526	Greenbrier Creek	1	0	0	0	100-0-0-0
176	GRSMP6	GRSMP6-001	33	35.7389	-83.2783	Indian Camp Creek	0.999575758	0	0.000424242	0	100-0-0-0
177	GRSMP8	GRSMP8-001	25	35.7671	-83.2023	Cosby Creek	1	0	0	0	100-0-0-0
178	GRSMP9	GRSMP9-001	34	35.7643	-83.2526	Greenbrier Creek	1	0	0	0	100-0-0-0
179	GRSMT1	GRSMT1-001	49	35.5563	-83.1677	Bunches Creek	0.07255102	0	0.92744898	0	7.3-0-92.7-0
180	GRSMT2	GRSMT2-001	50	35.5667	-83.18	Flatt Creek	0.14836	0	0.85164	0	14.8-0-85.2-0
181	GRSMT22	GS36-001	28	35.61986728	-83.23039471	Hyatt Creek	0	0	0.999964286	0	0-0-100-0
182	GRSMT23	GS40-001	29	35.58476105	-83.42515628	RF Deep Creek	0	0	1	0	0-0-100-0
183	GRSMT24	GS41-001	30	35.58503691	-83.42667635	Sahlee Creek	0	0	1	0	0-0-100-0
184	GRSMT25	GS42-001	30	35.55528252	-83.47670642	Noland Creek	0	0	1	0	0-0-100-0
185	GRSMT26	GS44-001	31	35.49706343	-83.65659546	Cold Springs Branch	0	0	1	0	0-0-100-0
186	GRSMT27	GS45-001	30	35.51194438	-83.69720183	Haw Gap Branch	0	0	1	0	0-0-100-0
187	GRSMT28	GS46-001	29	35.54112558	-83.67636608	Desolation Branch	0	0	1	0	0-0-100-0
188	GRSMT29	GS47-001	30	35.54053482	-83.6708987	Defeat Branch	0	0	1	0	0-0-100-0
189	GRSMT3	GRSMT3-001	40	35.5341	-83.5446	Huggin's Creek	0.003825	0.00115	0.84735	0.147625	0.4-0.1-84.7-14.8
190	GRSMT30	GS49-002	30	35.62001761	-83.33050789	Louie Camp Branch	0	0	1	0	0-0-100-0
191	GRSMT31	GS50-002	30	35.61226789	-83.26422737	Enloe Creek	0.001633333	0.068633333	0.929533333	0.000166667	0.2-6.9-93-0
192	GRSMT32	GS51-002	30	35.62431103	-83.32617226	Bearwallow Branch	0.034233333	0.0144	0.9501	0.001233333	3.4-1.4-95-0.1
193	GRSMT33	GS52-002	30	35.63332387	-83.32996679	Chasm Prong	1.00E-04	0	0.9999	0	0-0-100-0
194	GRSMT34	GS53-001	30	35.64340742	-83.25582982	R. Fork Raven Fork	0.007333333	0.004433333	0.987733333	5.00E-04	0.7-0.4-98.8-0.1
195	GRSMT35	GS54-002	30	35.64491771	-83.32894523	Gulf Prong	6.67E-05	0	0.9999	0	0-0-100-0
197	GRSMT5	GRSMT5-001	47	35.4858	-83.5926	Bear Creek	0.002021277	0.000553191	0.978510638	0.018787234	0.2-0.1-97.9-1.9
198	GRSMT6	GRSMT6-001	25	35.58628	-83.36516	Kanati Fork	0	0	1	0	0-0-100-0
199	GRSMT7	GRSMT7-001	22	35.59933	-83.39906	Aden Branch	0	0	1	0	0-0-100-0
200	L2S1	FC_2014_238	50	35.57905	-83.578	Lean-to Site 1	0.99998	0	2.00E-05	0	100-0-0-0
201	LRS1	LR_2013_001	30	35.592602	-83.511766	Little River Site 1	0.999933333	0	6.67E-05	0	100-0-0-0
202	LTGA11	GA11-001	30	34.946254	-83.453083	Keener Creek	0.001533333	0	0.998466667	0	0.2-0-99.8-0
203	LTNC10	WRC113-001	20	35.0511015	-83.308477	UT Tessentee Creek	0	0	1	0	0-0-100-0
204	LTNC100	WRC091-001	20	35.2377037	-84.0580182	(A) Tipton Creek (incl. trib.)	0	0	0.99825	0.0017	0-0-99.8-0.2
205	LTNC101	WRC092-001	20	35.0634056	-83.2739161	Bennies Branch	0.0258	0.00015	0.8973	0.07665	2.6-0-89.7-7.7
206	LTNC102	WRC093-001	20	35.089675	-83.189961	Big Creek	0.05195	0.0026	0.73005	0.2153	5.2-0.3-73-21.5
207	LTNC103	WRC095-001	20	35.1016582	-83.2430469	Brush Creek	0.0242	1.00E-04	0.7275	0.2482	2.4-0-72.8-24.8
208	LTNC104	WRC096-001	20	35.2257112	-83.2384502	Bryson Branch	0.00015	0	0.99985	0	0-0-100-0
209	LTNC105	WRC098-001	20	35.1037626	-83.2902498	Crow Creek	0.0044	0	0.04365	0.9519	0.4-0-4.4-95.2
211	LTNC107	WRC380A-001	33	35.2204377	-83.0327662	Flat Creek (above falls)	0.612636364	0.055545455	0.272969697	0.058818182	61.3-5.6-27.3-5.9
212	LTNC108	WRC381-001	19	35.2568349	-82.9362342	Pinhook Creek (below falls)	0.392842105	0	0.607157895	0	39.3-0-60.7-0
213	LTNC109	D901-001	35	35.289958	-83.293475	Bettys Branch	0	0	1	0	0-0-100-0
214	LTNC11	WRC293-001	20	35.1970383	-82.9847656	Bracken Creek	0.26845	0.10775	0.01585	0.608	26.8-10.8-1.6-60.8
215	LTNC110	D902-001	20	35.282125	-83.265064	Tatham Creek	0	0	1	0	0-0-100-0
216	LTNC111	D903-001	30	35.248756	-83.267727	Shell Branch	0.000133333	0	0.999866667	0	0-0-100-0
217	LTNC112	D906-001	39	35.302122	-83.372431	Huckleberry Creek	0.028589744	0	0.971410256	0	2.9-0-97.1-0
218	LTNC113	D907-001	36	35.302543	-83.341682	Beasley Creek	0.001527778	0	0.998472222	0	0.2-0-99.8-0
219	LTNC12	WRC295-001	20	35.2826209	-82.9853557	Charley Creek	0.0092	0.00205	0.9874	0.00135	0.9-0.2-98.7-0.1
220	LTNC13	WRC296-001	20	35.2201	-82.95806	Cold Creek	0.00055	0.05995	0.4927	0.4466	0.1-6-49.3-44.7
221	LTNC14	WRC302-001	20	35.2028632	-83.1893383	Gem Creek	0.0075	1.00E-04	0.9922	2.00E-04	0.8-0-99.2-0
222	LTNC15	WRC306-001	20	35.2788805	-83.0250111	Jeff Creek	0.1072	0	0.8928	0	10.7-0-89.3-0
223	LTNC16	WRC308-001	20	35.2016225	-83.2125065	Little Pine Creek	0.00385	0.00135	0.52585	0.46885	0.4-0.1-52.6-46.9
224	LTNC17	WRC310-001	20	35.2564608	-83.1336517	Mill Creek	0.00065	3.00E-04	0.99825	8.00E-04	0.1-0-99.8-0.1
225	LTNC18	WRC311-001	20	35.167814	-83.1852347	Mill Creek	0.00495	0.00235	0.482	0.5106	0.5-0.2-48.2-51.1
226	LTNC19	WRC318-001	20	35.2766748	-83.0144098	Sols Creek	0.03935	0.00495	0.7335	0.2222	3.9-0.5-73.4-22.2
227	LTNC2	NC02-001	42	35.48692	-83.18631	Soco Creek	0.038095238	0	0.961904762	0	3.8-0-96.2-0
229	LTNC21	WRC322-001	20	35.2096888	-83.1164218	Trout Creek	0.0094	0.2939	0.00955	0.68715	0.9-29.4-1-68.7
230	LTNC22	WRC119-001	20	35.2551992	-83.5906381	UT Otter Creek	0.5921	0	0.4079	0	59.2-0-40.8-0
231	LTNC23	WRC022-001	20	35.254525	-83.966819	(C) Sassafras Creek (incl. trib.)	0	0	1	0	0-0-100-0
232	LTNC24	WRC120-001	20	35.023508	-83.487356	Yellow Patch Branch	0.3061	0.00135	0.64085	0.05155	30.6-0.1-64.1-5.2
233	LTNC25	WRC023-001	20	35.2455342	-83.8856125	Bear Creek	0	0	1	0	0-0-100-0
234	LTNC26	WRC025-001	20	35.3259869	-83.9640204	Wright Creek	5.00E-05	0	0.99995	0	0-0-100-0
235	LTNC27	NC04-001	40	35.5288	-83.1922	Madcap Branch	2.50E-05	0	0.999975	0	0-0-100-0
236	LTNC28	NC05-001	39	35.4902	-83.2151	Jenkin's Creek	0.074	2.56E-05	0.925948718	0	7.4-0-92.6-0
237	LTNC29	NC06-001	24	35.4995	-83.1746	Rough Branch	0.288083333	0	0.595958333	0.115916667	28.8-0-59.6-11.6
238	LTNC3	NC03-001	40	35.52025	-83.22418	Big Witch Creek	0.121875	0	0.861075	0.017025	12.2-0-86.1-1.7
240	LTNC31	WRC376-001	40	35.26218	-84.04492	Tellico River	0	0	1	0	0-0-100-0
241	LTNC32	WRC377-001	34	35.25168	-84.0299	Round Mountain Branch	0.000235294	0	0.999764706	0	0-0-100-0
242	LTNC33	WRC378-001	31	35.27757	-83.99892	Snowbird Creek	0.000225806	0	0.999774194	0	0-0-100-0
245	LTNC36	WRC384-001	28	35.384962	-83.079766	Dark Ridge Creek	0.000857143	0	0.99725	0.001892857	0.1-0-99.7-0.2
246	LTNC37	WRC109-001	19	35.39795	-83.993239	Slickrock Creek	0	0	0.980315789	0.019684211	0-0-98-2
247	LTNC38	WRC100-001	20	35.051127	-83.4433848	Henson Creek	0.0225	0	0.9775	0	2.3-0-97.8-0
248	LTNC39	WRC103-001	20	35.3365644	-83.4061966	Little Laurel Creek (trib. of Alarka Cr.)	0	0	1	0	0-0-100-0
250	LTNC40	WRC105-001	20	35.0812545	-83.2460064	Long Branch	0.29715	0.0225	0.25435	0.4261	29.7-2.3-25.4-42.6
