ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	Data
45	OHGK6	OHGK6-001	19	38.57618	-79.70156	Long Run	0.938526316	0.061473684	93.9-6.1
46	OHGK7	OHGK7-001	22	38.51356	-79.7221	Little River	0.937818182	0.062181818	93.8-6.2
47	OHGK8	OHGK8-001	29	37.96923	-80.29571	Laurel Run	0.087793103	0.912206897	8.8-91.2
49	OHGN1	OHGN1-001	30	38.2026	-80.37271	NF Cherry River	0.921166667	0.078833333	92.1-7.9
51	OHNK1	OHNK1-001	30	37.91433	-81.02081	Buffalo Creek	0.4171	0.5829	41.7-58.3
52	OHNK10	WRC134-001	20	36.4267603	-81.453945	Ezra Fork	0.9818	0.0182	98.2-1.8
53	OHNK11	WRC137-001	20	36.4493635	-81.0835415	Glade Creek	0.99985	0.00015	100-0
54	OHNK12	WRC144-001	20	36.5569233	-81.6234242	Little Horse Creek	1	0	100-0
55	OHNK13	WRC146-001	20	36.3196431	-81.6919865	Meat Camp Creek	1	0	100-0
57	OHNK15	WRC151-001	20	36.3279872	-81.6367979	Pine Orchard Creek	1	0	100-0
58	OHNK16	WRC153-001	20	36.4215314	-81.2530259	Reeves Branch	0.843	0.157	84.3-15.7
60	OHNK18	WRC165-001	20	36.255907	-81.7003412	Trivett Branch	1	0	100-0
61	OHNK19	WRC167-001	20	36.583253	-81.630069	UT Big Horse Creek (above Ripshin Branch at Va. state line)	1	0	100-0
63	OHNK20	WRC168-001	20	36.5258384	-81.6704962	UT Big Laurel Creek ( Above Beaverponds )	0.9402	0.0598	94-6
64	OHNK21	WRC172-001	20	36.4275894	-81.285759	UT Cranberry Creek	0.99995	5.00E-05	100-0
65	OHNK22	WRC177-001	20	36.1687212	-81.6486848	UT Middle Fork New River (@Tweetsie RR)	0.9998	2.00E-04	100-0
66	OHNK23	WRC180-001	20	36.3346989	-81.5191582	UT Old Fields Creek	1	0	100-0
67	OHNK24	WRC181-001	20	36.318367	-81.6350545	UT Pine Orchard Creek	0.9998	2.00E-04	100-0
68	OHNK25	WRC184-001	20	36.3238544	-81.4823595	UT South Fork New River	1	0	100-0
69	OHNK26	WRC186-001	20	36.2661567	-81.4775217	West Fork Pine Swamp Creek	0.9999	1.00E-04	100-0
70	OHNK27	WRC188-001	20	36.2837895	-81.4703543	Wolfpen Creek	1	0	100-0
72	OHNK29	WRC127-001	20	36.1556403	-81.6500868	Brown Branch	0.9998	2.00E-04	100-0
75	OHNK31	WRC129-001	20	36.4408513	-81.4916861	Claybank Creek	0.99895	0.00105	99.9-0.1
76	OHNK32	WRC131-001	20	36.242154	-81.686784	Doe Fork	1	0	100-0
77	OHNK33	WRC133-001	20	36.5054486	-81.6451105	East Fork Roaring Fork	0.76385	0.23615	76.4-23.6
78	OHNK34	WRC135-001	20	36.4266562	-81.4539442	Ezra Fork	0.956	0.044	95.6-4.4
79	OHNK35	WRC136-001	20	36.2409489	-81.538227	Gap Creek	0.99975	0.00025	100-0
81	OHNK37	WRC139-001	19	36.371606	-81.712475	Hoskins Fork	0.790947368	0.209052632	79.1-20.9
82	OHNK38	WRC140-001	20	36.5535323	-81.513874	Jerd Branch	4.00E-04	0.9996	0-100
83	OHNK39	WRC141-001	20	36.2687846	-81.7183243	Jones Branch	1	0	100-0
84	OHNK4	WRC122-001	20	36.1726689	-81.6925992	(C) Winkler Creek (above old Impoundment)	1	0	100-0
85	OHNK40	WRC142-001	20	36.5283912	-81.6843392	Kilby Creek	0.997	0.003	99.7-0.3
87	OHNK42	WRC145-001	20	36.424392	-81.197458	Meadow Fork	0.9988	0.0012	99.9-0.1
89	OHNK44	WRC148-001	20	36.2362881	-81.6642773	Norris Branch	0.9993	7.00E-04	99.9-0.1
90	OHNK45	WRC149-001	19	36.2825932	-81.6830482	Norris Fork	0.937315789	0.062684211	93.7-6.3
93	OHNK48	WRC155-001	20	36.3041046	-81.650166	Rittle Fork	1	0	100-0
94	OHNK49	WRC157-001	20	36.5053588	-81.5980255	Roaring Branch	0.99775	0.00225	99.8-0.2
95	OHNK5	WRC123-001	20	36.1752544	-81.6899697	(C) Winkler Creek (between old & new impoundments)	0.96645	0.03355	96.6-3.4
96	OHNK50	WRC158-001	20	36.5147638	-81.653585	Roaring Fork	0.0148	0.9852	1.5-98.5
98	OHNK52	WRC160-001	20	36.455572	-81.697383	Roundabout Creek	0.6236	0.3764	62.4-37.6
99	OHNK53	WRC162-001	20	36.3749868	-81.5996959	Skin Camp Branch	1	0	100-0
100	OHNK54	WRC163-001	20	36.354175	-81.676697	Snyder Branch	0.93185	0.06815	93.2-6.8
102	OHNK56	WRC166-001	19	36.146241	-81.647147	UT Aho Branch	0.997684211	0.002315789	99.8-0.2
103	OHNK57	WRC169-001	20	36.547918	-81.6603131	UT Big Laurel Creek ( Below Flatwood )	0.83465	0.16535	83.5-16.5
104	OHNK58	WRC170-001	20	36.5547494	-81.6693876	UT Big Laurel Creek ( Denny Hollow )	0.8319	0.1681	83.2-16.8
105	OHNK59	WRC171-001	20	36.395783	-81.531642	UT Buffalo Creek (@ Buck Mtn.)	0.99745	0.00255	99.7-0.3
106	OHNK6	WRC124-001	20	36.3573423	-81.6159101	Bald Fork	1	0	100-0
110	OHNK63	WRC176-001	20	36.139162	-81.6672204	UT Middle Fork New River (@substation)	0.99975	0.00025	100-0
111	OHNK64	WRC178-001	20	36.4802743	-81.4765576	UT North Fork New River	0.73335	0.26665	73.3-26.7
112	OHNK65	WRC179-001	20	36.42683	-81.613394	UT North Fork New River (@ Creston)	0.88115	0.11885	88.1-11.9
113	OHNK66	WRC183-001	20	36.332893	-81.4599757	UT South Fork New River	0.9047	0.0953	90.5-9.5
115	OHNK68	WRC187-001	19	36.4039791	-81.2784303	Wolf Branch	0.964315789	0.035684211	96.4-3.6
116	OHNK69	D701-001	22	36.3169623	-81.7013383	UT Meat Camp Creek	0.999727273	0.000272727	100-0
117	OHNK7	WRC126-001	20	36.5626706	-81.6665957	Big Laurel Creek	0.85055	0.14945	85.1-14.9
119	OHNK71	D703-001	24	36.1541123	-81.6276005	Aho Branch	1	0	100-0
120	OHNK8	WRC130-001	20	36.2638257	-81.5339435	Cranberry Creek	0.9999	1.00E-04	100-0
121	OHNK9	WRC132-001	20	36.2838079	-81.4351735	East Fork Pine Swamp Creek	1	0	100-0
122	PFBNC124	WRC336-001	20	36.3592958	-81.719256	UT Hoskins Fork	0.91865	0.08135	91.9-8.1
123	PFBNC76	WRC332-001	20	36.3083612	-81.6702018	Little Creek	0.998	0.002	99.8-0.2
124	SnakeCreek	VA12-001	20	36.678723	-80.657286	Snake Creek	0.9926	0.0074	99.3-0.7
125	StandrockBranch	VA13-001	20	37.196585	-80.893499	Standrock Branch	0.942	0.058	94.2-5.8
126	ToryCreek	VA14-001	18	36.744527	-80.493856	Tory Creek	0.999944444	5.56E-05	100-0
128	GA13	GA13-001	30	34.769548	-84.033267	Bryant Creek	1	0	100-0
129	GA14	GA14-001	40	34.767345	-83.993942	Logan Creek	1	0	100-0
130	GCS1	LR_2013_121	29	35.591956	-83.516187	Grouse Creek Site 1	1	0	100-0
131	GPS1	FC_2014_001	40	35.594153	-83.561233	Goshen Prong Site 1	1	0	100-0
132	GPS4	FC_2014_096	50	35.5834	-83.544	Goshen Prong Site 4	1	0	100-0
133	GRSML1	GRSML1-001	48	35.591	-83.5744	Fish Camp Run	1	0	100-0
136	GRSML22	GS35-001	30	35.62383817	-83.64181971	Marks Creek	1	0	100-0
137	GRSML3	GRSML3-001	35	35.5879	-83.6316	Indian Flats	0.582628571	0.417371429	58.3-41.7
138	GRSML4	GRSML4-001	49	35.6509	-83.6281	Mannis Branch	0.999816327	0.000183673	100-0
139	GRSML5	GRSML5-001	24	35.5899	-83.5662	Silers's Creek	1	0	100-0
140	GRSML6	GRSML6-1001	76	35.5899	-83.5662	Silers's Creek (4,9,10)	1	0	100-0
142	GRSMP1	GRSMP1-001	47	35.6521	-83.1689	Lost Bottoms	0.999638298	0.000361702	100-0
143	GRSMP10	GRSMP10-001	21	35.62527	-83.47016	Road Prong	1	0	100-0
144	GRSMP11	GRSMP11-001	34	35.75969	-83.19495	Tom?s Creek	0.999970588	2.94E-05	100-0
145	GRSMP12	GRSMP12-001	32	35.7389	-83.2783	Indian Camp Creek	1	0	100-0
146	GRSMP13	GRSMP13-001	25	35.67001	-83.09951	Little Cataloochee Creek	1	0	100-0
147	GRSMP14	GRSMP14-001	28	35.6767	-83.08874	Correll Branch	1	0	100-0
148	GRSMP16	GRSMP16-001	40	35.7608	-83.19703	Toms Creek	1	0	100-0
149	GRSMP17	GRSMP17-009	16	35.76479	-83.25353	Greenbrier Creek	1	0	100-0
150	GRSMP18	GRSMP18-009	16	35.73785	-83.27838	Indian Camp Creek	1	0	100-0
152	GRSMP2	GRSMP2-001	32	35.7671	-83.2023	Cosby Creek	1	0	100-0
153	GRSMP20	GS34-001	30	35.62745	-83.40842	Kephart Branch	0.999966667	3.33E-05	100-0
157	GRSMP24	GS37-001	30	35.62274826	-83.42144591	Walker Camp Prong	0.562833333	0.437166667	56.3-43.7
158	GRSMP25	GS38-001	28	35.7456837	-83.215988	Rock Creek	1	0	100-0
159	GRSMP26	GS39-001	30	35.69511594	-83.32153141	Buck Fork	0.9689	0.0311	96.9-3.1
160	GRSMP27	GS43-001	30	35.69182448	-83.31598851	Chapman Prong	1	0	100-0
162	GRSMP29	GS55-002	30	35.64431163	-83.0726446	Winding Stair	1	0	100-0
163	GRSMP3	GRSMP3-033	48	35.7671	-83.2023	Cosby Creek	0.998916667	0.001083333	99.9-0.1
164	GRSMP30	GS56-002	30	35.59985518	-83.1308236	Hurricane Creek	0.9922	0.0078	99.2-0.8
165	GRSMP31	GS57-002	30	35.6021498	-83.16291579	Bear Branch	1	0	100-0
166	GRSMP32	GS58-002	30	35.67181836	-83.13536468	Pretty Hollow	1	0	100-0
167	GRSMP33	GS59-002	30	35.60188	-83.16237872	Horse Creek	1	0	100-0
168	GRSMP34	GS60-002	30	35.61488345	-83.14599307	Messer Branch	0.999433333	0.000566667	99.9-0.1
169	GRSMP35	GS61-002	29	35.61336491	-83.0939906	Sag Branch	1	0	100-0
170	GRSMP36	GS62-002	29	35.57193744	-83.12570343	Caldwell Fork	0.999965517	3.45E-05	100-0
171	GRSMP37	GS63-002	30	35.67180283	-83.13877789	Onion Bed	1	0	100-0
172	GRSMP38	GS64-002	30	35.57635336	-83.12628358	Straight Creek	1	0	100-0
173	GRSMP39	GS65-002	30	35.59419869	-83.0987225	McKee Branch	0.999533333	0.000466667	100-0
174	GRSMP4	GRSMP4-001	28	35.7643	-83.2526	Greenbrier Creek	1	0	100-0
175	GRSMP5	GRSMP5-035	27	35.7643	-83.2526	Greenbrier Creek	1	0	100-0
176	GRSMP6	GRSMP6-001	33	35.7389	-83.2783	Indian Camp Creek	0.999878788	0.000121212	100-0
177	GRSMP8	GRSMP8-001	25	35.7671	-83.2023	Cosby Creek	1	0	100-0
178	GRSMP9	GRSMP9-001	34	35.7643	-83.2526	Greenbrier Creek	1	0	100-0
179	GRSMT1	GRSMT1-001	49	35.5563	-83.1677	Bunches Creek	0.999979592	2.04E-05	100-0
180	GRSMT2	GRSMT2-001	50	35.5667	-83.18	Flatt Creek	1	0	100-0
181	GRSMT22	GS36-001	28	35.61986728	-83.23039471	Hyatt Creek	0.999285714	0.000714286	99.9-0.1
182	GRSMT23	GS40-001	29	35.58476105	-83.42515628	RF Deep Creek	0.999965517	3.45E-05	100-0
183	GRSMT24	GS41-001	30	35.58503691	-83.42667635	Sahlee Creek	1	0	100-0
184	GRSMT25	GS42-001	30	35.55528252	-83.47670642	Noland Creek	1	0	100-0
185	GRSMT26	GS44-001	31	35.49706343	-83.65659546	Cold Springs Branch	1	0	100-0
186	GRSMT27	GS45-001	30	35.51194438	-83.69720183	Haw Gap Branch	1	0	100-0
187	GRSMT28	GS46-001	29	35.54112558	-83.67636608	Desolation Branch	1	0	100-0
188	GRSMT29	GS47-001	30	35.54053482	-83.6708987	Defeat Branch	1	0	100-0
189	GRSMT3	GRSMT3-001	40	35.5341	-83.5446	Huggin's Creek	0.819875	0.180125	82-18
190	GRSMT30	GS49-002	30	35.62001761	-83.33050789	Louie Camp Branch	0.999466667	0.000533333	99.9-0.1
191	GRSMT31	GS50-002	30	35.61226789	-83.26422737	Enloe Creek	0.9156	0.0844	91.6-8.4
192	GRSMT32	GS51-002	30	35.62431103	-83.32617226	Bearwallow Branch	0.976433333	0.023566667	97.6-2.4
193	GRSMT33	GS52-002	30	35.63332387	-83.32996679	Chasm Prong	0.999933333	6.67E-05	100-0
194	GRSMT34	GS53-001	30	35.64340742	-83.25582982	R. Fork Raven Fork	0.9815	0.0185	98.2-1.9
195	GRSMT35	GS54-002	30	35.64491771	-83.32894523	Gulf Prong	0.9998	2.00E-04	100-0
197	GRSMT5	GRSMT5-001	47	35.4858	-83.5926	Bear Creek	0.955510638	0.044489362	95.6-4.4
198	GRSMT6	GRSMT6-001	25	35.58628	-83.36516	Kanati Fork	1	0	100-0
199	GRSMT7	GRSMT7-001	22	35.59933	-83.39906	Aden Branch	1	0	100-0
200	L2S1	FC_2014_238	50	35.57905	-83.578	Lean-to Site 1	1	0	100-0
201	LRS1	LR_2013_001	30	35.592602	-83.511766	Little River Site 1	0.999833333	0.000166667	100-0
202	LTGA11	GA11-001	30	34.946254	-83.453083	Keener Creek	1	0	100-0
203	LTNC10	WRC113-001	20	35.0511015	-83.308477	UT Tessentee Creek	1	0	100-0
204	LTNC100	WRC091-001	20	35.2377037	-84.0580182	(A) Tipton Creek (incl. trib.)	0.99675	0.00325	99.7-0.3
205	LTNC101	WRC092-001	20	35.0634056	-83.2739161	Bennies Branch	0.96125	0.03875	96.1-3.9
206	LTNC102	WRC093-001	20	35.089675	-83.189961	Big Creek	0.7813	0.2187	78.1-21.9
207	LTNC103	WRC095-001	20	35.1016582	-83.2430469	Brush Creek	0.77845	0.22155	77.8-22.2
208	LTNC104	WRC096-001	20	35.2257112	-83.2384502	Bryson Branch	1	0	100-0
209	LTNC105	WRC098-001	20	35.1037626	-83.2902498	Crow Creek	0.24735	0.75265	24.7-75.3
211	LTNC107	WRC380A-001	33	35.2204377	-83.0327662	Flat Creek (above falls)	0.885060606	0.114939394	88.5-11.5
212	LTNC108	WRC381-001	19	35.2568349	-82.9362342	Pinhook Creek (below falls)	1	0	100-0
213	LTNC109	D901-001	35	35.289958	-83.293475	Bettys Branch	1	0	100-0
214	LTNC11	WRC293-001	20	35.1970383	-82.9847656	Bracken Creek	0.4121	0.5879	41.2-58.8
215	LTNC110	D902-001	20	35.282125	-83.265064	Tatham Creek	1	0	100-0
216	LTNC111	D903-001	30	35.248756	-83.267727	Shell Branch	1	0	100-0
217	LTNC112	D906-001	39	35.302122	-83.372431	Huckleberry Creek	1	0	100-0
218	LTNC113	D907-001	36	35.302543	-83.341682	Beasley Creek	1	0	100-0
219	LTNC12	WRC295-001	20	35.2826209	-82.9853557	Charley Creek	0.9705	0.0295	97.1-3
220	LTNC13	WRC296-001	20	35.2201	-82.95806	Cold Creek	0.4001	0.5999	40-60
221	LTNC14	WRC302-001	20	35.2028632	-83.1893383	Gem Creek	0.9986	0.0014	99.9-0.1
222	LTNC15	WRC306-001	20	35.2788805	-83.0250111	Jeff Creek	1	0	100-0
223	LTNC16	WRC308-001	20	35.2016225	-83.2125065	Little Pine Creek	0.5999	0.4001	60-40
224	LTNC17	WRC310-001	20	35.2564608	-83.1336517	Mill Creek	0.9813	0.0187	98.1-1.9
225	LTNC18	WRC311-001	20	35.167814	-83.1852347	Mill Creek	0.5958	0.4042	59.6-40.4
226	LTNC19	WRC318-001	20	35.2766748	-83.0144098	Sols Creek	0.75255	0.24745	75.3-24.7
227	LTNC2	NC02-001	42	35.48692	-83.18631	Soco Creek	1	0	100-0
229	LTNC21	WRC322-001	20	35.2096888	-83.1164218	Trout Creek	0.0137	0.9863	1.4-98.6
230	LTNC22	WRC119-001	20	35.2551992	-83.5906381	UT Otter Creek	1	0	100-0
231	LTNC23	WRC022-001	20	35.254525	-83.966819	(C) Sassafras Creek (incl. trib.)	1	0	100-0
232	LTNC24	WRC120-001	20	35.023508	-83.487356	Yellow Patch Branch	0.98835	0.01165	98.8-1.2
233	LTNC25	WRC023-001	20	35.2455342	-83.8856125	Bear Creek	1	0	100-0
234	LTNC26	WRC025-001	20	35.3259869	-83.9640204	Wright Creek	0.99985	0.00015	100-0
235	LTNC27	NC04-001	40	35.5288	-83.1922	Madcap Branch	1	0	100-0
236	LTNC28	NC05-001	39	35.4902	-83.2151	Jenkin's Creek	0.997435897	0.002564103	99.7-0.3
237	LTNC29	NC06-001	24	35.4995	-83.1746	Rough Branch	0.93	0.07	93-7
238	LTNC3	NC03-001	40	35.52025	-83.22418	Big Witch Creek	0.993925	0.006075	99.4-0.6
240	LTNC31	WRC376-001	40	35.26218	-84.04492	Tellico River	1	0	100-0
241	LTNC32	WRC377-001	34	35.25168	-84.0299	Round Mountain Branch	1	0	100-0
242	LTNC33	WRC378-001	31	35.27757	-83.99892	Snowbird Creek	1	0	100-0
245	LTNC36	WRC384-001	28	35.384962	-83.079766	Dark Ridge Creek	0.999642857	0.000357143	100-0
246	LTNC37	WRC109-001	19	35.39795	-83.993239	Slickrock Creek	0.963105263	0.036894737	96.3-3.7
247	LTNC38	WRC100-001	20	35.051127	-83.4433848	Henson Creek	0.99845	0.00155	99.8-0.2
248	LTNC39	WRC103-001	20	35.3365644	-83.4061966	Little Laurel Creek (trib. of Alarka Cr.)	1	0	100-0
250	LTNC40	WRC105-001	20	35.0812545	-83.2460064	Long Branch	0.55785	0.44215	55.8-44.2
251	LTNC41	WRC107-001	20	35.2703011	-84.0475248	Peckerwood Creek	0.99995	5.00E-05	100-0
252	LTNC42	WRC110-001	20	35.0512067	-83.2553861	Turtle Pond Creek	0.6826	0.3174	68.3-31.7
253	LTNC43	WRC114-001	20	35.032742	-83.436394	UT to Coweeta Creek (near Reynolds Gap)	1	0	100-0
254	LTNC44	WRC115-001	20	35.2175734	-83.2342281	Wildcat Creek	0.99565	0.00435	99.6-0.4
256	LTNC46	WRC118-001	20	35.249133	-83.669244	Pierce Creek ( also listed as Piercy Creek)	0.99755	0.00245	99.8-0.2
257	LTNC47	WRC267-001	20	35.382	-83.12	(A) South Fork Sugarloaf Creek	1	0	100-0
258	LTNC48	WRC268-001	5	35.392	-83.133	(A) Sugarloaf Creek (below barrier)	0.8	0.2	80-20
259	LTNC49	WRC269-001	19	35.388	-83.126	(A) UT Sugarloaf Creek	0.999947368	5.26E-05	100-0
270	LTNC58	WRC282-001	20	35.3280919	-83.0582684	(D) Chastine Creek (incl. tribs.)	1	0	100-0
271	LTNC59	WRC283-001	20	35.347	-83.054	(D) Craig Creek	1	0	100-0
272	LTNC6	WRC101-001	20	35.1570048	-83.2625388	Ledford Branch	0.00105	0.99895	0.1-99.9
273	LTNC60	WRC284-001	20	35.3360411	-83.05636282	(D) Frady Creek	1	0	100-0
275	LTNC62	WRC299-001	20	35.4191386	-83.1907797	Fisher Creek	1	0	100-0
276	LTNC63	WRC304-002	19	35.333816	-83.3062694	Greens Creek	0.842105263	0.157894737	84.2-15.8
277	LTNC64	WRC305-001	20	35.2200232	-83.1506208	Hunter Jim Creek	1	0	100-0
279	LTNC66	WRC309-001	20	35.2171902	-83.1048686	Little Trout Creek	1	0	100-0
280	LTNC67	WRC312-001	20	35.2339737	-83.0196683	Neddie Creek	1	0	100-0
281	LTNC68	WRC319-001	20	35.2847512	-82.9434836	Tanassee Creek	1	0	100-0
282	LTNC69	WRC323-001	20	35.3482953	-83.1325927	Wayehutta Creek	1	0	100-0
283	LTNC7	WRC106-001	20	35.0980559	-83.1887634	Norton Prong	0.5677	0.4323	56.8-43.2
284	LTNC70	WRC366-001	20	35.24075	-83.582694	Big Branch	1	0	100-0
285	LTNC71	WRC369-001	20	35.3657942	-83.0204091	Mull Creek	1	0	100-0
286	LTNC72	WRC024-001	20	35.328906	-84.016292	Whigg Branch	0.49185	0.50815	49.2-50.8
290	LTNC76	WRC116-001	20	35.039192	-83.574072	Buck Creek	0.95585	0.04415	95.6-4.4
291	LTNC77	WRC278-001	20	35.35	-83.088	(C) East Fork Moses	0.99995	5.00E-05	100-0
292	LTNC78	WRC279-001	20	35.3312291	-83.1007775	(C) Moses Creek	1	0	100-0
293	LTNC79	WRC280-001	20	35.338	-83.098	(C) Moses Creek	1	0	100-0
294	LTNC8	WRC111-001	20	35.3374603	-83.3784729	Upper Long Branch	1	0	100-0
296	LTNC81	WRC285-001	20	35.3300556	-83.0012443	(F) Bearwallow Creek (including tribs.)	0.75135	0.24865	75.1-24.9
297	LTNC82	WRC286-001	20	35.332	-82.999	(F) Birch Ridge Creek	0.99155	0.00845	99.2-0.8
298	LTNC83	WRC287-001	20	35.179	-83.076	(G) Cow Mountain Branch	0.7921	0.2079	79.2-20.8
299	LTNC84	WRC288-001	20	35.186	-83.078	(G) Mill Creek	0.55395	0.44605	55.4-44.6
300	LTNC85	WRC289-001	20	35.176	-83.061	(G) Packs Creek	0.6943	0.3057	69.4-30.6
301	LTNC86	WRC290-001	20	35.183	-83.082	(G) Shelton Creek	0.3284	0.6716	32.8-67.2
302	LTNC87	WRC291-001	20	35.2644016	-83.0185048	(H) Sols Creek	1	0	100-0
303	LTNC88	WRC292-001	20	35.3523882	-83.0155009	Beechflat Creek	0.00105	0.99895	0.1-99.9
305	LTNC9	WRC112-001	20	35.1334328	-83.2059302	UT Buck Creek	1	0	100-0
306	LTNC90	WRC297-001	20	35.2186559	-83.2097509	Dodgen Creek	0.2205	0.7795	22.1-78
307	LTNC91	WRC300-001	20	35.2204377	-83.0327662	Flat Creek	0.9997	3.00E-04	100-0
308	LTNC92	WRC301-001	20	35.2883362	-82.9733704	Gage Creek	0.1813	0.8187	18.1-81.9
309	LTNC93	WRC313-001	20	35.3235915	-82.9913537	Piney Mountain Creek	0.777	0.223	77.7-22.3
310	LTNC94	WRC314-001	20	35.2568349	-82.9362342	Pinhook Creek	0.9936	0.0064	99.4-0.6
311	LTNC95	WRC315-001	20	35.2488885	-83.2674832	Shell Branch	1	0	100-0
313	LTNC97	WRC317-001	20	35.2007229	-83.0039466	Slickens Creek	0.0219	0.9781	2.2-97.8
314	LTNC98	WRC320-001	19	35.2802563	-83.2630471	Tatham Creek	0.999894737	0.000105263	100-0
315	LTNC99	WRC324-004	15	35.2665208	-82.9695989	Wolf Creek	0.9988	0.0012	99.9-0.1
316	MPPS1	LR_2013_211	29	35.598205	-83.501998	Meigs Post Prong Site 1	1	0	100-0
317	MPPS2	LR_2013_240	31	35.594744	-83.49822	Meigs Post Prong Site 2	1	0	100-0
318	PFBNC1	NC01-001	42	35.46629	-83.04172	Hyatt Cove Creek	0.99997619	2.38E-05	100-0
319	PFBNC10	WRC246-001	20	35.4136987	-83.0132106	Old Bald Creek	1	0	100-0
320	PFBNC100	WRC217-001	20	35.721547	-82.254889	Right Prong South Toe River	0.63045	0.36955	63-37
321	PFBNC101	WRC219-001	19	35.76075	-82.192601	Roaring Fork	0.947473684	0.052526316	94.7-5.3
322	PFBNC102	WRC222-001	20	36.1015896	-82.0403139	Sandbank Creek	0.4657	0.5343	46.6-53.4
324	PFBNC104	WRC225-001	20	36.136075	-82.221978	Spring Creek	0.76635	0.23365	76.6-23.4
