ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	k1	k2	k3	k4	k5	Data
17	GA07	[GA07-001]	30	34.764654	-83.804072	Low Gap Creek	0.003	0.004	0.982	0.006	0.004	0.3-0.4-98.2-0.6-0.4
18	GA21	[GA21-001]	30	34.79557	-83.653437	Left Fork Soque River	0.004	0.005	0.98	0.006	0.005	0.4-0.5-98-0.6-0.5
19	GUNR1	[GUNR1-01]	50	39.5981	-76.6531	Panther Branch	0.411	0.045	0.023	0.027	0.494	41.1-4.5-2.3-2.7-49.4
20	GUNR2	[GUNR2-01]	50	39.658	-76.8139	Indian Run	0.464	0.021	0.081	0.007	0.427	46.4-2.1-8.1-0.7-42.7
23	SUSR4	[SUSR4-001]	100	39.6481	-76.4454	Rock Hollow Run	0.316	0.038	0.028	0.119	0.5	31.6-3.8-2.8-11.9-50
24	SUSR5	[SUSR5-001]	50	39.6295	-76.4209	Kellogg Branch	0.483	0.009	0.012	0.051	0.445	48.3-0.9-1.2-5.1-44.5
25	SUSR6	[SUSR6-001]	50	39.6438	-76.479	Spooners Creek	0.441	0.012	0.014	0.192	0.341	44.1-1.2-1.4-19.2-34.1
26	CATO1	[CATO1-01]	47	39.6349	-77.4789	Big Hunting Creek	0.205	0.011	0.008	0.006	0.77	20.5-1.1-0.8-0.6-77
27	CATO2	[CATO2-01]	49	39.6632	-77.4804	Owens Creek	0.018	0.006	0.013	0.008	0.955	1.8-0.6-1.3-0.8-95.5
28	CATO3	[CATO3-01]	32	39.6363	-77.45	Still Creek	0.132	0.03	0.038	0.025	0.775	13.2-3-3.8-2.5-77.5
29	CATO4	[CATO4-01]	38	39.5432	-77.4647	Right Fork Fishing Creek	0.016	0.009	0.01	0.017	0.948	1.6-0.9-1-1.7-94.8
30	CATO5	[CATO5-01]	48	39.5327	-77.4752	Left Fork Fishing Creek	0.018	0.013	0.027	0.017	0.925	1.8-1.3-2.7-1.7-92.5
31	POMR1	[POMR1-01]	47	39.4734	-77.4152	Tuscarora Creek	0.133	0.035	0.017	0.014	0.801	13.3-3.5-1.7-1.4-80.1
32	BearCreek	[VA05-001]	20	36.737334	-80.58159	Bear Creek	0.007	0.913	0.029	0.044	0.008	0.7-91.3-2.9-4.4-0.8
33	BigReedIslandCr	[VA07-001]	20	36.674994	-80.521569	Big Reed Island Creek	0.031	0.914	0.025	0.01	0.02	3.1-91.4-2.5-1-2
35	EFDryRun	[VA09-001]	20	36.771983	-81.164966	EF Dry Run	0.009	0.939	0.024	0.019	0.01	0.9-93.9-2.4-1.9-1
37	NFStonyCreek	[VA11-002]	19	37.43226	-80.553248	NF Stony Creek	0.015	0.886	0.08	0.013	0.006	1.5-88.6-8-1.3-0.6
38	OHCK1	[OHCK1-01]	25	38.23711	-80.34118	Byrd Branch	0.35	0.405	0.119	0.11	0.016	35-40.5-11.9-11-1.6
39	OHCK2	[OHCK2-01]	49	38.24175	-80.37169	Dogway Fork	0.424	0.39	0.118	0.049	0.019	42.4-39-11.8-4.9-1.9
40	OHGK1	[OHGK1-01]	50	38.58315	-79.66737	Walderman Run	0.086	0.658	0.024	0.142	0.09	8.6-65.8-2.4-14.2-9
41	OHGK2	[OHGK2-01]	49	38.39899	-79.74983	Sutton Run	0.007	0.839	0.057	0.088	0.008	0.7-83.9-5.7-8.8-0.8
42	OHGK3	[OHGK3-001]	27	38.65128	-79.65491	EF Greenbrier Headwater	0.106	0.49	0.074	0.069	0.262	10.6-49-7.4-6.9-26.2
43	OHGK4	[OHGK4-001]	30	38.62221	-79.68543	Mullenox Run	0.075	0.582	0.025	0.136	0.182	7.5-58.2-2.5-13.6-18.2
44	OHGK5	[OHGK5-001]	23	38.61545	-79.67927	Abes Run	0.048	0.643	0.054	0.133	0.122	4.8-64.3-5.4-13.3-12.2
45	OHGK6	[OHGK6-001]	19	38.57618	-79.70156	Long Run	0.111	0.729	0.03	0.084	0.046	11.1-72.9-3-8.4-4.6
46	OHGK7	[OHGK7-001]	22	38.51356	-79.7221	Little River	0.055	0.862	0.02	0.024	0.04	5.5-86.2-2-2.4-4
47	OHGK8	[OHGK8-001]	29	37.96923	-80.29571	Laurel Run	0.901	0.05	0.023	0.021	0.005	90.1-5-2.3-2.1-0.5
49	OHGN1	[OHGN1-001]	30	38.2026	-80.37271	NF Cherry River	0.137	0.647	0.13	0.073	0.013	13.7-64.7-13-7.3-1.3
51	OHNK1	[OHNK1-001]	30	37.91433	-81.02081	Buffalo Creek	0.208	0.736	0.029	0.009	0.018	20.8-73.6-2.9-0.9-1.8
52	OHNK10	[WRC134-001]	20	36.4267603	-81.453945	Ezra Fork	0.055	0.915	0.011	0.007	0.012	5.5-91.5-1.1-0.7-1.2
53	OHNK11	[WRC137-001]	20	36.4493635	-81.0835415	Glade Creek	0.036	0.907	0.035	0.014	0.007	3.6-90.7-3.5-1.4-0.7
54	OHNK12	[WRC144-001]	20	36.5569233	-81.6234242	Little Horse Creek	0.005	0.899	0.072	0.015	0.009	0.5-89.9-7.2-1.5-0.9
55	OHNK13	[WRC146-001]	20	36.3196431	-81.6919865	Meat Camp Creek	0.015	0.87	0.045	0.062	0.008	1.5-87-4.5-6.2-0.8
57	OHNK15	[WRC151-001]	20	36.3279872	-81.6367979	Pine Orchard Creek	0.005	0.962	0.017	0.011	0.005	0.5-96.2-1.7-1.1-0.5
58	OHNK16	[WRC153-001]	20	36.4215314	-81.2530259	Reeves Branch	0.164	0.766	0.041	0.017	0.013	16.4-76.6-4.1-1.7-1.3
60	OHNK18	[WRC165-001]	20	36.255907	-81.7003412	Trivett Branch	0.01	0.697	0.218	0.063	0.012	1-69.7-21.8-6.3-1.2
61	OHNK19	[WRC167-001]	20	36.583253	-81.630069	UT Big Horse Creek (above Ripshin Branch at Va. state line)	0.004	0.958	0.016	0.016	0.006	0.4-95.8-1.6-1.6-0.6
63	OHNK20	[WRC168-001]	20	36.5258384	-81.6704962	UT Big Laurel Creek ( Above Beaverponds )	0.2	0.639	0.094	0.038	0.029	20-63.9-9.4-3.8-2.9
64	OHNK21	[WRC172-001]	20	36.4275894	-81.285759	UT Cranberry Creek	0.02	0.939	0.013	0.013	0.015	2-93.9-1.3-1.3-1.5
65	OHNK22	[WRC177-001]	20	36.1687212	-81.6486848	UT Middle Fork New River (@Tweetsie RR)	0.027	0.904	0.046	0.014	0.01	2.7-90.4-4.6-1.4-1
66	OHNK23	[WRC180-001]	20	36.3346989	-81.5191582	UT Old Fields Creek	0.034	0.89	0.027	0.038	0.011	3.4-89-2.7-3.8-1.1
67	OHNK24	[WRC181-001]	20	36.318367	-81.6350545	UT Pine Orchard Creek	0.015	0.942	0.012	0.008	0.023	1.5-94.2-1.2-0.8-2.3
68	OHNK25	[WRC184-001]	20	36.3238544	-81.4823595	UT South Fork New River	0.012	0.958	0.008	0.011	0.01	1.2-95.8-0.8-1.1-1
69	OHNK26	[WRC186-001]	20	36.2661567	-81.4775217	West Fork Pine Swamp Creek	0.005	0.958	0.012	0.018	0.007	0.5-95.8-1.2-1.8-0.7
70	OHNK27	[WRC188-001]	20	36.2837895	-81.4703543	Wolfpen Creek	0.004	0.953	0.027	0.011	0.005	0.4-95.3-2.7-1.1-0.5
72	OHNK29	[WRC127-001]	20	36.1556403	-81.6500868	Brown Branch	0.22	0.74	0.021	0.009	0.009	22-74-2.1-0.9-0.9
75	OHNK31	[WRC129-001]	20	36.4408513	-81.4916861	Claybank Creek	0.052	0.865	0.041	0.025	0.017	5.2-86.5-4.1-2.5-1.7
76	OHNK32	[WRC131-001]	20	36.242154	-81.686784	Doe Fork	0.004	0.961	0.019	0.011	0.005	0.4-96.1-1.9-1.1-0.5
77	OHNK33	[WRC133-001]	20	36.5054486	-81.6451105	East Fork Roaring Fork	0.37	0.463	0.047	0.064	0.056	37-46.3-4.7-6.4-5.6
78	OHNK34	[WRC135-001]	20	36.4266562	-81.4539442	Ezra Fork	0.022	0.941	0.011	0.007	0.017	2.2-94.1-1.1-0.7-1.7
79	OHNK35	[WRC136-001]	20	36.2409489	-81.538227	Gap Creek	0.025	0.918	0.027	0.015	0.015	2.5-91.8-2.7-1.5-1.5
81	OHNK37	[WRC139-001]	19	36.371606	-81.712475	Hoskins Fork	0.3	0.439	0.132	0.046	0.083	30-43.9-13.2-4.6-8.3
82	OHNK38	[WRC140-001]	20	36.5535323	-81.513874	Jerd Branch	0.97	0.006	0.006	0.007	0.01	97-0.6-0.6-0.7-1
83	OHNK39	[WRC141-001]	20	36.2687846	-81.7183243	Jones Branch	0.053	0.635	0.217	0.069	0.026	5.3-63.5-21.7-6.9-2.6
84	OHNK4	[WRC122-001]	20	36.1726689	-81.6925992	(C) Winkler Creek (above old Impoundment)	0.003	0.919	0.039	0.034	0.005	0.3-91.9-3.9-3.4-0.5
85	OHNK40	[WRC142-001]	20	36.5283912	-81.6843392	Kilby Creek	0.106	0.719	0.017	0.089	0.069	10.6-71.9-1.7-8.9-6.9
87	OHNK42	[WRC145-001]	20	36.424392	-81.197458	Meadow Fork	0.066	0.804	0.058	0.043	0.029	6.6-80.4-5.8-4.3-2.9
89	OHNK44	[WRC148-001]	20	36.2362881	-81.6642773	Norris Branch	0.098	0.719	0.104	0.055	0.024	9.8-71.9-10.4-5.5-2.4
90	OHNK45	[WRC149-001]	19	36.2825932	-81.6830482	Norris Fork	0.113	0.826	0.022	0.029	0.01	11.3-82.6-2.2-2.9-1
93	OHNK48	[WRC155-001]	20	36.3041046	-81.650166	Rittle Fork	0.009	0.92	0.044	0.022	0.005	0.9-92-4.4-2.2-0.5
94	OHNK49	[WRC157-001]	20	36.5053588	-81.5980255	Roaring Branch	0.118	0.718	0.015	0.045	0.104	11.8-71.8-1.5-4.5-10.4
95	OHNK5	[WRC123-001]	20	36.1752544	-81.6899697	(C) Winkler Creek (between old & new impoundments)	0.038	0.907	0.023	0.025	0.007	3.8-90.7-2.3-2.5-0.7
96	OHNK50	[WRC158-001]	20	36.5147638	-81.653585	Roaring Fork	0.544	0.08	0.013	0.02	0.343	54.4-8-1.3-2-34.3
98	OHNK52	[WRC160-001]	20	36.455572	-81.697383	Roundabout Creek	0.561	0.312	0.035	0.026	0.066	56.1-31.2-3.5-2.6-6.6
99	OHNK53	[WRC162-001]	20	36.3749868	-81.5996959	Skin Camp Branch	0.004	0.928	0.015	0.043	0.01	0.4-92.8-1.5-4.3-1
100	OHNK54	[WRC163-001]	20	36.354175	-81.676697	Snyder Branch	0.293	0.641	0.017	0.031	0.019	29.3-64.1-1.7-3.1-1.9
102	OHNK56	[WRC166-001]	19	36.146241	-81.647147	UT Aho Branch	0.196	0.717	0.019	0.057	0.01	19.6-71.7-1.9-5.7-1
103	OHNK57	[WRC169-001]	20	36.547918	-81.6603131	UT Big Laurel Creek ( Below Flatwood )	0.172	0.715	0.028	0.055	0.029	17.2-71.5-2.8-5.5-2.9
104	OHNK58	[WRC170-001]	20	36.5547494	-81.6693876	UT Big Laurel Creek ( Denny Hollow )	0.297	0.541	0.094	0.033	0.035	29.7-54.1-9.4-3.3-3.5
105	OHNK59	[WRC171-001]	20	36.395783	-81.531642	UT Buffalo Creek (@ Buck Mtn.)	0.027	0.927	0.02	0.007	0.019	2.7-92.7-2-0.7-1.9
106	OHNK6	[WRC124-001]	20	36.3573423	-81.6159101	Bald Fork	0.004	0.968	0.02	0.005	0.004	0.4-96.8-2-0.5-0.4
110	OHNK63	[WRC176-001]	20	36.139162	-81.6672204	UT Middle Fork New River (@substation)	0.037	0.928	0.013	0.013	0.008	3.7-92.8-1.3-1.3-0.8
111	OHNK64	[WRC178-001]	20	36.4802743	-81.4765576	UT North Fork New River	0.215	0.621	0.012	0.072	0.08	21.5-62.1-1.2-7.2-8
112	OHNK65	[WRC179-001]	20	36.42683	-81.613394	UT North Fork New River (@ Creston)	0.272	0.665	0.017	0.024	0.022	27.2-66.5-1.7-2.4-2.2
113	OHNK66	[WRC183-001]	20	36.332893	-81.4599757	UT South Fork New River	0.115	0.807	0.052	0.012	0.013	11.5-80.7-5.2-1.2-1.3
115	OHNK68	[WRC187-001]	19	36.4039791	-81.2784303	Wolf Branch	0.142	0.786	0.035	0.022	0.015	14.2-78.6-3.5-2.2-1.5
116	OHNK69	[D701-001]	22	36.3169623	-81.7013383	UT Meat Camp Creek	0.019	0.89	0.021	0.062	0.009	1.9-89-2.1-6.2-0.9
117	OHNK7	[WRC126-001]	20	36.5626706	-81.6665957	Big Laurel Creek	0.242	0.559	0.072	0.03	0.097	24.2-55.9-7.2-3-9.7
119	OHNK71	[D703-001]	24	36.1541123	-81.6276005	Aho Branch	0.003	0.954	0.021	0.016	0.007	0.3-95.4-2.1-1.6-0.7
120	OHNK8	[WRC130-001]	20	36.2638257	-81.5339435	Cranberry Creek	0.008	0.952	0.026	0.009	0.005	0.8-95.2-2.6-0.9-0.5
121	OHNK9	[WRC132-001]	20	36.2838079	-81.4351735	East Fork Pine Swamp Creek	0.008	0.904	0.071	0.01	0.006	0.8-90.4-7.1-1-0.6
122	PFBNC124	[WRC336-001]	20	36.3592958	-81.719256	UT Hoskins Fork	0.33	0.476	0.065	0.025	0.104	33-47.6-6.5-2.5-10.4
123	PFBNC76	[WRC332-001]	20	36.3083612	-81.6702018	Little Creek	0.062	0.83	0.042	0.027	0.04	6.2-83-4.2-2.7-4
124	SnakeCreek	[VA12-001]	20	36.678723	-80.657286	Snake Creek	0.007	0.971	0.011	0.007	0.005	0.7-97.1-1.1-0.7-0.5
125	StandrockBranch	[VA13-001]	20	37.196585	-80.893499	Standrock Branch	0.057	0.83	0.039	0.049	0.025	5.7-83-3.9-4.9-2.5
126	ToryCreek	[VA14-001]	18	36.744527	-80.493856	Tory Creek	0.005	0.967	0.014	0.009	0.005	0.5-96.7-1.4-0.9-0.5
128	GA13	[GA13-001]	30	34.769548	-84.033267	Bryant Creek	0.021	0.886	0.072	0.013	0.009	2.1-88.6-7.2-1.3-0.9
129	GA14	[GA14-001]	40	34.767345	-83.993942	Logan Creek	0.005	0.96	0.017	0.013	0.004	0.5-96-1.7-1.3-0.4
130	GCS1	[LR_2013_121]	29	35.591956	-83.516187	Grouse Creek Site 1	0.005	0.963	0.013	0.015	0.005	0.5-96.3-1.3-1.5-0.5
131	GPS1	[FC_2014_001]	40	35.594153	-83.561233	Goshen Prong Site 1	0.006	0.944	0.015	0.03	0.006	0.6-94.4-1.5-3-0.6
132	GPS4	[FC_2014_096]	50	35.5834	-83.544	Goshen Prong Site 4	0.006	0.952	0.011	0.025	0.005	0.6-95.2-1.1-2.5-0.5
133	GRSML1	[GRSML1-001]	48	35.591	-83.5744	Fish Camp Run	0.005	0.957	0.011	0.022	0.005	0.5-95.7-1.1-2.2-0.5
136	GRSML22	[GS35-001]	30	35.62383817	-83.64181971	Marks Creek	0.004	0.969	0.007	0.016	0.004	0.4-96.9-0.7-1.6-0.4
137	GRSML3	[GRSML3-001]	35	35.5879	-83.6316	Indian Flats	0.346	0.534	0.017	0.054	0.049	34.6-53.4-1.7-5.4-4.9
138	GRSML4	[GRSML4-001]	49	35.6509	-83.6281	Mannis Branch	0.009	0.004	0.005	0.978	0.004	0.9-0.4-0.5-97.8-0.4
139	GRSML5	[GRSML5-001]	24	35.5899	-83.5662	Silers's Creek	0.007	0.96	0.008	0.019	0.006	0.7-96-0.8-1.9-0.6
140	GRSML6	[GRSML6-1001]	76	35.5899	-83.5662	Silers's Creek (4,9,10)	0.007	0.954	0.009	0.024	0.007	0.7-95.4-0.9-2.4-0.7
142	GRSMP1	[GRSMP1-001]	47	35.6521	-83.1689	Lost Bottoms	0.006	0.005	0.019	0.965	0.005	0.6-0.5-1.9-96.5-0.5
143	GRSMP10	[GRSMP10-001]	21	35.62527	-83.47016	Road Prong	0.026	0.358	0.26	0.351	0.004	2.6-35.8-26-35.1-0.4
144	GRSMP11	[GRSMP11-001]	34	35.75969	-83.19495	Tom?s Creek	0.01	0.009	0.004	0.971	0.006	1-0.9-0.4-97.1-0.6
145	GRSMP12	[GRSMP12-001]	32	35.7389	-83.2783	Indian Camp Creek	0.004	0.003	0.005	0.984	0.004	0.4-0.3-0.5-98.4-0.4
146	GRSMP13	[GRSMP13-001]	25	35.67001	-83.09951	Little Cataloochee Creek	0.004	0.006	0.008	0.978	0.003	0.4-0.6-0.8-97.8-0.3
147	GRSMP14	[GRSMP14-001]	28	35.6767	-83.08874	Correll Branch	0.003	0.004	0.006	0.985	0.003	0.3-0.4-0.6-98.5-0.3
148	GRSMP16	[GRSMP16-001]	40	35.7608	-83.19703	Toms Creek	0.028	0.005	0.005	0.956	0.006	2.8-0.5-0.5-95.6-0.6
149	GRSMP17	[GRSMP17-009]	16	35.76479	-83.25353	Greenbrier Creek	0.004	0.005	0.007	0.981	0.004	0.4-0.5-0.7-98.1-0.4
150	GRSMP18	[GRSMP18-009]	16	35.73785	-83.27838	Indian Camp Creek	0.004	0.005	0.005	0.982	0.004	0.4-0.5-0.5-98.2-0.4
152	GRSMP2	[GRSMP2-001]	32	35.7671	-83.2023	Cosby Creek	0.013	0.005	0.006	0.968	0.008	1.3-0.5-0.6-96.8-0.8
153	GRSMP20	[GS34-001]	30	35.62745	-83.40842	Kephart Branch	0.1	0.079	0.261	0.535	0.025	10-7.9-26.1-53.5-2.5
157	GRSMP24	[GS37-001]	30	35.62274826	-83.42144591	Walker Camp Prong	0.438	0.088	0.293	0.153	0.027	43.8-8.8-29.3-15.3-2.7
158	GRSMP25	[GS38-001]	28	35.7456837	-83.215988	Rock Creek	0.003	0.004	0.004	0.986	0.003	0.3-0.4-0.4-98.6-0.3
159	GRSMP26	[GS39-001]	30	35.69511594	-83.32153141	Buck Fork	0.006	0.021	0.929	0.019	0.025	0.6-2.1-92.9-1.9-2.5
160	GRSMP27	[GS43-001]	30	35.69182448	-83.31598851	Chapman Prong	0.003	0.007	0.976	0.01	0.004	0.3-0.7-97.6-1-0.4
162	GRSMP29	[GS55-002]	30	35.64431163	-83.0726446	Winding Stair	0.003	0.004	0.005	0.985	0.003	0.3-0.4-0.5-98.5-0.3
163	GRSMP3	[GRSMP3-033]	48	35.7671	-83.2023	Cosby Creek	0.018	0.005	0.006	0.962	0.009	1.8-0.5-0.6-96.2-0.9
164	GRSMP30	[GS56-002]	30	35.59985518	-83.1308236	Hurricane Creek	0.052	0.008	0.007	0.914	0.019	5.2-0.8-0.7-91.4-1.9
165	GRSMP31	[GS57-002]	30	35.6021498	-83.16291579	Bear Branch	0.006	0.007	0.007	0.974	0.006	0.6-0.7-0.7-97.4-0.6
166	GRSMP32	[GS58-002]	30	35.67181836	-83.13536468	Pretty Hollow	0.003	0.007	0.005	0.982	0.004	0.3-0.7-0.5-98.2-0.4
167	GRSMP33	[GS59-002]	30	35.60188	-83.16237872	Horse Creek	0.004	0.006	0.007	0.978	0.004	0.4-0.6-0.7-97.8-0.4
168	GRSMP34	[GS60-002]	30	35.61488345	-83.14599307	Messer Branch	0.048	0.01	0.013	0.876	0.053	4.8-1-1.3-87.6-5.3
169	GRSMP35	[GS61-002]	29	35.61336491	-83.0939906	Sag Branch	0.012	0.011	0.006	0.964	0.008	1.2-1.1-0.6-96.4-0.8
170	GRSMP36	[GS62-002]	29	35.57193744	-83.12570343	Caldwell Fork	0.029	0.011	0.014	0.936	0.01	2.9-1.1-1.4-93.6-1
171	GRSMP37	[GS63-002]	30	35.67180283	-83.13877789	Onion Bed	0.003	0.01	0.009	0.975	0.004	0.3-1-0.9-97.5-0.4
172	GRSMP38	[GS64-002]	30	35.57635336	-83.12628358	Straight Creek	0.013	0.031	0.023	0.927	0.006	1.3-3.1-2.3-92.7-0.6
173	GRSMP39	[GS65-002]	30	35.59419869	-83.0987225	McKee Branch	0.037	0.021	0.028	0.899	0.015	3.7-2.1-2.8-89.9-1.5
174	GRSMP4	[GRSMP4-001]	28	35.7643	-83.2526	Greenbrier Creek	0.003	0.003	0.004	0.986	0.003	0.3-0.3-0.4-98.6-0.3
175	GRSMP5	[GRSMP5-035]	27	35.7643	-83.2526	Greenbrier Creek	0.003	0.003	0.004	0.986	0.003	0.3-0.3-0.4-98.6-0.3
176	GRSMP6	[GRSMP6-001]	33	35.7389	-83.2783	Indian Camp Creek	0.012	0.004	0.007	0.966	0.012	1.2-0.4-0.7-96.6-1.2
177	GRSMP8	[GRSMP8-001]	25	35.7671	-83.2023	Cosby Creek	0.009	0.005	0.005	0.974	0.007	0.9-0.5-0.5-97.4-0.7
178	GRSMP9	[GRSMP9-001]	34	35.7643	-83.2526	Greenbrier Creek	0.003	0.003	0.004	0.986	0.003	0.3-0.3-0.4-98.6-0.3
179	GRSMT1	[GRSMT1-001]	49	35.5563	-83.1677	Bunches Creek	0.005	0.013	0.813	0.164	0.004	0.5-1.3-81.3-16.4-0.4
180	GRSMT2	[GRSMT2-001]	50	35.5667	-83.18	Flatt Creek	0.005	0.01	0.806	0.175	0.004	0.5-1-80.6-17.5-0.4
181	GRSMT22	[GS36-001]	28	35.61986728	-83.23039471	Hyatt Creek	0.037	0.006	0.944	0.007	0.007	3.7-0.6-94.4-0.7-0.7
182	GRSMT23	[GS40-001]	29	35.58476105	-83.42515628	RF Deep Creek	0.007	0.009	0.962	0.008	0.014	0.7-0.9-96.2-0.8-1.4
183	GRSMT24	[GS41-001]	30	35.58503691	-83.42667635	Sahlee Creek	0.004	0.009	0.97	0.013	0.004	0.4-0.9-97-1.3-0.4
184	GRSMT25	[GS42-001]	30	35.55528252	-83.47670642	Noland Creek	0.007	0.022	0.79	0.176	0.005	0.7-2.2-79-17.6-0.5
185	GRSMT26	[GS44-001]	31	35.49706343	-83.65659546	Cold Springs Branch	0.005	0.008	0.975	0.008	0.004	0.5-0.8-97.5-0.8-0.4
186	GRSMT27	[GS45-001]	30	35.51194438	-83.69720183	Haw Gap Branch	0.006	0.026	0.947	0.011	0.01	0.6-2.6-94.7-1.1-1
187	GRSMT28	[GS46-001]	29	35.54112558	-83.67636608	Desolation Branch	0.005	0.023	0.962	0.006	0.005	0.5-2.3-96.2-0.6-0.5
188	GRSMT29	[GS47-001]	30	35.54053482	-83.6708987	Defeat Branch	0.006	0.031	0.947	0.011	0.005	0.6-3.1-94.7-1.1-0.5
189	GRSMT3	[GRSMT3-001]	40	35.5341	-83.5446	Huggin's Creek	0.21	0.072	0.601	0.1	0.017	21-7.2-60.1-10-1.7
190	GRSMT30	[GS49-002]	30	35.62001761	-83.33050789	Louie Camp Branch	0.017	0.012	0.945	0.012	0.014	1.7-1.2-94.5-1.2-1.4
191	GRSMT31	[GS50-002]	30	35.61226789	-83.26422737	Enloe Creek	0.02	0.015	0.906	0.019	0.039	2-1.5-90.6-1.9-3.9
192	GRSMT32	[GS51-002]	30	35.62431103	-83.32617226	Bearwallow Branch	0.005	0.005	0.957	0.028	0.006	0.5-0.5-95.7-2.8-0.6
193	GRSMT33	[GS52-002]	30	35.63332387	-83.32996679	Chasm Prong	0.006	0.006	0.971	0.008	0.009	0.6-0.6-97.1-0.8-0.9
194	GRSMT34	[GS53-001]	30	35.64340742	-83.25582982	R. Fork Raven Fork	0.012	0.013	0.951	0.016	0.009	1.2-1.3-95.1-1.6-0.9
195	GRSMT35	[GS54-002]	30	35.64491771	-83.32894523	Gulf Prong	0.016	0.006	0.949	0.017	0.012	1.6-0.6-94.9-1.7-1.2
197	GRSMT5	[GRSMT5-001]	47	35.4858	-83.5926	Bear Creek	0.13	0.066	0.652	0.138	0.013	13-6.6-65.2-13.8-1.3
198	GRSMT6	[GRSMT6-001]	25	35.58628	-83.36516	Kanati Fork	0.003	0.005	0.98	0.006	0.006	0.3-0.5-98-0.6-0.6
199	GRSMT7	[GRSMT7-001]	22	35.59933	-83.39906	Aden Branch	0.004	0.007	0.98	0.005	0.004	0.4-0.7-98-0.5-0.4
200	L2S1	[FC_2014_238]	50	35.57905	-83.578	Lean-to Site 1	0.005	0.937	0.01	0.043	0.005	0.5-93.7-1-4.3-0.5
201	LRS1	[LR_2013_001]	30	35.592602	-83.511766	Little River Site 1	0.005	0.949	0.017	0.023	0.006	0.5-94.9-1.7-2.3-0.6
202	LTGA11	[GA11-001]	30	34.946254	-83.453083	Keener Creek	0.003	0.008	0.978	0.007	0.004	0.3-0.8-97.8-0.7-0.4
203	LTNC10	[WRC113-001]	20	35.0511015	-83.308477	UT Tessentee Creek	0.118	0.005	0.864	0.005	0.007	11.8-0.5-86.4-0.5-0.7
204	LTNC100	[WRC091-001]	20	35.2377037	-84.0580182	(A) Tipton Creek (incl. trib.)	0.137	0.06	0.758	0.031	0.014	13.7-6-75.8-3.1-1.4
205	LTNC101	[WRC092-001]	20	35.0634056	-83.2739161	Bennies Branch	0.367	0.012	0.594	0.014	0.013	36.7-1.2-59.4-1.4-1.3
206	LTNC102	[WRC093-001]	20	35.089675	-83.189961	Big Creek	0.504	0.018	0.361	0.018	0.1	50.4-1.8-36.1-1.8-10
207	LTNC103	[WRC095-001]	20	35.1016582	-83.2430469	Brush Creek	0.588	0.053	0.334	0.017	0.008	58.8-5.3-33.4-1.7-0.8
208	LTNC104	[WRC096-001]	20	35.2257112	-83.2384502	Bryson Branch	0.029	0.006	0.95	0.007	0.008	2.9-0.6-95-0.7-0.8
209	LTNC105	[WRC098-001]	20	35.1037626	-83.2902498	Crow Creek	0.842	0.021	0.113	0.017	0.007	84.2-2.1-11.3-1.7-0.7
