ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	Data
49	OHGN1	OHGN1-001	30	38.2026	-80.37271	NF Cherry River	0.8252	0	0.088133333	0.001533333	2.00E-04	0.0829	0.002133333	82.5-0-8.8-0.2-0-8.3-0.2
51	OHNK1	OHNK1-001	30	37.91433	-81.02081	Buffalo Creek	0.729733333	0	0.191033333	0	0	0.002	0.077266667	73-0-19.1-0-0-0.2-7.7
52	OHNK10	WRC134-001	20	36.4267603	-81.453945	Ezra Fork	0.64625	0	5.00E-05	0	0	0.3537	0	64.6-0-0-0-0-35.4-0
53	OHNK11	WRC137-001	20	36.4493635	-81.0835415	Glade Creek	0.82455	0	0	0	0	0.17545	0	82.5-0-0-0-0-17.5-0
54	OHNK12	WRC144-001	20	36.5569233	-81.6234242	Little Horse Creek	0.9753	0	0	0	0	0.0247	0	97.5-0-0-0-0-2.5-0
55	OHNK13	WRC146-001	20	36.3196431	-81.6919865	Meat Camp Creek	0.74995	0	0	0	0	0.25005	0	75-0-0-0-0-25-0
57	OHNK15	WRC151-001	20	36.3279872	-81.6367979	Pine Orchard Creek	0.9734	0	0	0	0	0.0266	0	97.3-0-0-0-0-2.7-0
58	OHNK16	WRC153-001	20	36.4215314	-81.2530259	Reeves Branch	0.7764	0	0.00035	0	0	0.129	0.0942	77.6-0-0-0-0-12.9-9.4
60	OHNK18	WRC165-001	20	36.255907	-81.7003412	Trivett Branch	0.9996	0	0	0	0	4.00E-04	0	100-0-0-0-0-0-0
61	OHNK19	WRC167-001	20	36.583253	-81.630069	UT Big Horse Creek (above Ripshin Branch at Va. state line)	0.67655	0	0	0	0	0.32345	0	67.7-0-0-0-0-32.3-0
63	OHNK20	WRC168-001	20	36.5258384	-81.6704962	UT Big Laurel Creek ( Above Beaverponds )	0.15855	0	5.00E-04	0	0	0.84095	0	15.9-0-0.1-0-0-84.1-0
64	OHNK21	WRC172-001	20	36.4275894	-81.285759	UT Cranberry Creek	0.94985	0	0	0	0	0.05015	0	95-0-0-0-0-5-0
65	OHNK22	WRC177-001	20	36.1687212	-81.6486848	UT Middle Fork New River (@Tweetsie RR)	0.9342	0	0	0	0.00835	0.0559	0.00155	93.4-0-0-0-0.8-5.6-0.2
66	OHNK23	WRC180-001	20	36.3346989	-81.5191582	UT Old Fields Creek	0.72675	0	0	0	0.007	0.26625	0	72.7-0-0-0-0.7-26.6-0
67	OHNK24	WRC181-001	20	36.318367	-81.6350545	UT Pine Orchard Creek	0.99655	0	0	0	0	0.0034	0	99.7-0-0-0-0-0.3-0
68	OHNK25	WRC184-001	20	36.3238544	-81.4823595	UT South Fork New River	0.8604	0	0	5.00E-05	0	0.1396	0	86-0-0-0-0-14-0
69	OHNK26	WRC186-001	20	36.2661567	-81.4775217	West Fork Pine Swamp Creek	0.78275	0	5.00E-05	0	0	0.2172	0	78.3-0-0-0-0-21.7-0
70	OHNK27	WRC188-001	20	36.2837895	-81.4703543	Wolfpen Creek	0.9688	0	0	0	0	0.0312	0	96.9-0-0-0-0-3.1-0
72	OHNK29	WRC127-001	20	36.1556403	-81.6500868	Brown Branch	0.49515	0	5.00E-05	0.00015	0	0.5045	5.00E-05	49.5-0-0-0-0-50.5-0
75	OHNK31	WRC129-001	20	36.4408513	-81.4916861	Claybank Creek	0.48785	0	0	0	0	0.5121	0	48.8-0-0-0-0-51.2-0
76	OHNK32	WRC131-001	20	36.242154	-81.686784	Doe Fork	0.925	0	0	0	0	0.075	0	92.5-0-0-0-0-7.5-0
77	OHNK33	WRC133-001	20	36.5054486	-81.6451105	East Fork Roaring Fork	0.06385	0	0.03095	0.001	0	0.8904	0.01355	6.4-0-3.1-0.1-0-89-1.4
78	OHNK34	WRC135-001	20	36.4266562	-81.4539442	Ezra Fork	0.62255	0	0.00595	0	0	0.3714	1.00E-04	62.3-0-0.6-0-0-37.1-0
79	OHNK35	WRC136-001	20	36.2409489	-81.538227	Gap Creek	0.81845	0	0.00015	1.00E-04	5.00E-05	0.1813	0	81.8-0-0-0-0-18.1-0
81	OHNK37	WRC139-001	19	36.371606	-81.712475	Hoskins Fork	0.614157895	0	0.001526316	0	0	0.381684211	0.002421053	61.4-0-0.2-0-0-38.2-0.2
82	OHNK38	WRC140-001	20	36.5535323	-81.513874	Jerd Branch	0	0	3.00E-04	0	0	0.0501	0.9496	0-0-0-0-0-5-95
83	OHNK39	WRC141-001	20	36.2687846	-81.7183243	Jones Branch	0.9335	0	0	0	0	0.0665	0	93.4-0-0-0-0-6.7-0
84	OHNK4	WRC122-001	20	36.1726689	-81.6925992	(C) Winkler Creek (above old Impoundment)	0.971	0	0	0	0	0.029	0	97.1-0-0-0-0-2.9-0
85	OHNK40	WRC142-001	20	36.5283912	-81.6843392	Kilby Creek	0.07025	0	0	0	0	0.9297	0	7-0-0-0-0-93-0
87	OHNK42	WRC145-001	20	36.424392	-81.197458	Meadow Fork	0.6635	0	0	0.00265	0.00255	0.3313	0	66.4-0-0-0.3-0.3-33.1-0
89	OHNK44	WRC148-001	20	36.2362881	-81.6642773	Norris Branch	0.16535	0	0.00025	0	0	0.8343	0	16.5-0-0-0-0-83.4-0
90	OHNK45	WRC149-001	19	36.2825932	-81.6830482	Norris Fork	0.735789474	0	0	0	0	0.208526316	0.055578947	73.6-0-0-0-0-20.9-5.6
93	OHNK48	WRC155-001	20	36.3041046	-81.650166	Rittle Fork	0.9744	0	0	0	0	0.0256	0	97.4-0-0-0-0-2.6-0
94	OHNK49	WRC157-001	20	36.5053588	-81.5980255	Roaring Branch	0.1222	0	0	0	0	0.8778	0	12.2-0-0-0-0-87.8-0
95	OHNK5	WRC123-001	20	36.1752544	-81.6899697	(C) Winkler Creek (between old & new impoundments)	0.9366	0	5.00E-05	0	0	0.0632	0.00015	93.7-0-0-0-0-6.3-0
96	OHNK50	WRC158-001	20	36.5147638	-81.653585	Roaring Fork	0	0	0.08835	0	0	0.68225	0.22945	0-0-8.8-0-0-68.2-22.9
98	OHNK52	WRC160-001	20	36.455572	-81.697383	Roundabout Creek	0.0766	0	0.0125	0	0	0.89325	0.0175	7.7-0-1.3-0-0-89.3-1.8
99	OHNK53	WRC162-001	20	36.3749868	-81.5996959	Skin Camp Branch	1	0	0	0	0	0	0	100-0-0-0-0-0-0
100	OHNK54	WRC163-001	20	36.354175	-81.676697	Snyder Branch	0.63965	0	5.00E-05	0	0	0.33825	0.022	64-0-0-0-0-33.8-2.2
102	OHNK56	WRC166-001	19	36.146241	-81.647147	UT Aho Branch	0.550210526	0	0	0.000368421	0.000578947	0.447526316	0.001368421	55-0-0-0-0.1-44.8-0.1
103	OHNK57	WRC169-001	20	36.547918	-81.6603131	UT Big Laurel Creek ( Below Flatwood )	0.00165	0	0.00095	0	0	0.98715	0.0103	0.2-0-0.1-0-0-98.7-1
104	OHNK58	WRC170-001	20	36.5547494	-81.6693876	UT Big Laurel Creek ( Denny Hollow )	0.0448	0	0.00495	0	0	0.9397	0.01055	4.5-0-0.5-0-0-94-1.1
105	OHNK59	WRC171-001	20	36.395783	-81.531642	UT Buffalo Creek (@ Buck Mtn.)	0.5503	0	5.00E-05	5.00E-04	0	0.4491	0	55-0-0-0.1-0-44.9-0
106	OHNK6	WRC124-001	20	36.3573423	-81.6159101	Bald Fork	1	0	0	0	0	0	0	100-0-0-0-0-0-0
110	OHNK63	WRC176-001	20	36.139162	-81.6672204	UT Middle Fork New River (@substation)	0.87865	0	0	0	2.00E-04	0.12115	0	87.9-0-0-0-0-12.1-0
111	OHNK64	WRC178-001	20	36.4802743	-81.4765576	UT North Fork New River	0.0472	0	0.0677	0	0	0.8332	0.05175	4.7-0-6.8-0-0-83.3-5.2
112	OHNK65	WRC179-001	20	36.42683	-81.613394	UT North Fork New River (@ Creston)	0.73915	0	0.00045	0.00015	0	0.174	0.08615	73.9-0-0-0-0-17.4-8.6
113	OHNK66	WRC183-001	20	36.332893	-81.4599757	UT South Fork New River	0.7338	0	0	5.00E-05	0	0.2278	0.0382	73.4-0-0-0-0-22.8-3.8
115	OHNK68	WRC187-001	19	36.4039791	-81.2784303	Wolf Branch	0.857842105	0	5.26E-05	0	0	0.127736842	0.014263158	85.8-0-0-0-0-12.8-1.4
116	OHNK69	D701-001	22	36.3169623	-81.7013383	UT Meat Camp Creek	0.9255	0	0	0	0	0.0745	0	92.6-0-0-0-0-7.5-0
117	OHNK7	WRC126-001	20	36.5626706	-81.6665957	Big Laurel Creek	0.0584	0	0.0329	0	0	0.90865	5.00E-05	5.8-0-3.3-0-0-90.9-0
119	OHNK71	D703-001	24	36.1541123	-81.6276005	Aho Branch	0.999958333	0	0	0	0	4.17E-05	0	100-0-0-0-0-0-0
120	OHNK8	WRC130-001	20	36.2638257	-81.5339435	Cranberry Creek	0.8903	0	0	0	0	0.1097	0	89-0-0-0-0-11-0
121	OHNK9	WRC132-001	20	36.2838079	-81.4351735	East Fork Pine Swamp Creek	0.9958	0	0	0	0	0.0042	0	99.6-0-0-0-0-0.4-0
122	PFBNC124	WRC336-001	20	36.3592958	-81.719256	UT Hoskins Fork	0.5269	0	9.00E-04	0.00045	0	0.45305	0.01865	52.7-0-0.1-0-0-45.3-1.9
123	PFBNC76	WRC332-001	20	36.3083612	-81.6702018	Little Creek	0.782	0	0	0	0	0.2179	5.00E-05	78.2-0-0-0-0-21.8-0
124	SnakeCreek	VA12-001	20	36.678723	-80.657286	Snake Creek	0.99935	0	4.00E-04	0	0	0.00025	0	99.9-0-0-0-0-0-0
125	StandrockBranch	VA13-001	20	37.196585	-80.893499	Standrock Branch	0.95335	0	0.00085	0	0	0.04065	0.00525	95.3-0-0.1-0-0-4.1-0.5
126	ToryCreek	VA14-001	18	36.744527	-80.493856	Tory Creek	0.999666667	0	0	5.56E-05	0	0.000166667	0	100-0-0-0-0-0-0
128	GA13	GA13-001	30	34.769548	-84.033267	Bryant Creek	0	0	0	0.999966667	0	0	0	0-0-0-100-0-0-0
129	GA14	GA14-001	40	34.767345	-83.993942	Logan Creek	0	0	0	1	0	0	0	0-0-0-100-0-0-0
130	GCS1	LR_2013_121	29	35.591956	-83.516187	Grouse Creek Site 1	0	0	0	1	0	0	0	0-0-0-100-0-0-0
131	GPS1	FC_2014_001	40	35.594153	-83.561233	Goshen Prong Site 1	0	0	0	1	0	0	0	0-0-0-100-0-0-0
132	GPS4	FC_2014_096	50	35.5834	-83.544	Goshen Prong Site 4	0	0	0	1	0	0	0	0-0-0-100-0-0-0
133	GRSML1	GRSML1-001	48	35.591	-83.5744	Fish Camp Run	0	0	0	1	0	0	0	0-0-0-100-0-0-0
136	GRSML22	GS35-001	30	35.62383817	-83.64181971	Marks Creek	0	0	0	1	0	0	0	0-0-0-100-0-0-0
137	GRSML3	GRSML3-001	35	35.5879	-83.6316	Indian Flats	0.026257143	0	0.041228571	0.798571429	5.71E-05	0.028857143	0.104942857	2.6-0-4.1-79.9-0-2.9-10.5
138	GRSML4	GRSML4-001	49	35.6509	-83.6281	Mannis Branch	0	0	0	0	1	0	0	0-0-0-0-100-0-0
139	GRSML5	GRSML5-001	24	35.5899	-83.5662	Silers's Creek	0	0	0	1	0	0	0	0-0-0-100-0-0-0
140	GRSML6	GRSML6-1001	76	35.5899	-83.5662	Silers's Creek (4,9,10)	0	0	0	1	0	0	0	0-0-0-100-0-0-0
142	GRSMP1	GRSMP1-001	47	35.6521	-83.1689	Lost Bottoms	0	0	0	0	1	0	0	0-0-0-0-100-0-0
143	GRSMP10	GRSMP10-001	21	35.62527	-83.47016	Road Prong	0.000285714	0	0	0.077333333	0.921285714	0.001	0	0-0-0-7.7-92.1-0.1-0
144	GRSMP11	GRSMP11-001	34	35.75969	-83.19495	Tom?s Creek	0	0	0	0	1	0	0	0-0-0-0-100-0-0
145	GRSMP12	GRSMP12-001	32	35.7389	-83.2783	Indian Camp Creek	0	0	0	0	1	0	0	0-0-0-0-100-0-0
146	GRSMP13	GRSMP13-001	25	35.67001	-83.09951	Little Cataloochee Creek	0	0	0	0	1	0	0	0-0-0-0-100-0-0
147	GRSMP14	GRSMP14-001	28	35.6767	-83.08874	Correll Branch	0	0	0	0	1	0	0	0-0-0-0-100-0-0
148	GRSMP16	GRSMP16-001	40	35.7608	-83.19703	Toms Creek	0	0	0	0	1	0	0	0-0-0-0-100-0-0
149	GRSMP17	GRSMP17-009	16	35.76479	-83.25353	Greenbrier Creek	0	0	0	0	1	0	0	0-0-0-0-100-0-0
150	GRSMP18	GRSMP18-009	16	35.73785	-83.27838	Indian Camp Creek	0	0	0	0	1	0	0	0-0-0-0-100-0-0
152	GRSMP2	GRSMP2-001	32	35.7671	-83.2023	Cosby Creek	0	0	0	0	1	0	0	0-0-0-0-100-0-0
153	GRSMP20	GS34-001	30	35.62745	-83.40842	Kephart Branch	0.000166667	0	0	3.33E-05	0.943333333	0.056433333	0	0-0-0-0-94.3-5.6-0
157	GRSMP24	GS37-001	30	35.62274826	-83.42144591	Walker Camp Prong	0.025433333	0	0.076766667	0.011666667	0.4043	0.1308	0.350933333	2.5-0-7.7-1.2-40.4-13.1-35.1
158	GRSMP25	GS38-001	28	35.7456837	-83.215988	Rock Creek	0	0	0	0	1	0	0	0-0-0-0-100-0-0
159	GRSMP26	GS39-001	30	35.69511594	-83.32153141	Buck Fork	0.9124	0	0.002033333	0	3.33E-05	0.085533333	0	91.2-0-0.2-0-0-8.6-0
160	GRSMP27	GS43-001	30	35.69182448	-83.31598851	Chapman Prong	0.971033333	0	0	0	0	0.028966667	0	97.1-0-0-0-0-2.9-0
162	GRSMP29	GS55-002	30	35.64431163	-83.0726446	Winding Stair	0	0	0	0	1	0	0	0-0-0-0-100-0-0
163	GRSMP3	GRSMP3-033	48	35.7671	-83.2023	Cosby Creek	0	0	0	0	0.999916667	8.33E-05	0	0-0-0-0-100-0-0
164	GRSMP30	GS56-002	30	35.59985518	-83.1308236	Hurricane Creek	0	0	0	0	0.999766667	0.000233333	0	0-0-0-0-100-0-0
165	GRSMP31	GS57-002	30	35.6021498	-83.16291579	Bear Branch	0	0	0	0	1	0	0	0-0-0-0-100-0-0
166	GRSMP32	GS58-002	30	35.67181836	-83.13536468	Pretty Hollow	0	0	0	0	1	0	0	0-0-0-0-100-0-0
167	GRSMP33	GS59-002	30	35.60188	-83.16237872	Horse Creek	0	0	0	0	1	0	0	0-0-0-0-100-0-0
168	GRSMP34	GS60-002	30	35.61488345	-83.14599307	Messer Branch	0	0	0	0	0.999966667	0	0	0-0-0-0-100-0-0
169	GRSMP35	GS61-002	29	35.61336491	-83.0939906	Sag Branch	0	0	0	0	1	0	0	0-0-0-0-100-0-0
170	GRSMP36	GS62-002	29	35.57193744	-83.12570343	Caldwell Fork	0	0	0	0.000137931	0.999862069	3.45E-05	0	0-0-0-0-100-0-0
171	GRSMP37	GS63-002	30	35.67180283	-83.13877789	Onion Bed	0.0305	0	0	0	0.968733333	0.000766667	0	3.1-0-0-0-96.9-0.1-0
172	GRSMP38	GS64-002	30	35.57635336	-83.12628358	Straight Creek	3.00E-04	0	0	0	0.978433333	0.021266667	0	0-0-0-0-97.8-2.1-0
173	GRSMP39	GS65-002	30	35.59419869	-83.0987225	McKee Branch	0	0	0	0	0.991133333	0.008866667	0	0-0-0-0-99.1-0.9-0
174	GRSMP4	GRSMP4-001	28	35.7643	-83.2526	Greenbrier Creek	0	0	0	0	1	0	0	0-0-0-0-100-0-0
175	GRSMP5	GRSMP5-035	27	35.7643	-83.2526	Greenbrier Creek	0	0	0	0	1	0	0	0-0-0-0-100-0-0
176	GRSMP6	GRSMP6-001	33	35.7389	-83.2783	Indian Camp Creek	9.09E-05	0	0	0	0.996212121	0.00369697	0	0-0-0-0-99.6-0.4-0
177	GRSMP8	GRSMP8-001	25	35.7671	-83.2023	Cosby Creek	0	0	0	0	1	0	0	0-0-0-0-100-0-0
178	GRSMP9	GRSMP9-001	34	35.7643	-83.2526	Greenbrier Creek	0	0	0	0	1	0	0	0-0-0-0-100-0-0
179	GRSMT1	GRSMT1-001	49	35.5563	-83.1677	Bunches Creek	0.906122449	0	0	0.001632653	0.048816327	0.043469388	0	90.6-0-0-0.2-4.9-4.3-0
180	GRSMT2	GRSMT2-001	50	35.5667	-83.18	Flatt Creek	0.87356	0	0	0	0.1087	0.01774	0	87.4-0-0-0-10.9-1.8-0
181	GRSMT22	GS36-001	28	35.61986728	-83.23039471	Hyatt Creek	0.99825	0	3.57E-05	0	0	0.001714286	0	99.8-0-0-0-0-0.2-0
182	GRSMT23	GS40-001	29	35.58476105	-83.42515628	RF Deep Creek	1	0	0	0	0	0	0	100-0-0-0-0-0-0
183	GRSMT24	GS41-001	30	35.58503691	-83.42667635	Sahlee Creek	1	0	0	0	0	0	0	100-0-0-0-0-0-0
184	GRSMT25	GS42-001	30	35.55528252	-83.47670642	Noland Creek	1	0	0	0	0	0	0	100-0-0-0-0-0-0
185	GRSMT26	GS44-001	31	35.49706343	-83.65659546	Cold Springs Branch	1	0	0	0	0	0	0	100-0-0-0-0-0-0
186	GRSMT27	GS45-001	30	35.51194438	-83.69720183	Haw Gap Branch	1	0	0	0	0	0	0	100-0-0-0-0-0-0
187	GRSMT28	GS46-001	29	35.54112558	-83.67636608	Desolation Branch	1	0	0	0	0	0	0	100-0-0-0-0-0-0
188	GRSMT29	GS47-001	30	35.54053482	-83.6708987	Defeat Branch	1	0	0	0	0	0	0	100-0-0-0-0-0-0
189	GRSMT3	GRSMT3-001	40	35.5341	-83.5446	Huggin's Creek	0.811975	0	0.01215	0.0246	0	0.046175	0.105025	81.2-0-1.2-2.5-0-4.6-10.5
190	GRSMT30	GS49-002	30	35.62001761	-83.33050789	Louie Camp Branch	1	0	0	0	0	0	0	100-0-0-0-0-0-0
191	GRSMT31	GS50-002	30	35.61226789	-83.26422737	Enloe Creek	0.889833333	0	0.008366667	0	0	0.101833333	0	89-0-0.8-0-0-10.2-0
192	GRSMT32	GS51-002	30	35.62431103	-83.32617226	Bearwallow Branch	0.936366667	0	0.005833333	0	0.033333333	0.0243	0.000166667	93.6-0-0.6-0-3.3-2.4-0
193	GRSMT33	GS52-002	30	35.63332387	-83.32996679	Chasm Prong	0.999733333	0	0	0	0	0.000266667	0	100-0-0-0-0-0-0
194	GRSMT34	GS53-001	30	35.64340742	-83.25582982	R. Fork Raven Fork	0.961466667	0	0.000533333	0	0	0.038033333	0	96.1-0-0.1-0-0-3.8-0
195	GRSMT35	GS54-002	30	35.64491771	-83.32894523	Gulf Prong	0.998333333	0	0	0	0	0.001666667	0	99.8-0-0-0-0-0.2-0
197	GRSMT5	GRSMT5-001	47	35.4858	-83.5926	Bear Creek	0.921021277	0	0.017468085	0.008808511	0	0.03512766	0.017510638	92.1-0-1.7-0.9-0-3.5-1.8
198	GRSMT6	GRSMT6-001	25	35.58628	-83.36516	Kanati Fork	1	0	0	0	0	0	0	100-0-0-0-0-0-0
199	GRSMT7	GRSMT7-001	22	35.59933	-83.39906	Aden Branch	1	0	0	0	0	0	0	100-0-0-0-0-0-0
200	L2S1	FC_2014_238	50	35.57905	-83.578	Lean-to Site 1	0	0	0	1	0	0	0	0-0-0-100-0-0-0
201	LRS1	LR_2013_001	30	35.592602	-83.511766	Little River Site 1	0	0	0	0.966666667	0	0.033333333	0	0-0-0-96.7-0-3.3-0
202	LTGA11	GA11-001	30	34.946254	-83.453083	Keener Creek	0.998866667	0	0	0.001033333	0	6.67E-05	0	99.9-0-0-0.1-0-0-0
203	LTNC10	WRC113-001	20	35.0511015	-83.308477	UT Tessentee Creek	1	0	0	0	0	0	0	100-0-0-0-0-0-0
204	LTNC100	WRC091-001	20	35.2377037	-84.0580182	(A) Tipton Creek (incl. trib.)	0.9723	0	0	0	0	0.0276	1.00E-04	97.2-0-0-0-0-2.8-0
205	LTNC101	WRC092-001	20	35.0634056	-83.2739161	Bennies Branch	0.6407	0	0.00025	0	0	0.3335	0.0256	64.1-0-0-0-0-33.4-2.6
206	LTNC102	WRC093-001	20	35.089675	-83.189961	Big Creek	0.29535	0	0.0015	0	0	0.5846	0.11835	29.5-0-0.2-0-0-58.5-11.8
207	LTNC103	WRC095-001	20	35.1016582	-83.2430469	Brush Creek	0.59465	0	0	0	0	0.3486	0.0567	59.5-0-0-0-0-34.9-5.7
208	LTNC104	WRC096-001	20	35.2257112	-83.2384502	Bryson Branch	0.897	0	0	0	0	0.103	0	89.7-0-0-0-0-10.3-0
209	LTNC105	WRC098-001	20	35.1037626	-83.2902498	Crow Creek	0.0522	0	5.00E-05	0	0	0.44575	0.50185	5.2-0-0-0-0-44.6-50.2
