ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	K13	K14	K15	K0	Data
64	OHNK21	WRC172.001	20	36.4275894	-81.285759	UT Cranberry Creek	0.997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	99.7-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0.3
65	OHNK22	WRC177.001	20	36.1687212	-81.6486848	UT Middle Fork New River (@Tweetsie RR)	0.9542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0458	95.4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4.6
66	OHNK23	WRC180.001	20	36.3346989	-81.5191582	UT Old Fields Creek	0.99965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035	100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
67	OHNK24	WRC181.001	20	36.318367	-81.6350545	UT Pine Orchard Creek	0.9997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003	100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
68	OHNK25	WRC184.001	20	36.3238544	-81.4823595	UT South Fork New River	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
69	OHNK26	WRC186.001	20	36.2661567	-81.4775217	West Fork Pine Swamp Creek	0.9999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
70	OHNK27	WRC188.001	20	36.2837895	-81.4703543	Wolfpen Creek	0.999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	99.9-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0.1
72	OHNK29	WRC127.001	20	36.1556403	-81.6500868	Brown Branch	0.99125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00875	99.1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0.9
75	OHNK31	WRC129.001	20	36.4408513	-81.4916861	Claybank Creek	0.9477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05235	94.8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5.2
76	OHNK32	WRC131.001	20	36.242154	-81.686784	Doe Fork	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
77	OHNK33	WRC133.001	20	36.5054486	-81.6451105	East Fork Roaring Fork	0.323	0	0	0.677	0	0	0	0	0	0	0	0	0	0	0	0	32.3-0-0-67.7-0-0-0-0-0-0-0-0-0-0-0-0
78	OHNK34	WRC135.001	20	36.4266562	-81.4539442	Ezra Fork	0.973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	97.3-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2.7
79	OHNK35	WRC136.001	20	36.2409489	-81.538227	Gap Creek	0.9428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0571	94.3-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5.7
81	OHNK37	WRC139.001	19	36.371606	-81.712475	Hoskins Fork	0.354842105	0	0	0.531789474	0.113421053	0	0	0	0	0	0	0	0	0	0	0	35.5-0-0-53.2-11.3-0-0-0-0-0-0-0-0-0-0-0
82	OHNK38	WRC140.001	20	36.5535323	-81.513874	Jerd Branch	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0-0-0-100-0-0-0-0-0-0-0-0-0-0-0-0
83	OHNK39	WRC141.001	20	36.2687846	-81.7183243	Jones Branch	0.99955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004	100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
84	OHNK4	WRC122.001	20	36.1726689	-81.6925992	(C) Winkler Creek (above old Impoundment)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
85	OHNK40	WRC142.001	20	36.5283912	-81.6843392	Kilby Creek	0.9632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0368	96.3-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3.7
87	OHNK42	WRC145.001	20	36.424392	-81.197458	Meadow Fork	0.98415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0158	98.4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1.6
89	OHNK44	WRC148.001	20	36.2362881	-81.6642773	Norris Branch	0.89545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10455	89.5-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10.5
90	OHNK45	WRC149.001	19	36.2825932	-81.6830482	Norris Fork	0.788052632	0	0	0.112947368	0	0	0	0	0	0	0	0	0	0	0	0.099	78.8-0-0-11.3-0-0-0-0-0-0-0-0-0-0-0-9.9
93	OHNK48	WRC155.001	20	36.3041046	-81.650166	Rittle Fork	0.9505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0495	95.1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5
94	OHNK49	WRC157.001	20	36.5053588	-81.5980255	Roaring Branch	0.88055	0	0	0.11905	0	0	0	0	0	0	0	0	0	0	0	0.0004	88.1-0-0-11.9-0-0-0-0-0-0-0-0-0-0-0-0
95	OHNK5	WRC123.001	20	36.1752544	-81.6899697	(C) Winkler Creek (between old & new impoundments)	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	95-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5
96	OHNK50	WRC158.001	20	36.5147638	-81.653585	Roaring Fork	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0-0-0-100-0-0-0-0-0-0-0-0-0-0-0-0
98	OHNK52	WRC160.001	20	36.455572	-81.697383	Roundabout Creek	0	0	0	0.9001	0	0	0	0	0	0	0	0	0	0	0	0.0999	0-0-0-90-0-0-0-0-0-0-0-0-0-0-0-10
99	OHNK53	WRC162.001	20	36.3749868	-81.5996959	Skin Camp Branch	0	0	0	0	0	0	0	0	0	0.9983	0	0	0	0	0	0.0017	0-0-0-0-0-0-0-0-0-99.8-0-0-0-0-0-0.2
100	OHNK54	WRC163.001	20	36.354175	-81.676697	Snyder Branch	0.77725	0	0	0.22275	0	0	0	0	0	0	0	0	0	0	0	0	77.7-0-0-22.3-0-0-0-0-0-0-0-0-0-0-0-0
102	OHNK56	WRC166.001	19	36.146241	-81.647147	UT Aho Branch	0.753210526	0	0	0.245	0	0	0	0	0	0	0	0	0	0	0	0.001789474	75.3-0-0-24.5-0-0-0-0-0-0-0-0-0-0-0-0.2
103	OHNK57	WRC169.001	20	36.547918	-81.6603131	UT Big Laurel Creek ( Below Flatwood )	0.68125	0	0	0.31875	0	0	0	0	0	0	0	0	0	0	0	0	68.1-0-0-31.9-0-0-0-0-0-0-0-0-0-0-0-0
104	OHNK58	WRC170.001	20	36.5547494	-81.6693876	UT Big Laurel Creek ( Denny Hollow )	0.63705	0	0	0.36295	0	0	0	0	0	0	0	0	0	0	0	0	63.7-0-0-36.3-0-0-0-0-0-0-0-0-0-0-0-0
105	OHNK59	WRC171.001	20	36.395783	-81.531642	UT Buffalo Creek (@ Buck Mtn.)	0.99885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115	99.9-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0.1
106	OHNK6	WRC124.001	20	36.3573423	-81.6159101	Bald Fork	0.90245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09755	90.2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-9.8
110	OHNK63	WRC176.001	20	36.139162	-81.6672204	UT Middle Fork New River (@substation)	0.99975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
111	OHNK64	WRC178.001	20	36.4802743	-81.4765576	UT North Fork New River	0.4464	0	0	0.55245	0	0	0	0	0	0	0	0	0	0	0	0.00125	44.6-0-0-55.2-0-0-0-0-0-0-0-0-0-0-0-0.1
112	OHNK65	WRC179.001	20	36.42683	-81.613394	UT North Fork New River (@ Creston)	0.7053	0	0	0.29465	0	0	0	0	0	0	0	0	0	0	0	0.00005	70.5-0-0-29.5-0-0-0-0-0-0-0-0-0-0-0-0
113	OHNK66	WRC183.001	20	36.332893	-81.4599757	UT South Fork New River	0.8732	0	0	0.12185	0	0	0	0	0	0	0	0	0	0	0	0.0049	87.3-0-0-12.2-0-0-0-0-0-0-0-0-0-0-0-0.5
115	OHNK68	WRC187.001	19	36.4039791	-81.2784303	Wolf Branch	0.893421053	0	0	0.104157895	0	0	0	0	0	0	0	0	0	0	0	0.002421053	89.3-0-0-10.4-0-0-0-0-0-0-0-0-0-0-0-0.2
116	OHNK69	D701.001	22	36.3169623	-81.7013383	UT Meat Camp Creek	0.911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089	91.1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8.9
117	OHNK7	WRC126.001	20	36.5626706	-81.6665957	Big Laurel Creek	0.71365	0	0	0.28635	0	0	0	0	0	0	0	0	0	0	0	0	71.4-0-0-28.6-0-0-0-0-0-0-0-0-0-0-0-0
119	OHNK71	D703.001	24	36.1541123	-81.6276005	Aho Branch	0.962833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037166667	96.3-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3.7
120	OHNK8	WRC130.001	20	36.2638257	-81.5339435	Cranberry Creek	0.9768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232	97.7-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2.3
121	OHNK9	WRC132.001	20	36.2838079	-81.4351735	East Fork Pine Swamp Creek	0.99975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	100-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
122	PFBNC124	WRC336.001	20	36.3592958	-81.719256	UT Hoskins Fork	0.49205	0	0	0.50775	0	0	0	0	0	0	0	0	0	0	0	0.00015	49.2-0-0-50.8-0-0-0-0-0-0-0-0-0-0-0-0
123	PFBNC76	WRC332.001	20	36.3083612	-81.6702018	Little Creek	0.9469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0531	94.7-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5.3
124	SnakeCreek	VA12.001	20	36.678723	-80.657286	Snake Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0
125	StandrockBranch	VA13.001	20	37.196585	-80.893499	Standrock Branch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9971	0.0029	0-0-0-0-0-0-0-0-0-0-0-0-0-0-99.7-0.3
126	ToryCreek	VA14.001	18	36.744527	-80.493856	Tory Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0
128	GA13	GA13.001	30	34.769548	-84.033267	Bryant Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0
129	GA14	GA14.001	40	34.767345	-83.993942	Logan Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0-0-0-0-0-0-0-0-0-0-0-0-0-0-100-0
130	GCS1	LR_2013_121	29	35.591956	-83.516187	Grouse Creek Site 1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0-100-0-0-0-0-0-0-0-0-0-0-0-0-0-0
131	GPS1	FC_2014_001	40	35.594153	-83.561233	Goshen Prong Site 1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0-100-0-0-0-0-0-0-0-0-0-0-0-0-0-0
132	GPS4	FC_2014_096	50	35.5834	-83.544	Goshen Prong Site 4	0	0.99966	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00034	0-100-0-0-0-0-0-0-0-0-0-0-0-0-0-0
133	GRSML1	GRSML1.001	48	35.591	-83.5744	Fish Camp Run	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0-100-0-0-0-0-0-0-0-0-0-0-0-0-0-0
136	GRSML22	GS35.001	30	35.62383817	-83.64181971	Marks Creek	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0-100-0-0-0-0-0-0-0-0-0-0-0-0-0-0
137	GRSML3	GRSML3.001	35	35.5879	-83.6316	Indian Flats	0	0.748257143	0.232542857	0	0	0	0	0	0	0	0	0	0	0	0	0.0192	0-74.8-23.3-0-0-0-0-0-0-0-0-0-0-0-0-1.9
138	GRSML4	GRSML4.001	49	35.6509	-83.6281	Mannis Branch	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0
139	GRSML5	GRSML5.001	24	35.5899	-83.5662	Silers's Creek	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0-100-0-0-0-0-0-0-0-0-0-0-0-0-0-0
140	GRSML6	GRSML6.1001	76	35.5899	-83.5662	Silers's Creek (4,9,10)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0-100-0-0-0-0-0-0-0-0-0-0-0-0-0-0
142	GRSMP1	GRSMP1.001	47	35.6521	-83.1689	Lost Bottoms	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0
143	GRSMP10	GRSMP10.001	21	35.62527	-83.47016	Road Prong	0	0	0	0	0	0	0	0	0	0	0	0	0	0.915809524	0	0.084142857	0-0-0-0-0-0-0-0-0-0-0-0-0-91.6-0-8.4
144	GRSMP11	GRSMP11.001	34	35.75969	-83.19495	Tom?s Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0
145	GRSMP12	GRSMP12.001	32	35.7389	-83.2783	Indian Camp Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0
146	GRSMP13	GRSMP13.001	25	35.67001	-83.09951	Little Cataloochee Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0
147	GRSMP14	GRSMP14.001	28	35.6767	-83.08874	Correll Branch	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0
148	GRSMP16	GRSMP16.001	40	35.7608	-83.19703	Toms Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0
149	GRSMP17	GRSMP17.009	16	35.76479	-83.25353	Greenbrier Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0
150	GRSMP18	GRSMP18.009	16	35.73785	-83.27838	Indian Camp Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0
152	GRSMP2	GRSMP2.001	32	35.7671	-83.2023	Cosby Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0-0-0-0-0-0-0-0-0-0-0-0-0-100-0-0
153	GRSMP20	GS34.001	30	35.62745	-83.40842	Kephart Branch	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998066667	0	0.001933333	0-0-0-0-0-0-0-0-0-0-0-0-0-99.8-0-0.2
157	GRSMP24	GS37.001	30	35.62274826	-83.42144591	Walker Camp Prong	0	0	0.478733333	0	0	0.118133333	0	0	0	0	0	0	0	0.293566667	0	0.1095	0-0-47.9-0-0-11.8-0-0-0-0-0-0-0-29.4-0-11
