ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	k1	k2	k3	k4	k5	k6	k7	k8	k9	k10	k11	k12	k13	k14	k15	k16	k17	k18	k19	k20	k0	Data
12	OHYM1	[OHYM1-01]	49	39.7148	-79.2305	Puzzley Run	0	0	0	0	0	0	0	0	0	0	0.597	0	0	0	0	0	0	0	0	0	0.403	0-0-0-0-0-0-0-0-0-0-59.7-0-0-0-0-0-0-0-0-0-40.3
13	OHYM2	[OHYM2-01]	49	39.4016	-79.3043	Boiling Springs	0	0	0	0.486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.514	0-0-0-48.6-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-51.4
14	OHYM3	[OHYM3-01]	49	39.6588	-79.2739	Little Bear Creek	0	0	0	0	0	0	0	0	0	0	0.58	0	0	0.124	0	0	0	0	0	0	0.296	0-0-0-0-0-0-0-0-0-0-58-0-0-12.4-0-0-0-0-0-0-29.6
15	OHYM4	[OHYM4-001]	30	39.6329	-79.2252	Casselman River	0	0	0	0	0	0	0	0	0	0	0.107	0	0	0.274	0	0	0	0.104	0.195	0	0.32	0-0-0-0-0-0-0-0-0-0-10.7-0-0-27.4-0-0-0-10.4-19.5-0-32
16	GA06	[GA06-001]	30	34.796427	-83.78574	Upper Chattahoochee River	0	0.714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286	0-71.4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-28.6
17	GA07	[GA07-001]	30	34.764654	-83.804072	Low Gap Creek	0	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0-96-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4
18	GA21	[GA21-001]	30	34.79557	-83.653437	Left Fork Soque River	0	0.966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034	0-96.6-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3.4
19	GUNR1	[GUNR1-01]	50	39.5981	-76.6531	Panther Branch	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0.204	0	0	0.496	0-0-0-0-0-0-0-0-0-0-30-0-0-0-0-0-0-20.4-0-0-49.6
20	GUNR2	[GUNR2-01]	50	39.658	-76.8139	Indian Run	0	0	0	0	0	0	0	0	0	0	0.875	0	0	0	0	0	0	0	0	0	0.125	0-0-0-0-0-0-0-0-0-0-87.5-0-0-0-0-0-0-0-0-0-12.5
23	SUSR4	[SUSR4-001]	100	39.6481	-76.4454	Rock Hollow Run	0	0	0	0	0	0	0	0	0	0	0	0.789	0	0	0	0	0	0	0	0	0.211	0-0-0-0-0-0-0-0-0-0-0-78.9-0-0-0-0-0-0-0-0-21.1
24	SUSR5	[SUSR5-001]	50	39.6295	-76.4209	Kellogg Branch	0	0	0	0	0	0	0	0	0	0	0	0.787	0	0	0	0	0	0	0	0	0.213	0-0-0-0-0-0-0-0-0-0-0-78.7-0-0-0-0-0-0-0-0-21.3
25	SUSR6	[SUSR6-001]	50	39.6438	-76.479	Spooners Creek	0	0	0	0	0	0	0	0	0	0	0	0.825	0	0	0	0	0	0	0	0	0.175	0-0-0-0-0-0-0-0-0-0-0-82.5-0-0-0-0-0-0-0-0-17.5
26	CATO1	[CATO1-01]	47	39.6349	-77.4789	Big Hunting Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.752	0	0	0.248	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-75.2-0-0-24.8
27	CATO2	[CATO2-01]	49	39.6632	-77.4804	Owens Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.803	0	0.197	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-80.3-0-19.7
28	CATO3	[CATO3-01]	32	39.6363	-77.45	Still Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.465	0	0.41	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12.5-46.5-0-41
29	CATO4	[CATO4-01]	38	39.5432	-77.4647	Right Fork Fishing Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.796	0	0.204	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-79.6-0-20.4
30	CATO5	[CATO5-01]	48	39.5327	-77.4752	Left Fork Fishing Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	0	0.22	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-78-0-22
31	POMR1	[POMR1-01]	47	39.4734	-77.4152	Tuscarora Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.247	0.456	0	0.297	0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-24.7-45.6-0-29.7
32	BearCreek	[VA05-001]	20	36.737334	-80.58159	Bear Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.895	0	0	0	0	0	0	0.105	0-0-0-0-0-0-0-0-0-0-0-0-0-89.5-0-0-0-0-0-0-10.5
33	BigReedIslandCr	[VA07-001]	20	36.674994	-80.521569	Big Reed Island Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.689	0	0	0	0	0	0	0.311	0-0-0-0-0-0-0-0-0-0-0-0-0-68.9-0-0-0-0-0-0-31.1
35	EFDryRun	[VA09-001]	20	36.771983	-81.164966	EF Dry Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0.848	0	0	0	0	0	0	0.152	0-0-0-0-0-0-0-0-0-0-0-0-0-84.8-0-0-0-0-0-0-15.2
37	NFStonyCreek	[VA11-002]	19	37.43226	-80.553248	NF Stony Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.786	0	0	0	0	0	0	0.214	0-0-0-0-0-0-0-0-0-0-0-0-0-78.6-0-0-0-0-0-0-21.4
38	OHCK1	[OHCK1-01]	25	38.23711	-80.34118	Byrd Branch	0	0	0	0	0	0.168	0	0	0	0	0.122	0	0	0.394	0	0	0	0	0	0	0.316	0-0-0-0-0-16.8-0-0-0-0-12.2-0-0-39.4-0-0-0-0-0-0-31.6
39	OHCK2	[OHCK2-01]	49	38.24175	-80.37169	Dogway Fork	0	0	0	0	0	0.213	0	0	0	0	0	0	0	0.328	0	0	0	0	0	0	0.459	0-0-0-0-0-21.3-0-0-0-0-0-0-0-32.8-0-0-0-0-0-0-45.9
40	OHGK1	[OHGK1-01]	50	38.58315	-79.66737	Walderman Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0.519	0	0	0	0	0	0	0.481	0-0-0-0-0-0-0-0-0-0-0-0-0-51.9-0-0-0-0-0-0-48.1
41	OHGK2	[OHGK2-01]	49	38.39899	-79.74983	Sutton Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0.836	0	0	0	0	0	0	0.164	0-0-0-0-0-0-0-0-0-0-0-0-0-83.6-0-0-0-0-0-0-16.4
42	OHGK3	[OHGK3-001]	27	38.65128	-79.65491	EF Greenbrier Headwater	0	0	0	0	0	0	0	0	0	0	0	0	0	0.424	0	0	0	0.144	0	0	0.432	0-0-0-0-0-0-0-0-0-0-0-0-0-42.4-0-0-0-14.4-0-0-43.2
43	OHGK4	[OHGK4-001]	30	38.62221	-79.68543	Mullenox Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0.478	0	0	0	0	0	0	0.522	0-0-0-0-0-0-0-0-0-0-0-0-0-47.8-0-0-0-0-0-0-52.2
44	OHGK5	[OHGK5-001]	23	38.61545	-79.67927	Abes Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0.533	0	0	0	0	0	0	0.467	0-0-0-0-0-0-0-0-0-0-0-0-0-53.3-0-0-0-0-0-0-46.7
45	OHGK6	[OHGK6-001]	19	38.57618	-79.70156	Long Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0.602	0	0	0	0	0	0	0.398	0-0-0-0-0-0-0-0-0-0-0-0-0-60.2-0-0-0-0-0-0-39.8
46	OHGK7	[OHGK7-001]	22	38.51356	-79.7221	Little River	0	0	0	0	0	0	0	0	0	0	0	0	0	0.759	0	0	0	0	0	0	0.241	0-0-0-0-0-0-0-0-0-0-0-0-0-75.9-0-0-0-0-0-0-24.1
47	OHGK8	[OHGK8-001]	29	37.96923	-80.29571	Laurel Run	0	0	0	0	0	0.778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222	0-0-0-0-0-77.8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-22.2
49	OHGN1	[OHGN1-001]	30	38.2026	-80.37271	NF Cherry River	0	0	0	0	0	0	0	0	0	0	0	0	0	0.574	0	0	0	0	0	0	0.426	0-0-0-0-0-0-0-0-0-0-0-0-0-57.4-0-0-0-0-0-0-42.6
51	OHNK1	[OHNK1-001]	30	37.91433	-81.02081	Buffalo Creek	0	0	0	0	0	0.108	0	0	0	0	0.115	0	0	0.516	0	0	0	0	0	0	0.261	0-0-0-0-0-10.8-0-0-0-0-11.5-0-0-51.6-0-0-0-0-0-0-26.1
52	OHNK10	[WRC134-001]	20	36.4267603	-81.453945	Ezra Fork	0	0	0	0	0	0	0	0	0	0	0	0	0	0.728	0	0	0	0	0	0	0.272	0-0-0-0-0-0-0-0-0-0-0-0-0-72.8-0-0-0-0-0-0-27.2
53	OHNK11	[WRC137-001]	20	36.4493635	-81.0835415	Glade Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.767	0	0	0	0	0	0	0.233	0-0-0-0-0-0-0-0-0-0-0-0-0-76.7-0-0-0-0-0-0-23.3
54	OHNK12	[WRC144-001]	20	36.5569233	-81.6234242	Little Horse Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807	0	0	0	0	0	0	0.193	0-0-0-0-0-0-0-0-0-0-0-0-0-80.7-0-0-0-0-0-0-19.3
55	OHNK13	[WRC146-001]	20	36.3196431	-81.6919865	Meat Camp Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.821	0	0	0	0	0	0	0.179	0-0-0-0-0-0-0-0-0-0-0-0-0-82.1-0-0-0-0-0-0-17.9
57	OHNK15	[WRC151-001]	20	36.3279872	-81.6367979	Pine Orchard Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.875	0	0	0	0	0	0	0.125	0-0-0-0-0-0-0-0-0-0-0-0-0-87.5-0-0-0-0-0-0-12.5
58	OHNK16	[WRC153-001]	20	36.4215314	-81.2530259	Reeves Branch	0	0	0	0	0	0	0	0	0	0	0	0	0	0.595	0	0	0	0	0	0	0.405	0-0-0-0-0-0-0-0-0-0-0-0-0-59.5-0-0-0-0-0-0-40.5
60	OHNK18	[WRC165-001]	20	36.255907	-81.7003412	Trivett Branch	0	0	0	0	0	0	0	0	0	0	0	0	0	0.673	0	0	0	0	0	0	0.327	0-0-0-0-0-0-0-0-0-0-0-0-0-67.3-0-0-0-0-0-0-32.7
61	OHNK19	[WRC167-001]	20	36.583253	-81.630069	UT Big Horse Creek (above Ripshin Branch at Va. state line)	0	0	0	0	0	0	0	0	0	0	0	0	0	0.929	0	0	0	0	0	0	0.071	0-0-0-0-0-0-0-0-0-0-0-0-0-92.9-0-0-0-0-0-0-7.1
63	OHNK20	[WRC168-001]	20	36.5258384	-81.6704962	UT Big Laurel Creek ( Above Beaverponds )	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0.406	0	0	0	0	0	0	0.454	0-0-0-14-0-0-0-0-0-0-0-0-0-40.6-0-0-0-0-0-0-45.4
64	OHNK21	[WRC172-001]	20	36.4275894	-81.285759	UT Cranberry Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.826	0	0	0	0	0	0	0.174	0-0-0-0-0-0-0-0-0-0-0-0-0-82.6-0-0-0-0-0-0-17.4
65	OHNK22	[WRC177-001]	20	36.1687212	-81.6486848	UT Middle Fork New River (@Tweetsie RR)	0	0	0	0	0	0	0	0	0	0	0	0	0	0.752	0	0	0	0	0	0	0.248	0-0-0-0-0-0-0-0-0-0-0-0-0-75.2-0-0-0-0-0-0-24.8
66	OHNK23	[WRC180-001]	20	36.3346989	-81.5191582	UT Old Fields Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.735	0	0	0	0	0	0	0.265	0-0-0-0-0-0-0-0-0-0-0-0-0-73.5-0-0-0-0-0-0-26.5
67	OHNK24	[WRC181-001]	20	36.318367	-81.6350545	UT Pine Orchard Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.864	0	0	0	0	0	0	0.136	0-0-0-0-0-0-0-0-0-0-0-0-0-86.4-0-0-0-0-0-0-13.6
68	OHNK25	[WRC184-001]	20	36.3238544	-81.4823595	UT South Fork New River	0	0	0	0	0	0	0	0	0	0	0	0	0	0.859	0	0	0	0	0	0	0.141	0-0-0-0-0-0-0-0-0-0-0-0-0-85.9-0-0-0-0-0-0-14.1
69	OHNK26	[WRC186-001]	20	36.2661567	-81.4775217	West Fork Pine Swamp Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.896	0	0	0	0	0	0	0.104	0-0-0-0-0-0-0-0-0-0-0-0-0-89.6-0-0-0-0-0-0-10.4
70	OHNK27	[WRC188-001]	20	36.2837895	-81.4703543	Wolfpen Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.889	0	0	0	0	0	0	0.111	0-0-0-0-0-0-0-0-0-0-0-0-0-88.9-0-0-0-0-0-0-11.1
72	OHNK29	[WRC127-001]	20	36.1556403	-81.6500868	Brown Branch	0	0	0	0	0	0	0	0.108	0	0	0	0	0	0.562	0	0	0	0	0	0	0.33	0-0-0-0-0-0-0-10.8-0-0-0-0-0-56.2-0-0-0-0-0-0-33
75	OHNK31	[WRC129-001]	20	36.4408513	-81.4916861	Claybank Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.683	0	0	0	0	0	0	0.317	0-0-0-0-0-0-0-0-0-0-0-0-0-68.3-0-0-0-0-0-0-31.7
76	OHNK32	[WRC131-001]	20	36.242154	-81.686784	Doe Fork	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91	0	0	0	0	0	0	0.09	0-0-0-0-0-0-0-0-0-0-0-0-0-91-0-0-0-0-0-0-9
77	OHNK33	[WRC133-001]	20	36.5054486	-81.6451105	East Fork Roaring Fork	0	0	0	0.16	0	0.119	0	0	0	0	0	0	0	0.271	0	0	0	0	0	0	0.45	0-0-0-16-0-11.9-0-0-0-0-0-0-0-27.1-0-0-0-0-0-0-45
78	OHNK34	[WRC135-001]	20	36.4266562	-81.4539442	Ezra Fork	0	0	0	0	0	0	0	0	0	0	0	0	0	0.729	0	0	0	0	0	0	0.271	0-0-0-0-0-0-0-0-0-0-0-0-0-72.9-0-0-0-0-0-0-27.1
79	OHNK35	[WRC136-001]	20	36.2409489	-81.538227	Gap Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76	0	0	0	0	0	0	0.24	0-0-0-0-0-0-0-0-0-0-0-0-0-76-0-0-0-0-0-0-24
81	OHNK37	[WRC139-001]	19	36.371606	-81.712475	Hoskins Fork	0	0	0	0.154	0	0	0	0	0	0	0	0	0	0.463	0	0	0	0	0	0	0.383	0-0-0-15.4-0-0-0-0-0-0-0-0-0-46.3-0-0-0-0-0-0-38.3
82	OHNK38	[WRC140-001]	20	36.5535323	-81.513874	Jerd Branch	0	0	0	0	0	0.787	0	0	0	0	0	0	0		0	0	0	0	0	0	0.213	0-0-0-0-0-78.7-0-0-0-0-0-0-0-0-0-0-0-0-0-0-21.3
83	OHNK39	[WRC141-001]	20	36.2687846	-81.7183243	Jones Branch	0	0	0	0	0	0	0	0	0	0	0	0	0	0.599	0	0	0	0	0	0	0.401	0-0-0-0-0-0-0-0-0-0-0-0-0-59.9-0-0-0-0-0-0-40.1
84	OHNK4	[WRC122-001]	20	36.1726689	-81.6925992	(C) Winkler Creek (above old Impoundment)	0	0	0	0	0	0	0	0	0	0	0	0	0	0.869	0	0	0	0	0	0	0.131	0-0-0-0-0-0-0-0-0-0-0-0-0-86.9-0-0-0-0-0-0-13.1
85	OHNK40	[WRC142-001]	20	36.5283912	-81.6843392	Kilby Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.524	0	0	0	0	0	0	0.476	0-0-0-0-0-0-0-0-0-0-0-0-0-52.4-0-0-0-0-0-0-47.6
87	OHNK42	[WRC145-001]	20	36.424392	-81.197458	Meadow Fork	0	0	0	0	0	0	0	0	0	0	0	0	0	0.485	0	0	0	0	0	0	0.515	0-0-0-0-0-0-0-0-0-0-0-0-0-48.5-0-0-0-0-0-0-51.5
89	OHNK44	[WRC148-001]	20	36.2362881	-81.6642773	Norris Branch	0	0	0	0	0	0	0	0	0	0	0	0	0	0.331	0	0	0	0	0	0	0.669	0-0-0-0-0-0-0-0-0-0-0-0-0-33.1-0-0-0-0-0-0-66.9
90	OHNK45	[WRC149-001]	19	36.2825932	-81.6830482	Norris Fork	0	0	0	0	0	0	0	0	0	0	0	0	0	0.767	0	0	0	0	0	0	0.233	0-0-0-0-0-0-0-0-0-0-0-0-0-76.7-0-0-0-0-0-0-23.3
93	OHNK48	[WRC155-001]	20	36.3041046	-81.650166	Rittle Fork	0	0	0	0	0	0	0	0	0	0	0	0	0	0.851	0	0	0	0	0	0	0.149	0-0-0-0-0-0-0-0-0-0-0-0-0-85.1-0-0-0-0-0-0-14.9
94	OHNK49	[WRC157-001]	20	36.5053588	-81.5980255	Roaring Branch	0	0	0	0	0	0	0	0	0	0	0	0	0	0.569	0	0.106	0	0	0	0	0.325	0-0-0-0-0-0-0-0-0-0-0-0-0-56.9-0-10.6-0-0-0-0-32.5
95	OHNK5	[WRC123-001]	20	36.1752544	-81.6899697	(C) Winkler Creek (between old & new impoundments)	0	0	0	0	0	0	0	0	0	0	0	0	0	0.815	0	0	0	0	0	0	0.185	0-0-0-0-0-0-0-0-0-0-0-0-0-81.5-0-0-0-0-0-0-18.5
96	OHNK50	[WRC158-001]	20	36.5147638	-81.653585	Roaring Fork	0	0	0	0.491	0	0	0	0	0	0	0	0.171	0	0	0	0	0	0	0	0	0.338	0-0-0-49.1-0-0-0-0-0-0-0-17.1-0-0-0-0-0-0-0-0-33.8
98	OHNK52	[WRC160-001]	20	36.455572	-81.697383	Roundabout Creek	0	0	0	0.416	0	0.129	0	0	0	0.101	0	0	0	0	0	0	0	0	0	0	0.354	0-0-0-41.6-0-12.9-0-0-0-10.1-0-0-0-0-0-0-0-0-0-0-35.4
99	OHNK53	[WRC162-001]	20	36.3749868	-81.5996959	Skin Camp Branch	0	0	0	0	0	0	0	0.733	0	0	0	0	0	0	0	0	0	0	0	0	0.267	0-0-0-0-0-0-0-73.3-0-0-0-0-0-0-0-0-0-0-0-0-26.7
100	OHNK54	[WRC163-001]	20	36.354175	-81.676697	Snyder Branch	0	0	0	0	0	0.103	0	0	0	0	0	0	0	0.486	0	0	0	0	0	0	0.411	0-0-0-0-0-10.3-0-0-0-0-0-0-0-48.6-0-0-0-0-0-0-41.1
102	OHNK56	[WRC166-001]	19	36.146241	-81.647147	UT Aho Branch	0	0	0	0	0	0	0	0	0	0	0	0	0	0.621	0	0	0	0	0	0	0.379	0-0-0-0-0-0-0-0-0-0-0-0-0-62.1-0-0-0-0-0-0-37.9
103	OHNK57	[WRC169-001]	20	36.547918	-81.6603131	UT Big Laurel Creek ( Below Flatwood )	0	0	0	0	0	0	0	0	0	0	0	0	0	0.492	0	0	0	0	0	0	0.508	0-0-0-0-0-0-0-0-0-0-0-0-0-49.2-0-0-0-0-0-0-50.8
104	OHNK58	[WRC170-001]	20	36.5547494	-81.6693876	UT Big Laurel Creek ( Denny Hollow )	0	0	0	0.129	0	0	0	0	0	0	0	0	0	0.349	0	0	0	0	0	0	0.522	0-0-0-12.9-0-0-0-0-0-0-0-0-0-34.9-0-0-0-0-0-0-52.2
105	OHNK59	[WRC171-001]	20	36.395783	-81.531642	UT Buffalo Creek (@ Buck Mtn.)	0	0	0	0	0	0	0	0	0	0	0	0	0	0.767	0	0	0	0	0	0	0.233	0-0-0-0-0-0-0-0-0-0-0-0-0-76.7-0-0-0-0-0-0-23.3
106	OHNK6	[WRC124-001]	20	36.3573423	-81.6159101	Bald Fork	0	0	0	0	0	0	0	0.319	0	0	0	0	0	0.488	0	0	0	0	0	0.109	0.084	0-0-0-0-0-0-0-31.9-0-0-0-0-0-48.8-0-0-0-0-0-10.9-8.4
110	OHNK63	[WRC176-001]	20	36.139162	-81.6672204	UT Middle Fork New River (@substation)	0	0	0	0	0	0	0	0	0	0	0	0	0	0.786	0	0	0	0	0	0	0.214	0-0-0-0-0-0-0-0-0-0-0-0-0-78.6-0-0-0-0-0-0-21.4
111	OHNK64	[WRC178-001]	20	36.4802743	-81.4765576	UT North Fork New River	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0.482	0	0	0	0	0	0	0.388	0-0-0-13-0-0-0-0-0-0-0-0-0-48.2-0-0-0-0-0-0-38.8
112	OHNK65	[WRC179-001]	20	36.42683	-81.613394	UT North Fork New River (@ Creston)	0	0	0	0	0	0.126	0	0	0	0.131	0	0	0	0.399	0	0	0	0	0	0	0.344	0-0-0-0-0-12.6-0-0-0-13.1-0-0-0-39.9-0-0-0-0-0-0-34.4
113	OHNK66	[WRC183-001]	20	36.332893	-81.4599757	UT South Fork New River	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0.33	0-0-0-0-0-0-0-0-0-0-0-0-0-67-0-0-0-0-0-0-33
115	OHNK68	[WRC187-001]	19	36.4039791	-81.2784303	Wolf Branch	0	0	0	0	0	0	0	0	0	0	0	0	0	0.665	0	0	0	0	0	0	0.335	0-0-0-0-0-0-0-0-0-0-0-0-0-66.5-0-0-0-0-0-0-33.5
116	OHNK69	[D701-001]	22	36.3169623	-81.7013383	UT Meat Camp Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.822	0	0	0	0	0	0	0.178	0-0-0-0-0-0-0-0-0-0-0-0-0-82.2-0-0-0-0-0-0-17.8
117	OHNK7	[WRC126-001]	20	36.5626706	-81.6665957	Big Laurel Creek	0	0	0	0.144	0	0	0	0	0	0	0	0	0	0.37	0	0	0	0.117	0	0	0.369	0-0-0-14.4-0-0-0-0-0-0-0-0-0-37-0-0-0-11.7-0-0-36.9
119	OHNK71	[D703-001]	24	36.1541123	-81.6276005	Aho Branch	0	0	0	0	0	0	0	0	0	0	0	0	0	0.895	0	0	0	0	0	0	0.105	0-0-0-0-0-0-0-0-0-0-0-0-0-89.5-0-0-0-0-0-0-10.5
120	OHNK8	[WRC130-001]	20	36.2638257	-81.5339435	Cranberry Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.876	0	0	0	0	0	0	0.124	0-0-0-0-0-0-0-0-0-0-0-0-0-87.6-0-0-0-0-0-0-12.4
121	OHNK9	[WRC132-001]	20	36.2838079	-81.4351735	East Fork Pine Swamp Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.769	0	0	0	0	0	0	0.231	0-0-0-0-0-0-0-0-0-0-0-0-0-76.9-0-0-0-0-0-0-23.1
122	PFBNC124	[WRC336-001]	20	36.3592958	-81.719256	UT Hoskins Fork	0	0	0	0.123	0	0.151	0	0	0	0	0	0	0	0.347	0	0	0	0	0	0	0.379	0-0-0-12.3-0-15.1-0-0-0-0-0-0-0-34.7-0-0-0-0-0-0-37.9
123	PFBNC76	[WRC332-001]	20	36.3083612	-81.6702018	Little Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.777	0	0	0	0	0	0	0.223	0-0-0-0-0-0-0-0-0-0-0-0-0-77.7-0-0-0-0-0-0-22.3
124	SnakeCreek	[VA12-001]	20	36.678723	-80.657286	Snake Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.908	0	0	0	0	0	0	0.092	0-0-0-0-0-0-0-0-0-0-0-0-0-90.8-0-0-0-0-0-0-9.2
125	StandrockBranch	[VA13-001]	20	37.196585	-80.893499	Standrock Branch	0	0	0	0	0	0	0	0	0	0	0	0	0	0.788	0	0	0	0	0	0	0.212	0-0-0-0-0-0-0-0-0-0-0-0-0-78.8-0-0-0-0-0-0-21.2
126	ToryCreek	[VA14-001]	18	36.744527	-80.493856	Tory Creek	0	0	0	0	0	0	0	0	0	0	0	0	0	0.904	0	0	0	0	0	0	0.096	0-0-0-0-0-0-0-0-0-0-0-0-0-90.4-0-0-0-0-0-0-9.6
128	GA13	[GA13-001]	30	34.769548	-84.033267	Bryant Creek	0	0	0	0	0	0	0	0.929	0	0	0	0	0	0	0	0	0	0	0	0	0.071	0-0-0-0-0-0-0-92.9-0-0-0-0-0-0-0-0-0-0-0-0-7.1
129	GA14	[GA14-001]	40	34.767345	-83.993942	Logan Creek	0	0	0	0	0	0	0	0.951	0	0	0	0	0	0	0	0	0	0	0	0	0.049	0-0-0-0-0-0-0-95.1-0-0-0-0-0-0-0-0-0-0-0-0-4.9
