ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	K4	K5	K6	Data
77	OHNK33	[WRC133-001]	20	36.5054486	-81.6451105	East Fork Roaring Fork	0.32	0.025	0.007	0.103	0.512	0.032	32-2.5-0.7-10.3-51.2-3.2
78	OHNK34	[WRC135-001]	20	36.4266562	-81.4539442	Ezra Fork	0.024	0.026	0.011	0.027	0.9	0.011	2.4-2.6-1.1-2.7-90-1.1
79	OHNK35	[WRC136-001]	20	36.2409489	-81.538227	Gap Creek	0.019	0.01	0.016	0.008	0.923	0.025	1.9-1-1.6-0.8-92.3-2.5
81	OHNK37	[WRC139-001]	19	36.371606	-81.712475	Hoskins Fork	0.272	0.005	0.02	0.074	0.557	0.072	27.2-0.5-2-7.4-55.7-7.2
82	OHNK38	[WRC140-001]	20	36.5535323	-81.513874	Jerd Branch	0.963	0.009	0.005	0.012	0.005	0.005	96.3-0.9-0.5-1.2-0.5-0.5
83	OHNK39	[WRC141-001]	20	36.2687846	-81.7183243	Jones Branch	0.042	0.013	0.011	0.019	0.81	0.105	4.2-1.3-1.1-1.9-81-10.5
84	OHNK4	[WRC122-001]	20	36.1726689	-81.6925992	(C) Winkler Creek (above old Impoundment)	0.003	0.015	0.009	0.004	0.94	0.029	0.3-1.5-0.9-0.4-94-2.9
85	OHNK40	[WRC142-001]	20	36.5283912	-81.6843392	Kilby Creek	0.071	0.043	0.019	0.083	0.769	0.014	7.1-4.3-1.9-8.3-76.9-1.4
87	OHNK42	[WRC145-001]	20	36.424392	-81.197458	Meadow Fork	0.052	0.085	0.045	0.018	0.755	0.045	5.2-8.5-4.5-1.8-75.5-4.5
89	OHNK44	[WRC148-001]	20	36.2362881	-81.6642773	Norris Branch	0.095	0.043	0.006	0.048	0.659	0.149	9.5-4.3-0.6-4.8-65.9-14.9
90	OHNK45	[WRC149-001]	19	36.2825932	-81.6830482	Norris Fork	0.114	0.023	0.009	0.008	0.829	0.016	11.4-2.3-0.9-0.8-82.9-1.6
93	OHNK48	[WRC155-001]	20	36.3041046	-81.650166	Rittle Fork	0.009	0.014	0.005	0.006	0.928	0.038	0.9-1.4-0.5-0.6-92.8-3.8
94	OHNK49	[WRC157-001]	20	36.5053588	-81.5980255	Roaring Branch	0.076	0.093	0.101	0.027	0.68	0.023	7.6-9.3-10.1-2.7-68-2.3
95	OHNK5	[WRC123-001]	20	36.1752544	-81.6899697	(C) Winkler Creek (between old & new impoundments)	0.035	0.044	0.009	0.005	0.873	0.033	3.5-4.4-0.9-0.5-87.3-3.3
96	OHNK50	[WRC158-001]	20	36.5147638	-81.653585	Roaring Fork	0.518	0.021	0.089	0.274	0.086	0.013	51.8-2.1-8.9-27.4-8.6-1.3
98	OHNK52	[WRC160-001]	20	36.455572	-81.697383	Roundabout Creek	0.552	0.028	0.041	0.046	0.308	0.026	55.2-2.8-4.1-4.6-30.8-2.6
99	OHNK53	[WRC162-001]	20	36.3749868	-81.5996959	Skin Camp Branch	0.004	0.159	0.01	0.01	0.767	0.051	0.4-15.9-1-1-76.7-5.1
100	OHNK54	[WRC163-001]	20	36.354175	-81.676697	Snyder Branch	0.298	0.01	0.012	0.015	0.654	0.011	29.8-1-1.2-1.5-65.4-1.1
102	OHNK56	[WRC166-001]	19	36.146241	-81.647147	UT Aho Branch	0.178	0.015	0.006	0.008	0.78	0.014	17.8-1.5-0.6-0.8-78-1.4
103	OHNK57	[WRC169-001]	20	36.547918	-81.6603131	UT Big Laurel Creek ( Below Flatwood )	0.153	0.017	0.008	0.071	0.726	0.024	15.3-1.7-0.8-7.1-72.6-2.4
104	OHNK58	[WRC170-001]	20	36.5547494	-81.6693876	UT Big Laurel Creek ( Denny Hollow )	0.282	0.014	0.006	0.044	0.57	0.083	28.2-1.4-0.6-4.4-57-8.3
105	OHNK59	[WRC171-001]	20	36.395783	-81.531642	UT Buffalo Creek (@ Buck Mtn.)	0.024	0.015	0.014	0.018	0.904	0.026	2.4-1.5-1.4-1.8-90.4-2.6
106	OHNK6	[WRC124-001]	20	36.3573423	-81.6159101	Bald Fork	0.004	0.011	0.003	0.004	0.924	0.055	0.4-1.1-0.3-0.4-92.4-5.5
110	OHNK63	[WRC176-001]	20	36.139162	-81.6672204	UT Middle Fork New River (@substation)	0.05	0.013	0.008	0.009	0.899	0.022	5-1.3-0.8-0.9-89.9-2.2
111	OHNK64	[WRC178-001]	20	36.4802743	-81.4765576	UT North Fork New River	0.164	0.012	0.005	0.064	0.746	0.009	16.4-1.2-0.5-6.4-74.6-0.9
112	OHNK65	[WRC179-001]	20	36.42683	-81.613394	UT North Fork New River (@ Creston)	0.258	0.009	0.008	0.015	0.692	0.018	25.8-0.9-0.8-1.5-69.2-1.8
113	OHNK66	[WRC183-001]	20	36.332893	-81.4599757	UT South Fork New River	0.113	0.018	0.011	0.014	0.8	0.044	11.3-1.8-1.1-1.4-80-4.4
115	OHNK68	[WRC187-001]	19	36.4039791	-81.2784303	Wolf Branch	0.14	0.009	0.018	0.01	0.777	0.045	14-0.9-1.8-1-77.7-4.5
116	OHNK69	[D701-001]	22	36.3169623	-81.7013383	UT Meat Camp Creek	0.018	0.006	0.015	0.006	0.944	0.011	1.8-0.6-1.5-0.6-94.4-1.1
117	OHNK7	[WRC126-001]	20	36.5626706	-81.6665957	Big Laurel Creek	0.203	0.022	0.022	0.124	0.526	0.103	20.3-2.2-2.2-12.4-52.6-10.3
119	OHNK71	[D703-001]	24	36.1541123	-81.6276005	Aho Branch	0.003	0.007	0.009	0.005	0.962	0.015	0.3-0.7-0.9-0.5-96.2-1.5
120	OHNK8	[WRC130-001]	20	36.2638257	-81.5339435	Cranberry Creek	0.009	0.009	0.012	0.004	0.934	0.032	0.9-0.9-1.2-0.4-93.4-3.2
121	OHNK9	[WRC132-001]	20	36.2838079	-81.4351735	East Fork Pine Swamp Creek	0.007	0.01	0.006	0.004	0.939	0.034	0.7-1-0.6-0.4-93.9-3.4
122	PFBNC124	[WRC336-001]	20	36.3592958	-81.719256	UT Hoskins Fork	0.296	0.009	0.016	0.115	0.511	0.053	29.6-0.9-1.6-11.5-51.1-5.3
123	PFBNC76	[WRC332-001]	20	36.3083612	-81.6702018	Little Creek	0.058	0.013	0.039	0.02	0.831	0.039	5.8-1.3-3.9-2-83.1-3.9
124	SnakeCreek	[VA12-001]	20	36.678723	-80.657286	Snake Creek	0.007	0.035	0.006	0.006	0.935	0.012	0.7-3.5-0.6-0.6-93.5-1.2
125	StandrockBranch	[VA13-001]	20	37.196585	-80.893499	Standrock Branch	0.059	0.009	0.027	0.017	0.84	0.047	5.9-0.9-2.7-1.7-84-4.7
126	ToryCreek	[VA14-001]	18	36.744527	-80.493856	Tory Creek	0.005	0.013	0.007	0.004	0.959	0.012	0.5-1.3-0.7-0.4-95.9-1.2
128	GA13	[GA13-001]	30	34.769548	-84.033267	Bryant Creek	0.025	0.013	0.003	0.011	0.876	0.073	2.5-1.3-0.3-1.1-87.6-7.3
129	GA14	[GA14-001]	40	34.767345	-83.993942	Logan Creek	0.006	0.013	0.002	0.004	0.947	0.028	0.6-1.3-0.2-0.4-94.7-2.8
130	GCS1	[LR_2013_121]	29	35.591956	-83.516187	Grouse Creek Site 1	0.003	0.982	0.003	0.003	0.004	0.005	0.3-98.2-0.3-0.3-0.4-0.5
131	GPS1	[FC_2014_001]	40	35.594153	-83.561233	Goshen Prong Site 1	0.004	0.966	0.003	0.004	0.012	0.011	0.4-96.6-0.3-0.4-1.2-1.1
132	GPS4	[FC_2014_096]	50	35.5834	-83.544	Goshen Prong Site 4	0.006	0.973	0.003	0.004	0.008	0.007	0.6-97.3-0.3-0.4-0.8-0.7
133	GRSML1	[GRSML1-001]	48	35.591	-83.5744	Fish Camp Run	0.003	0.981	0.003	0.003	0.005	0.006	0.3-98.1-0.3-0.3-0.5-0.6
136	GRSML22	[GS35-001]	30	35.62383817	-83.64181971	Marks Creek	0.003	0.985	0.002	0.002	0.004	0.003	0.3-98.5-0.2-0.2-0.4-0.3
137	GRSML3	[GRSML3-001]	35	35.5879	-83.6316	Indian Flats	0.332	0.525	0.013	0.043	0.069	0.018	33.2-52.5-1.3-4.3-6.9-1.8
138	GRSML4	[GRSML4-001]	49	35.6509	-83.6281	Mannis Branch	0.008	0.01	0.004	0.008	0.962	0.008	0.8-1-0.4-0.8-96.2-0.8
139	GRSML5	[GRSML5-001]	24	35.5899	-83.5662	Silers's Creek	0.003	0.984	0.003	0.003	0.004	0.004	0.3-98.4-0.3-0.3-0.4-0.4
140	GRSML6	[GRSML6-1001]	76	35.5899	-83.5662	Silers's Creek (4,9,10)	0.004	0.983	0.003	0.003	0.004	0.004	0.4-98.3-0.3-0.3-0.4-0.4
142	GRSMP1	[GRSMP1-001]	47	35.6521	-83.1689	Lost Bottoms	0.004	0.005	0.005	0.005	0.965	0.017	0.4-0.5-0.5-0.5-96.5-1.7
143	GRSMP10	[GRSMP10-001]	21	35.62527	-83.47016	Road Prong	0.018	0.237	0.003	0.005	0.506	0.231	1.8-23.7-0.3-0.5-50.6-23.1
144	GRSMP11	[GRSMP11-001]	34	35.75969	-83.19495	Tom?s Creek	0.011	0.01	0.004	0.009	0.961	0.005	1.1-1-0.4-0.9-96.1-0.5
145	GRSMP12	[GRSMP12-001]	32	35.7389	-83.2783	Indian Camp Creek	0.005	0.016	0.005	0.008	0.953	0.013	0.5-1.6-0.5-0.8-95.3-1.3
146	GRSMP13	[GRSMP13-001]	25	35.67001	-83.09951	Little Cataloochee Creek	0.003	0.008	0.004	0.004	0.971	0.009	0.3-0.8-0.4-0.4-97.1-0.9
147	GRSMP14	[GRSMP14-001]	28	35.6767	-83.08874	Correll Branch	0.004	0.013	0.004	0.005	0.953	0.021	0.4-1.3-0.4-0.5-95.3-2.1
148	GRSMP16	[GRSMP16-001]	40	35.7608	-83.19703	Toms Creek	0.025	0.011	0.004	0.011	0.943	0.007	2.5-1.1-0.4-1.1-94.3-0.7
149	GRSMP17	[GRSMP17-009]	16	35.76479	-83.25353	Greenbrier Creek	0.004	0.005	0.003	0.005	0.977	0.005	0.4-0.5-0.3-0.5-97.7-0.5
150	GRSMP18	[GRSMP18-009]	16	35.73785	-83.27838	Indian Camp Creek	0.005	0.02	0.005	0.007	0.951	0.013	0.5-2-0.5-0.7-95.1-1.3
152	GRSMP2	[GRSMP2-001]	32	35.7671	-83.2023	Cosby Creek	0.024	0.016	0.011	0.02	0.921	0.007	2.4-1.6-1.1-2-92.1-0.7
153	GRSMP20	[GS34-001]	30	35.62745	-83.40842	Kephart Branch	0.085	0.319	0.006	0.037	0.373	0.179	8.5-31.9-0.6-3.7-37.3-17.9
157	GRSMP24	[GS37-001]	30	35.62274826	-83.42144591	Walker Camp Prong	0.381	0.226	0.006	0.045	0.161	0.18	38.1-22.6-0.6-4.5-16.1-18
158	GRSMP25	[GS38-001]	28	35.7456837	-83.215988	Rock Creek	0.003	0.013	0.003	0.005	0.97	0.006	0.3-1.3-0.3-0.5-97-0.6
159	GRSMP26	[GS39-001]	30	35.69511594	-83.32153141	Buck Fork	0.004	0.024	0.031	0.006	0.008	0.927	0.4-2.4-3.1-0.6-0.8-92.7
160	GRSMP27	[GS43-001]	30	35.69182448	-83.31598851	Chapman Prong	0.003	0.009	0.004	0.003	0.005	0.977	0.3-0.9-0.4-0.3-0.5-97.7
162	GRSMP29	[GS55-002]	30	35.64431163	-83.0726446	Winding Stair	0.003	0.008	0.003	0.004	0.97	0.011	0.3-0.8-0.3-0.4-97-1.1
163	GRSMP3	[GRSMP3-033]	48	35.7671	-83.2023	Cosby Creek	0.031	0.017	0.014	0.023	0.908	0.008	3.1-1.7-1.4-2.3-90.8-0.8
164	GRSMP30	[GS56-002]	30	35.59985518	-83.1308236	Hurricane Creek	0.04	0.008	0.014	0.015	0.914	0.01	4-0.8-1.4-1.5-91.4-1
165	GRSMP31	[GS57-002]	30	35.6021498	-83.16291579	Bear Branch	0.005	0.009	0.005	0.005	0.966	0.011	0.5-0.9-0.5-0.5-96.6-1.1
166	GRSMP32	[GS58-002]	30	35.67181836	-83.13536468	Pretty Hollow	0.003	0.01	0.005	0.004	0.969	0.008	0.3-1-0.5-0.4-96.9-0.8
167	GRSMP33	[GS59-002]	30	35.60188	-83.16237872	Horse Creek	0.003	0.007	0.003	0.005	0.971	0.011	0.3-0.7-0.3-0.5-97.1-1.1
168	GRSMP34	[GS60-002]	30	35.61488345	-83.14599307	Messer Branch	0.019	0.007	0.018	0.04	0.899	0.017	1.9-0.7-1.8-4-89.9-1.7
169	GRSMP35	[GS61-002]	29	35.61336491	-83.0939906	Sag Branch	0.017	0.021	0.009	0.01	0.925	0.019	1.7-2.1-0.9-1-92.5-1.9
170	GRSMP36	[GS62-002]	29	35.57193744	-83.12570343	Caldwell Fork	0.016	0.017	0.005	0.01	0.934	0.018	1.6-1.7-0.5-1-93.4-1.8
171	GRSMP37	[GS63-002]	30	35.67180283	-83.13877789	Onion Bed	0.003	0.011	0.006	0.004	0.966	0.01	0.3-1.1-0.6-0.4-96.6-1
172	GRSMP38	[GS64-002]	30	35.57635336	-83.12628358	Straight Creek	0.009	0.023	0.006	0.009	0.916	0.037	0.9-2.3-0.6-0.9-91.6-3.7
173	GRSMP39	[GS65-002]	30	35.59419869	-83.0987225	McKee Branch	0.029	0.035	0.007	0.015	0.88	0.035	2.9-3.5-0.7-1.5-88-3.5
174	GRSMP4	[GRSMP4-001]	28	35.7643	-83.2526	Greenbrier Creek	0.004	0.005	0.003	0.004	0.978	0.005	0.4-0.5-0.3-0.4-97.8-0.5
175	GRSMP5	[GRSMP5-035]	27	35.7643	-83.2526	Greenbrier Creek	0.004	0.006	0.003	0.005	0.977	0.006	0.4-0.6-0.3-0.5-97.7-0.6
176	GRSMP6	[GRSMP6-001]	33	35.7389	-83.2783	Indian Camp Creek	0.009	0.018	0.006	0.02	0.932	0.016	0.9-1.8-0.6-2-93.2-1.6
177	GRSMP8	[GRSMP8-001]	25	35.7671	-83.2023	Cosby Creek	0.015	0.02	0.015	0.017	0.928	0.006	1.5-2-1.5-1.7-92.8-0.6
178	GRSMP9	[GRSMP9-001]	34	35.7643	-83.2526	Greenbrier Creek	0.004	0.005	0.003	0.005	0.978	0.005	0.4-0.5-0.3-0.5-97.8-0.5
179	GRSMT1	[GRSMT1-001]	49	35.5563	-83.1677	Bunches Creek	0.004	0.015	0.004	0.004	0.076	0.898	0.4-1.5-0.4-0.4-7.6-89.8
180	GRSMT2	[GRSMT2-001]	50	35.5667	-83.18	Flatt Creek	0.004	0.021	0.005	0.004	0.065	0.9	0.4-2.1-0.5-0.4-6.5-90
181	GRSMT22	[GS36-001]	28	35.61986728	-83.23039471	Hyatt Creek	0.029	0.004	0.004	0.008	0.007	0.948	2.9-0.4-0.4-0.8-0.7-94.8
182	GRSMT23	[GS40-001]	29	35.58476105	-83.42515628	RF Deep Creek	0.005	0.004	0.004	0.012	0.01	0.964	0.5-0.4-0.4-1.2-1-96.4
183	GRSMT24	[GS41-001]	30	35.58503691	-83.42667635	Sahlee Creek	0.003	0.006	0.003	0.004	0.016	0.968	0.3-0.6-0.3-0.4-1.6-96.8
184	GRSMT25	[GS42-001]	30	35.55528252	-83.47670642	Noland Creek	0.005	0.034	0.007	0.004	0.025	0.924	0.5-3.4-0.7-0.4-2.5-92.4
185	GRSMT26	[GS44-001]	31	35.49706343	-83.65659546	Cold Springs Branch	0.004	0.007	0.003	0.003	0.005	0.978	0.4-0.7-0.3-0.3-0.5-97.8
186	GRSMT27	[GS45-001]	30	35.51194438	-83.69720183	Haw Gap Branch	0.004	0.029	0.011	0.006	0.009	0.941	0.4-2.9-1.1-0.6-0.9-94.1
187	GRSMT28	[GS46-001]	29	35.54112558	-83.67636608	Desolation Branch	0.004	0.019	0.004	0.004	0.008	0.961	0.4-1.9-0.4-0.4-0.8-96.1
188	GRSMT29	[GS47-001]	30	35.54053482	-83.6708987	Defeat Branch	0.006	0.044	0.004	0.004	0.013	0.928	0.6-4.4-0.4-0.4-1.3-92.8
189	GRSMT3	[GRSMT3-001]	40	35.5341	-83.5446	Huggin's Creek	0.169	0.102	0.004	0.028	0.024	0.672	16.9-10.2-0.4-2.8-2.4-67.2
190	GRSMT30	[GS49-002]	30	35.62001761	-83.33050789	Louie Camp Branch	0.013	0.005	0.009	0.007	0.012	0.954	1.3-0.5-0.9-0.7-1.2-95.4
191	GRSMT31	[GS50-002]	30	35.61226789	-83.26422737	Enloe Creek	0.017	0.012	0.012	0.037	0.016	0.906	1.7-1.2-1.2-3.7-1.6-90.6
192	GRSMT32	[GS51-002]	30	35.62431103	-83.32617226	Bearwallow Branch	0.004	0.006	0.006	0.004	0.019	0.961	0.4-0.6-0.6-0.4-1.9-96.1
