ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	Data
42	OHGK3	[OHGK3-001]	27	38.65128	-79.65491	EF Greenbrier Headwater	0.623	0.377	62.3-37.7
43	OHGK4	[OHGK4-001]	30	38.62221	-79.68543	Mullenox Run	0.724	0.276	72.4-27.6
44	OHGK5	[OHGK5-001]	23	38.61545	-79.67927	Abes Run	0.815	0.185	81.5-18.5
45	OHGK6	[OHGK6-001]	19	38.57618	-79.70156	Long Run	0.827	0.173	82.7-17.3
46	OHGK7	[OHGK7-001]	22	38.51356	-79.7221	Little River	0.878	0.122	87.8-12.2
47	OHGK8	[OHGK8-001]	29	37.96923	-80.29571	Laurel Run	0.096	0.904	9.6-90.4
49	OHGN1	[OHGN1-001]	30	38.2026	-80.37271	NF Cherry River	0.856	0.144	85.6-14.4
51	OHNK1	[OHNK1-001]	30	37.91433	-81.02081	Buffalo Creek	0.683	0.317	68.3-31.7
52	OHNK10	[WRC134-001]	20	36.4267603	-81.453945	Ezra Fork	0.89	0.11	89-11
53	OHNK11	[WRC137-001]	20	36.4493635	-81.0835415	Glade Creek	0.925	0.075	92.5-7.5
54	OHNK12	[WRC144-001]	20	36.5569233	-81.6234242	Little Horse Creek	0.989	0.011	98.9-1.1
55	OHNK13	[WRC146-001]	20	36.3196431	-81.6919865	Meat Camp Creek	0.977	0.023	97.7-2.3
57	OHNK15	[WRC151-001]	20	36.3279872	-81.6367979	Pine Orchard Creek	0.985	0.015	98.5-1.5
58	OHNK16	[WRC153-001]	20	36.4215314	-81.2530259	Reeves Branch	0.786	0.214	78.6-21.4
60	OHNK18	[WRC165-001]	20	36.255907	-81.7003412	Trivett Branch	0.977	0.023	97.7-2.3
61	OHNK19	[WRC167-001]	20	36.583253	-81.630069	UT Big Horse Creek (above Ripshin Branch at Va. state line)	0.986	0.014	98.6-1.4
63	OHNK20	[WRC168-001]	20	36.5258384	-81.6704962	UT Big Laurel Creek ( Above Beaverponds )	0.688	0.312	68.8-31.2
64	OHNK21	[WRC172-001]	20	36.4275894	-81.285759	UT Cranberry Creek	0.948	0.052	94.8-5.2
65	OHNK22	[WRC177-001]	20	36.1687212	-81.6486848	UT Middle Fork New River (@Tweetsie RR)	0.953	0.047	95.3-4.7
66	OHNK23	[WRC180-001]	20	36.3346989	-81.5191582	UT Old Fields Creek	0.927	0.073	92.7-7.3
67	OHNK24	[WRC181-001]	20	36.318367	-81.6350545	UT Pine Orchard Creek	0.946	0.054	94.6-5.4
68	OHNK25	[WRC184-001]	20	36.3238544	-81.4823595	UT South Fork New River	0.953	0.047	95.3-4.7
69	OHNK26	[WRC186-001]	20	36.2661567	-81.4775217	West Fork Pine Swamp Creek	0.978	0.022	97.8-2.2
70	OHNK27	[WRC188-001]	20	36.2837895	-81.4703543	Wolfpen Creek	0.986	0.014	98.6-1.4
72	OHNK29	[WRC127-001]	20	36.1556403	-81.6500868	Brown Branch	0.818	0.182	81.8-18.2
75	OHNK31	[WRC129-001]	20	36.4408513	-81.4916861	Claybank Creek	0.933	0.067	93.3-6.7
76	OHNK32	[WRC131-001]	20	36.242154	-81.686784	Doe Fork	0.989	0.011	98.9-1.1
77	OHNK33	[WRC133-001]	20	36.5054486	-81.6451105	East Fork Roaring Fork	0.533	0.467	53.3-46.7
78	OHNK34	[WRC135-001]	20	36.4266562	-81.4539442	Ezra Fork	0.916	0.084	91.6-8.4
79	OHNK35	[WRC136-001]	20	36.2409489	-81.538227	Gap Creek	0.95	0.05	95-5
81	OHNK37	[WRC139-001]	19	36.371606	-81.712475	Hoskins Fork	0.624	0.376	62.4-37.6
82	OHNK38	[WRC140-001]	20	36.5535323	-81.513874	Jerd Branch	0.017	0.983	1.7-98.3
83	OHNK39	[WRC141-001]	20	36.2687846	-81.7183243	Jones Branch	0.913	0.087	91.3-8.7
84	OHNK4	[WRC122-001]	20	36.1726689	-81.6925992	(C) Winkler Creek (above old Impoundment)	0.99	0.01	99-1
85	OHNK40	[WRC142-001]	20	36.5283912	-81.6843392	Kilby Creek	0.784	0.216	78.4-21.6
87	OHNK42	[WRC145-001]	20	36.424392	-81.197458	Meadow Fork	0.902	0.098	90.2-9.8
89	OHNK44	[WRC148-001]	20	36.2362881	-81.6642773	Norris Branch	0.819	0.181	81.9-18.1
90	OHNK45	[WRC149-001]	19	36.2825932	-81.6830482	Norris Fork	0.87	0.13	87-13
93	OHNK48	[WRC155-001]	20	36.3041046	-81.650166	Rittle Fork	0.98	0.02	98-2
94	OHNK49	[WRC157-001]	20	36.5053588	-81.5980255	Roaring Branch	0.769	0.231	76.9-23.1
95	OHNK5	[WRC123-001]	20	36.1752544	-81.6899697	(C) Winkler Creek (between old & new impoundments)	0.954	0.046	95.4-4.6
96	OHNK50	[WRC158-001]	20	36.5147638	-81.653585	Roaring Fork	0.092	0.908	9.2-90.8
98	OHNK52	[WRC160-001]	20	36.455572	-81.697383	Roundabout Creek	0.331	0.669	33.1-66.9
99	OHNK53	[WRC162-001]	20	36.3749868	-81.5996959	Skin Camp Branch	0.985	0.015	98.5-1.5
100	OHNK54	[WRC163-001]	20	36.354175	-81.676697	Snyder Branch	0.661	0.339	66.1-33.9
102	OHNK56	[WRC166-001]	19	36.146241	-81.647147	UT Aho Branch	0.807	0.193	80.7-19.3
103	OHNK57	[WRC169-001]	20	36.547918	-81.6603131	UT Big Laurel Creek ( Below Flatwood )	0.711	0.289	71.1-28.9
104	OHNK58	[WRC170-001]	20	36.5547494	-81.6693876	UT Big Laurel Creek ( Denny Hollow )	0.667	0.333	66.7-33.3
105	OHNK59	[WRC171-001]	20	36.395783	-81.531642	UT Buffalo Creek (@ Buck Mtn.)	0.992	0.008	99.2-0.8
106	OHNK6	[WRC124-001]	20	36.3573423	-81.6159101	Bald Fork	0.991	0.009	99.1-0.9
110	OHNK63	[WRC176-001]	20	36.139162	-81.6672204	UT Middle Fork New River (@substation)	0.919	0.081	91.9-8.1
111	OHNK64	[WRC178-001]	20	36.4802743	-81.4765576	UT North Fork New River	0.644	0.356	64.4-35.6
112	OHNK65	[WRC179-001]	20	36.42683	-81.613394	UT North Fork New River (@ Creston)	0.68	0.32	68-32
113	OHNK66	[WRC183-001]	20	36.332893	-81.4599757	UT South Fork New River	0.844	0.156	84.4-15.6
115	OHNK68	[WRC187-001]	19	36.4039791	-81.2784303	Wolf Branch	0.831	0.169	83.1-16.9
116	OHNK69	[D701-001]	22	36.3169623	-81.7013383	UT Meat Camp Creek	0.963	0.037	96.3-3.7
117	OHNK7	[WRC126-001]	20	36.5626706	-81.6665957	Big Laurel Creek	0.632	0.368	63.2-36.8
119	OHNK71	[D703-001]	24	36.1541123	-81.6276005	Aho Branch	0.989	0.011	98.9-1.1
120	OHNK8	[WRC130-001]	20	36.2638257	-81.5339435	Cranberry Creek	0.977	0.023	97.7-2.3
121	OHNK9	[WRC132-001]	20	36.2838079	-81.4351735	East Fork Pine Swamp Creek	0.984	0.016	98.4-1.6
122	PFBNC124	[WRC336-001]	20	36.3592958	-81.719256	UT Hoskins Fork	0.571	0.429	57.1-42.9
123	PFBNC76	[WRC332-001]	20	36.3083612	-81.6702018	Little Creek	0.88	0.12	88-12
124	SnakeCreek	[VA12-001]	20	36.678723	-80.657286	Snake Creek	0.977	0.023	97.7-2.3
125	StandrockBranch	[VA13-001]	20	37.196585	-80.893499	Standrock Branch	0.84	0.16	84-16
126	ToryCreek	[VA14-001]	18	36.744527	-80.493856	Tory Creek	0.986	0.014	98.6-1.4
128	GA13	[GA13-001]	30	34.769548	-84.033267	Bryant Creek	0.971	0.029	97.1-2.9
129	GA14	[GA14-001]	40	34.767345	-83.993942	Logan Creek	0.989	0.011	98.9-1.1
130	GCS1	[LR_2013_121]	29	35.591956	-83.516187	Grouse Creek Site 1	0.988	0.012	98.8-1.2
131	GPS1	[FC_2014_001]	40	35.594153	-83.561233	Goshen Prong Site 1	0.988	0.012	98.8-1.2
132	GPS4	[FC_2014_096]	50	35.5834	-83.544	Goshen Prong Site 4	0.988	0.012	98.8-1.2
133	GRSML1	[GRSML1-001]	48	35.591	-83.5744	Fish Camp Run	0.989	0.011	98.9-1.1
136	GRSML22	[GS35-001]	30	35.62383817	-83.64181971	Marks Creek	0.989	0.011	98.9-1.1
137	GRSML3	[GRSML3-001]	35	35.5879	-83.6316	Indian Flats	0.552	0.448	55.2-44.8
138	GRSML4	[GRSML4-001]	49	35.6509	-83.6281	Mannis Branch	0.969	0.031	96.9-3.1
139	GRSML5	[GRSML5-001]	24	35.5899	-83.5662	Silers's Creek	0.982	0.018	98.2-1.8
140	GRSML6	[GRSML6-1001]	76	35.5899	-83.5662	Silers's Creek (4,9,10)	0.982	0.018	98.2-1.8
142	GRSMP1	[GRSMP1-001]	47	35.6521	-83.1689	Lost Bottoms	0.987	0.013	98.7-1.3
143	GRSMP10	[GRSMP10-001]	21	35.62527	-83.47016	Road Prong	0.983	0.017	98.3-1.7
144	GRSMP11	[GRSMP11-001]	34	35.75969	-83.19495	Tom?s Creek	0.962	0.038	96.2-3.8
145	GRSMP12	[GRSMP12-001]	32	35.7389	-83.2783	Indian Camp Creek	0.979	0.021	97.9-2.1
146	GRSMP13	[GRSMP13-001]	25	35.67001	-83.09951	Little Cataloochee Creek	0.991	0.009	99.1-0.9
147	GRSMP14	[GRSMP14-001]	28	35.6767	-83.08874	Correll Branch	0.991	0.009	99.1-0.9
148	GRSMP16	[GRSMP16-001]	40	35.7608	-83.19703	Toms Creek	0.951	0.049	95.1-4.9
149	GRSMP17	[GRSMP17-009]	16	35.76479	-83.25353	Greenbrier Creek	0.988	0.012	98.8-1.2
150	GRSMP18	[GRSMP18-009]	16	35.73785	-83.27838	Indian Camp Creek	0.983	0.017	98.3-1.7
152	GRSMP2	[GRSMP2-001]	32	35.7671	-83.2023	Cosby Creek	0.932	0.068	93.2-6.8
153	GRSMP20	[GS34-001]	30	35.62745	-83.40842	Kephart Branch	0.88	0.12	88-12
157	GRSMP24	[GS37-001]	30	35.62274826	-83.42144591	Walker Camp Prong	0.577	0.423	57.7-42.3
158	GRSMP25	[GS38-001]	28	35.7456837	-83.215988	Rock Creek	0.989	0.011	98.9-1.1
159	GRSMP26	[GS39-001]	30	35.69511594	-83.32153141	Buck Fork	0.96	0.04	96-4
160	GRSMP27	[GS43-001]	30	35.69182448	-83.31598851	Chapman Prong	0.99	0.01	99-1
162	GRSMP29	[GS55-002]	30	35.64431163	-83.0726446	Winding Stair	0.991	0.009	99.1-0.9
163	GRSMP3	[GRSMP3-033]	48	35.7671	-83.2023	Cosby Creek	0.914	0.086	91.4-8.6
164	GRSMP30	[GS56-002]	30	35.59985518	-83.1308236	Hurricane Creek	0.916	0.084	91.6-8.4
165	GRSMP31	[GS57-002]	30	35.6021498	-83.16291579	Bear Branch	0.987	0.013	98.7-1.3
166	GRSMP32	[GS58-002]	30	35.67181836	-83.13536468	Pretty Hollow	0.99	0.01	99-1
167	GRSMP33	[GS59-002]	30	35.60188	-83.16237872	Horse Creek	0.99	0.01	99-1
168	GRSMP34	[GS60-002]	30	35.61488345	-83.14599307	Messer Branch	0.921	0.079	92.1-7.9
169	GRSMP35	[GS61-002]	29	35.61336491	-83.0939906	Sag Branch	0.971	0.029	97.1-2.9
170	GRSMP36	[GS62-002]	29	35.57193744	-83.12570343	Caldwell Fork	0.972	0.028	97.2-2.8
171	GRSMP37	[GS63-002]	30	35.67180283	-83.13877789	Onion Bed	0.99	0.01	99-1
172	GRSMP38	[GS64-002]	30	35.57635336	-83.12628358	Straight Creek	0.984	0.016	98.4-1.6
173	GRSMP39	[GS65-002]	30	35.59419869	-83.0987225	McKee Branch	0.958	0.042	95.8-4.2
174	GRSMP4	[GRSMP4-001]	28	35.7643	-83.2526	Greenbrier Creek	0.988	0.012	98.8-1.2
175	GRSMP5	[GRSMP5-035]	27	35.7643	-83.2526	Greenbrier Creek	0.988	0.012	98.8-1.2
176	GRSMP6	[GRSMP6-001]	33	35.7389	-83.2783	Indian Camp Creek	0.953	0.047	95.3-4.7
177	GRSMP8	[GRSMP8-001]	25	35.7671	-83.2023	Cosby Creek	0.932	0.068	93.2-6.8
178	GRSMP9	[GRSMP9-001]	34	35.7643	-83.2526	Greenbrier Creek	0.988	0.012	98.8-1.2
179	GRSMT1	[GRSMT1-001]	49	35.5563	-83.1677	Bunches Creek	0.986	0.014	98.6-1.4
180	GRSMT2	[GRSMT2-001]	50	35.5667	-83.18	Flatt Creek	0.988	0.012	98.8-1.2
181	GRSMT22	[GS36-001]	28	35.61986728	-83.23039471	Hyatt Creek	0.941	0.059	94.1-5.9
182	GRSMT23	[GS40-001]	29	35.58476105	-83.42515628	RF Deep Creek	0.967	0.033	96.7-3.3
183	GRSMT24	[GS41-001]	30	35.58503691	-83.42667635	Sahlee Creek	0.988	0.012	98.8-1.2
184	GRSMT25	[GS42-001]	30	35.55528252	-83.47670642	Noland Creek	0.982	0.018	98.2-1.8
185	GRSMT26	[GS44-001]	31	35.49706343	-83.65659546	Cold Springs Branch	0.988	0.012	98.8-1.2
186	GRSMT27	[GS45-001]	30	35.51194438	-83.69720183	Haw Gap Branch	0.983	0.017	98.3-1.7
187	GRSMT28	[GS46-001]	29	35.54112558	-83.67636608	Desolation Branch	0.986	0.014	98.6-1.4
188	GRSMT29	[GS47-001]	30	35.54053482	-83.6708987	Defeat Branch	0.986	0.014	98.6-1.4
189	GRSMT3	[GRSMT3-001]	40	35.5341	-83.5446	Huggin's Creek	0.784	0.216	78.4-21.6
190	GRSMT30	[GS49-002]	30	35.62001761	-83.33050789	Louie Camp Branch	0.949	0.051	94.9-5.1
191	GRSMT31	[GS50-002]	30	35.61226789	-83.26422737	Enloe Creek	0.911	0.089	91.1-8.9
192	GRSMT32	[GS51-002]	30	35.62431103	-83.32617226	Bearwallow Branch	0.982	0.018	98.2-1.8
193	GRSMT33	[GS52-002]	30	35.63332387	-83.32996679	Chasm Prong	0.981	0.019	98.1-1.9
194	GRSMT34	[GS53-001]	30	35.64340742	-83.25582982	R. Fork Raven Fork	0.971	0.029	97.1-2.9
195	GRSMT35	[GS54-002]	30	35.64491771	-83.32894523	Gulf Prong	0.952	0.048	95.2-4.8
197	GRSMT5	[GRSMT5-001]	47	35.4858	-83.5926	Bear Creek	0.872	0.128	87.2-12.8
198	GRSMT6	[GRSMT6-001]	25	35.58628	-83.36516	Kanati Fork	0.987	0.013	98.7-1.3
199	GRSMT7	[GRSMT7-001]	22	35.59933	-83.39906	Aden Branch	0.989	0.011	98.9-1.1
200	L2S1	[FC_2014_238]	50	35.57905	-83.578	Lean-to Site 1	0.989	0.011	98.9-1.1
201	LRS1	[LR_2013_001]	30	35.592602	-83.511766	Little River Site 1	0.986	0.014	98.6-1.4
202	LTGA11	[GA11-001]	30	34.946254	-83.453083	Keener Creek	0.989	0.011	98.9-1.1
203	LTNC10	[WRC113-001]	20	35.0511015	-83.308477	UT Tessentee Creek	0.732	0.268	73.2-26.8
204	LTNC100	[WRC091-001]	20	35.2377037	-84.0580182	(A) Tipton Creek (incl. trib.)	0.826	0.174	82.6-17.4
205	LTNC101	[WRC092-001]	20	35.0634056	-83.2739161	Bennies Branch	0.492	0.508	49.2-50.8
206	LTNC102	[WRC093-001]	20	35.089675	-83.189961	Big Creek	0.267	0.733	26.7-73.3
207	LTNC103	[WRC095-001]	20	35.1016582	-83.2430469	Brush Creek	0.303	0.697	30.3-69.7
208	LTNC104	[WRC096-001]	20	35.2257112	-83.2384502	Bryson Branch	0.954	0.046	95.4-4.6
209	LTNC105	[WRC098-001]	20	35.1037626	-83.2902498	Crow Creek	0.097	0.903	9.7-90.3
211	LTNC107	[WRC380A-001]	33	35.2204377	-83.0327662	Flat Creek (above falls)	0.621	0.379	62.1-37.9
212	LTNC108	[WRC381-001]	19	35.2568349	-82.9362342	Pinhook Creek (below falls)	0.985	0.015	98.5-1.5
213	LTNC109	[D901-001]	35	35.289958	-83.293475	Bettys Branch	0.989	0.011	98.9-1.1
214	LTNC11	[WRC293-001]	20	35.1970383	-82.9847656	Bracken Creek	0.276	0.724	27.6-72.4
215	LTNC110	[D902-001]	20	35.282125	-83.265064	Tatham Creek	0.977	0.023	97.7-2.3
216	LTNC111	[D903-001]	30	35.248756	-83.267727	Shell Branch	0.975	0.025	97.5-2.5
217	LTNC112	[D906-001]	39	35.302122	-83.372431	Huckleberry Creek	0.948	0.052	94.8-5.2
218	LTNC113	[D907-001]	36	35.302543	-83.341682	Beasley Creek	0.808	0.192	80.8-19.2
219	LTNC12	[WRC295-001]	20	35.2826209	-82.9853557	Charley Creek	0.805	0.195	80.5-19.5
220	LTNC13	[WRC296-001]	20	35.2201	-82.95806	Cold Creek	0.458	0.542	45.8-54.2
221	LTNC14	[WRC302-001]	20	35.2028632	-83.1893383	Gem Creek	0.774	0.226	77.4-22.6
222	LTNC15	[WRC306-001]	20	35.2788805	-83.0250111	Jeff Creek	0.989	0.011	98.9-1.1
223	LTNC16	[WRC308-001]	20	35.2016225	-83.2125065	Little Pine Creek	0.452	0.548	45.2-54.8
224	LTNC17	[WRC310-001]	20	35.2564608	-83.1336517	Mill Creek	0.798	0.202	79.8-20.2
225	LTNC18	[WRC311-001]	20	35.167814	-83.1852347	Mill Creek	0.474	0.526	47.4-52.6
226	LTNC19	[WRC318-001]	20	35.2766748	-83.0144098	Sols Creek	0.533	0.467	53.3-46.7
227	LTNC2	[NC02-001]	42	35.48692	-83.18631	Soco Creek	0.986	0.014	98.6-1.4
229	LTNC21	[WRC322-001]	20	35.2096888	-83.1164218	Trout Creek	0.061	0.939	6.1-93.9
230	LTNC22	[WRC119-001]	20	35.2551992	-83.5906381	UT Otter Creek	0.931	0.069	93.1-6.9
231	LTNC23	[WRC022-001]	20	35.254525	-83.966819	(C) Sassafras Creek (incl. trib.)	0.989	0.011	98.9-1.1
232	LTNC24	[WRC120-001]	20	35.023508	-83.487356	Yellow Patch Branch	0.727	0.273	72.7-27.3
233	LTNC25	[WRC023-001]	20	35.2455342	-83.8856125	Bear Creek	0.967	0.033	96.7-3.3
234	LTNC26	[WRC025-001]	20	35.3259869	-83.9640204	Wright Creek	0.867	0.133	86.7-13.3
235	LTNC27	[NC04-001]	40	35.5288	-83.1922	Madcap Branch	0.989	0.011	98.9-1.1
236	LTNC28	[NC05-001]	39	35.4902	-83.2151	Jenkin's Creek	0.926	0.074	92.6-7.4
237	LTNC29	[NC06-001]	24	35.4995	-83.1746	Rough Branch	0.853	0.147	85.3-14.7
238	LTNC3	[NC03-001]	40	35.52025	-83.22418	Big Witch Creek	0.873	0.127	87.3-12.7
240	LTNC31	[WRC376-001]	40	35.26218	-84.04492	Tellico River	0.873	0.127	87.3-12.7
241	LTNC32	[WRC377-001]	34	35.25168	-84.0299	Round Mountain Branch	0.986	0.014	98.6-1.4
242	LTNC33	[WRC378-001]	31	35.27757	-83.99892	Snowbird Creek	0.974	0.026	97.4-2.6
245	LTNC36	[WRC384-001]	28	35.384962	-83.079766	Dark Ridge Creek	0.899	0.101	89.9-10.1
246	LTNC37	[WRC109-001]	19	35.39795	-83.993239	Slickrock Creek	0.719	0.281	71.9-28.1
247	LTNC38	[WRC100-001]	20	35.051127	-83.4433848	Henson Creek	0.75	0.25	75-25
248	LTNC39	[WRC103-001]	20	35.3365644	-83.4061966	Little Laurel Creek (trib. of Alarka Cr.)	0.944	0.056	94.4-5.6
250	LTNC40	[WRC105-001]	20	35.0812545	-83.2460064	Long Branch	0.231	0.769	23.1-76.9
251	LTNC41	[WRC107-001]	20	35.2703011	-84.0475248	Peckerwood Creek	0.962	0.038	96.2-3.8
252	LTNC42	[WRC110-001]	20	35.0512067	-83.2553861	Turtle Pond Creek	0.422	0.578	42.2-57.8
253	LTNC43	[WRC114-001]	20	35.032742	-83.436394	UT to Coweeta Creek (near Reynolds Gap)	0.981	0.019	98.1-1.9
254	LTNC44	[WRC115-001]	20	35.2175734	-83.2342281	Wildcat Creek	0.777	0.223	77.7-22.3
256	LTNC46	[WRC118-001]	20	35.249133	-83.669244	Pierce Creek ( also listed as Piercy Creek)	0.806	0.194	80.6-19.4
257	LTNC47	[WRC267-001]	20	35.382	-83.12	(A) South Fork Sugarloaf Creek	0.979	0.021	97.9-2.1
259	LTNC49	[WRC269-001]	19	35.388	-83.126	(A) UT Sugarloaf Creek	0.924	0.076	92.4-7.6
270	LTNC58	[WRC282-001]	20	35.3280919	-83.0582684	(D) Chastine Creek (incl. tribs.)	0.984	0.016	98.4-1.6
271	LTNC59	[WRC283-001]	20	35.347	-83.054	(D) Craig Creek	0.981	0.012	98.1-1.2
272	LTNC6	[WRC101-001]	20	35.1570048	-83.2625388	Ledford Branch	0.481	0.519	48.1-51.9
273	LTNC60	[WRC284-001]	20	35.3360411	-83.05636282	(D) Frady Creek	0.983	0.017	98.3-1.7
275	LTNC62	[WRC299-001]	20	35.4191386	-83.1907797	Fisher Creek	0.972	0.028	97.2-2.8
276	LTNC63	[WRC304-002]	19	35.333816	-83.3062694	Greens Creek	0.817	0.183	81.7-18.3
277	LTNC64	[WRC305-001]	20	35.2200232	-83.1506208	Hunter Jim Creek	0.97	0.03	97-3
279	LTNC66	[WRC309-001]	20	35.2171902	-83.1048686	Little Trout Creek	0.961	0.039	96.1-3.9
280	LTNC67	[WRC312-001]	20	35.2339737	-83.0196683	Neddie Creek	0.972	0.028	97.2-2.8
281	LTNC68	[WRC319-001]	20	35.2847512	-82.9434836	Tanassee Creek	0.989	0.011	98.9-1.1
282	LTNC69	[WRC323-001]	20	35.3482953	-83.1325927	Wayehutta Creek	0.973	0.027	97.3-2.7
283	LTNC7	[WRC106-001]	20	35.0980559	-83.1887634	Norton Prong	0.176	0.824	17.6-82.4
284	LTNC70	[WRC366-001]	20	35.24075	-83.582694	Big Branch	0.989	0.011	98.9-1.1
285	LTNC71	[WRC369-001]	20	35.3657942	-83.0204091	Mull Creek	0.946	0.054	94.6-5.4
286	LTNC72	[WRC024-001]	20	35.328906	-84.016292	Whigg Branch	0.254	0.746	25.4-74.6
290	LTNC76	[WRC116-001]	20	35.039192	-83.574072	Buck Creek	0.744	0.256	74.4-25.6
291	LTNC77	[WRC278-001]	20	35.35	-83.088	(C) East Fork Moses	0.977	0.023	97.7-2.3
292	LTNC78	[WRC279-001]	20	35.3312291	-83.1007775	(C) Moses Creek	0.986	0.014	98.6-1.4
293	LTNC79	[WRC280-001]	20	35.338	-83.098	(C) Moses Creek	0.979	0.021	97.9-2.1
294	LTNC8	[WRC111-001]	20	35.3374603	-83.3784729	Upper Long Branch	0.898	0.102	89.8-10.2
296	LTNC81	[WRC285-001]	20	35.3300556	-83.0012443	(F) Bearwallow Creek (including tribs.)	0.376	0.624	37.6-62.4
297	LTNC82	[WRC286-001]	20	35.332	-82.999	(F) Birch Ridge Creek	0.797	0.203	79.7-20.3
298	LTNC83	[WRC287-001]	20	35.179	-83.076	(G) Cow Mountain Branch	0.297	0.703	29.7-70.3
299	LTNC84	[WRC288-001]	20	35.186	-83.078	(G) Mill Creek	0.377	0.623	37.7-62.3
300	LTNC85	[WRC289-001]	20	35.176	-83.061	(G) Packs Creek	0.215	0.785	21.5-78.5
301	LTNC86	[WRC290-001]	20	35.183	-83.082	(G) Shelton Creek	0.245	0.755	24.5-75.5
302	LTNC87	[WRC291-001]	20	35.2644016	-83.0185048	(H) Sols Creek	0.936	0.064	93.6-6.4
303	LTNC88	[WRC292-001]	20	35.3523882	-83.0155009	Beechflat Creek	0.031	0.969	3.1-96.9
305	LTNC9	[WRC112-001]	20	35.1334328	-83.2059302	UT Buck Creek	0.957	0.043	95.7-4.3
306	LTNC90	[WRC297-001]	20	35.2186559	-83.2097509	Dodgen Creek	0.398	0.602	39.8-60.2
