ID	Population	Pop	Sample Size	Latitude	Longitude	General Location	K1	K2	K3	Data
27	CATO2	[CATO2-01]	49	39.6632	-77.4804	Owens Creek	0.966	0.016	0.018	96.6-1.6-1.8
28	CATO3	[CATO3-01]	32	39.6363	-77.45	Still Creek	0.909	0.049	0.042	90.9-4.9-4.2
29	CATO4	[CATO4-01]	38	39.5432	-77.4647	Right Fork Fishing Creek	0.946	0.017	0.037	94.6-1.7-3.7
30	CATO5	[CATO5-01]	48	39.5327	-77.4752	Left Fork Fishing Creek	0.938	0.031	0.032	93.8-3.1-3.2
31	POMR1	[POMR1-01]	47	39.4734	-77.4152	Tuscarora Creek	0.95	0.032	0.018	95-3.2-1.8
32	BearCreek	[VA05-001]	20	36.737334	-80.58159	Bear Creek	0.009	0.959	0.033	0.9-95.9-3.3
33	BigReedIslandCr	[VA07-001]	20	36.674994	-80.521569	Big Reed Island Creek	0.041	0.94	0.019	4.1-94-1.9
35	EFDryRun	[VA09-001]	20	36.771983	-81.164966	EF Dry Run	0.008	0.966	0.025	0.8-96.6-2.5
37	NFStonyCreek	[VA11-002]	19	37.43226	-80.553248	NF Stony Creek	0.009	0.966	0.025	0.9-96.6-2.5
38	OHCK1	[OHCK1-01]	25	38.23711	-80.34118	Byrd Branch	0.313	0.586	0.101	31.3-58.6-10.1
39	OHCK2	[OHCK2-01]	49	38.24175	-80.37169	Dogway Fork	0.393	0.549	0.059	39.3-54.9-5.9
40	OHGK1	[OHGK1-01]	50	38.58315	-79.66737	Walderman Run	0.151	0.679	0.17	15.1-67.9-17
41	OHGK2	[OHGK2-01]	49	38.39899	-79.74983	Sutton Run	0.01	0.928	0.061	1-92.8-6.1
42	OHGK3	[OHGK3-001]	27	38.65128	-79.65491	EF Greenbrier Headwater	0.343	0.59	0.068	34.3-59-6.8
43	OHGK4	[OHGK4-001]	30	38.62221	-79.68543	Mullenox Run	0.26	0.586	0.154	26-58.6-15.4
44	OHGK5	[OHGK5-001]	23	38.61545	-79.67927	Abes Run	0.149	0.699	0.151	14.9-69.9-15.1
45	OHGK6	[OHGK6-001]	19	38.57618	-79.70156	Long Run	0.1	0.835	0.065	10-83.5-6.5
46	OHGK7	[OHGK7-001]	22	38.51356	-79.7221	Little River	0.074	0.895	0.031	7.4-89.5-3.1
47	OHGK8	[OHGK8-001]	29	37.96923	-80.29571	Laurel Run	0.89	0.093	0.017	89-9.3-1.7
49	OHGN1	[OHGN1-001]	30	38.2026	-80.37271	NF Cherry River	0.077	0.855	0.068	7.7-85.5-6.8
51	OHNK1	[OHNK1-001]	30	37.91433	-81.02081	Buffalo Creek	0.23	0.738	0.032	23-73.8-3.2
52	OHNK10	[WRC134-001]	20	36.4267603	-81.453945	Ezra Fork	0.046	0.928	0.026	4.6-92.8-2.6
53	OHNK11	[WRC137-001]	20	36.4493635	-81.0835415	Glade Creek	0.022	0.947	0.03	2.2-94.7-3
54	OHNK12	[WRC144-001]	20	36.5569233	-81.6234242	Little Horse Creek	0.006	0.978	0.016	0.6-97.8-1.6
55	OHNK13	[WRC146-001]	20	36.3196431	-81.6919865	Meat Camp Creek	0.013	0.827	0.16	1.3-82.7-16
57	OHNK15	[WRC151-001]	20	36.3279872	-81.6367979	Pine Orchard Creek	0.006	0.97	0.024	0.6-97-2.4
58	OHNK16	[WRC153-001]	20	36.4215314	-81.2530259	Reeves Branch	0.162	0.822	0.016	16.2-82.2-1.6
60	OHNK18	[WRC165-001]	20	36.255907	-81.7003412	Trivett Branch	0.01	0.958	0.032	1-95.8-3.2
61	OHNK19	[WRC167-001]	20	36.583253	-81.630069	UT Big Horse Creek (above Ripshin Branch at Va. state line)	0.006	0.964	0.029	0.6-96.4-2.9
63	OHNK20	[WRC168-001]	20	36.5258384	-81.6704962	UT Big Laurel Creek ( Above Beaverponds )	0.177	0.786	0.038	17.7-78.6-3.8
64	OHNK21	[WRC172-001]	20	36.4275894	-81.285759	UT Cranberry Creek	0.019	0.962	0.019	1.9-96.2-1.9
65	OHNK22	[WRC177-001]	20	36.1687212	-81.6486848	UT Middle Fork New River (@Tweetsie RR)	0.026	0.94	0.034	2.6-94-3.4
66	OHNK23	[WRC180-001]	20	36.3346989	-81.5191582	UT Old Fields Creek	0.024	0.93	0.046	2.4-93-4.6
67	OHNK24	[WRC181-001]	20	36.318367	-81.6350545	UT Pine Orchard Creek	0.029	0.959	0.012	2.9-95.9-1.2
68	OHNK25	[WRC184-001]	20	36.3238544	-81.4823595	UT South Fork New River	0.016	0.96	0.025	1.6-96-2.5
69	OHNK26	[WRC186-001]	20	36.2661567	-81.4775217	West Fork Pine Swamp Creek	0.008	0.956	0.035	0.8-95.6-3.5
70	OHNK27	[WRC188-001]	20	36.2837895	-81.4703543	Wolfpen Creek	0.006	0.973	0.021	0.6-97.3-2.1
72	OHNK29	[WRC127-001]	20	36.1556403	-81.6500868	Brown Branch	0.089	0.894	0.017	8.9-89.4-1.7
75	OHNK31	[WRC129-001]	20	36.4408513	-81.4916861	Claybank Creek	0.034	0.923	0.043	3.4-92.3-4.3
76	OHNK32	[WRC131-001]	20	36.242154	-81.686784	Doe Fork	0.006	0.969	0.025	0.6-96.9-2.5
77	OHNK33	[WRC133-001]	20	36.5054486	-81.6451105	East Fork Roaring Fork	0.409	0.486	0.105	40.9-48.6-10.5
78	OHNK34	[WRC135-001]	20	36.4266562	-81.4539442	Ezra Fork	0.027	0.954	0.019	2.7-95.4-1.9
79	OHNK35	[WRC136-001]	20	36.2409489	-81.538227	Gap Creek	0.022	0.949	0.029	2.2-94.9-2.9
81	OHNK37	[WRC139-001]	19	36.371606	-81.712475	Hoskins Fork	0.34	0.628	0.032	34-62.8-3.2
82	OHNK38	[WRC140-001]	20	36.5535323	-81.513874	Jerd Branch	0.978	0.008	0.014	97.8-0.8-1.4
83	OHNK39	[WRC141-001]	20	36.2687846	-81.7183243	Jones Branch	0.037	0.931	0.032	3.7-93.1-3.2
84	OHNK4	[WRC122-001]	20	36.1726689	-81.6925992	(C) Winkler Creek (above old Impoundment)	0.005	0.907	0.088	0.5-90.7-8.8
85	OHNK40	[WRC142-001]	20	36.5283912	-81.6843392	Kilby Creek	0.164	0.722	0.114	16.4-72.2-11.4
87	OHNK42	[WRC145-001]	20	36.424392	-81.197458	Meadow Fork	0.063	0.795	0.142	6.3-79.5-14.2
89	OHNK44	[WRC148-001]	20	36.2362881	-81.6642773	Norris Branch	0.059	0.876	0.065	5.9-87.6-6.5
90	OHNK45	[WRC149-001]	19	36.2825932	-81.6830482	Norris Fork	0.117	0.831	0.052	11.7-83.1-5.2
93	OHNK48	[WRC155-001]	20	36.3041046	-81.650166	Rittle Fork	0.008	0.959	0.033	0.8-95.9-3.3
94	OHNK49	[WRC157-001]	20	36.5053588	-81.5980255	Roaring Branch	0.218	0.633	0.149	21.8-63.3-14.9
95	OHNK5	[WRC123-001]	20	36.1752544	-81.6899697	(C) Winkler Creek (between old & new impoundments)	0.045	0.853	0.102	4.5-85.3-10.2
96	OHNK50	[WRC158-001]	20	36.5147638	-81.653585	Roaring Fork	0.912	0.064	0.023	91.2-6.4-2.3
98	OHNK52	[WRC160-001]	20	36.455572	-81.697383	Roundabout Creek	0.653	0.306	0.041	65.3-30.6-4.1
99	OHNK53	[WRC162-001]	20	36.3749868	-81.5996959	Skin Camp Branch	0.01	0.927	0.064	1-92.7-6.4
100	OHNK54	[WRC163-001]	20	36.354175	-81.676697	Snyder Branch	0.276	0.688	0.036	27.6-68.8-3.6
102	OHNK56	[WRC166-001]	19	36.146241	-81.647147	UT Aho Branch	0.127	0.807	0.067	12.7-80.7-6.7
103	OHNK57	[WRC169-001]	20	36.547918	-81.6603131	UT Big Laurel Creek ( Below Flatwood )	0.173	0.738	0.089	17.3-73.8-8.9
104	OHNK58	[WRC170-001]	20	36.5547494	-81.6693876	UT Big Laurel Creek ( Denny Hollow )	0.271	0.686	0.044	27.1-68.6-4.4
105	OHNK59	[WRC171-001]	20	36.395783	-81.531642	UT Buffalo Creek (@ Buck Mtn.)	0.032	0.957	0.01	3.2-95.7-1
106	OHNK6	[WRC124-001]	20	36.3573423	-81.6159101	Bald Fork	0.004	0.988	0.007	0.4-98.8-0.7
110	OHNK63	[WRC176-001]	20	36.139162	-81.6672204	UT Middle Fork New River (@substation)	0.028	0.931	0.041	2.8-93.1-4.1
111	OHNK64	[WRC178-001]	20	36.4802743	-81.4765576	UT North Fork New River	0.336	0.549	0.115	33.6-54.9-11.5
112	OHNK65	[WRC179-001]	20	36.42683	-81.613394	UT North Fork New River (@ Creston)	0.259	0.71	0.031	25.9-71-3.1
113	OHNK66	[WRC183-001]	20	36.332893	-81.4599757	UT South Fork New River	0.116	0.86	0.024	11.6-86-2.4
115	OHNK68	[WRC187-001]	19	36.4039791	-81.2784303	Wolf Branch	0.115	0.862	0.024	11.5-86.2-2.4
116	OHNK69	[D701-001]	22	36.3169623	-81.7013383	UT Meat Camp Creek	0.017	0.903	0.08	1.7-90.3-8
117	OHNK7	[WRC126-001]	20	36.5626706	-81.6665957	Big Laurel Creek	0.31	0.627	0.064	31-62.7-6.4
119	OHNK71	[D703-001]	24	36.1541123	-81.6276005	Aho Branch	0.005	0.97	0.025	0.5-97-2.5
120	OHNK8	[WRC130-001]	20	36.2638257	-81.5339435	Cranberry Creek	0.008	0.973	0.019	0.8-97.3-1.9
121	OHNK9	[WRC132-001]	20	36.2838079	-81.4351735	East Fork Pine Swamp Creek	0.007	0.978	0.015	0.7-97.8-1.5
122	PFBNC124	[WRC336-001]	20	36.3592958	-81.719256	UT Hoskins Fork	0.358	0.608	0.033	35.8-60.8-3.3
123	PFBNC76	[WRC332-001]	20	36.3083612	-81.6702018	Little Creek	0.063	0.892	0.045	6.3-89.2-4.5
124	SnakeCreek	[VA12-001]	20	36.678723	-80.657286	Snake Creek	0.009	0.98	0.012	0.9-98-1.2
125	StandrockBranch	[VA13-001]	20	37.196585	-80.893499	Standrock Branch	0.063	0.91	0.027	6.3-91-2.7
126	ToryCreek	[VA14-001]	18	36.744527	-80.493856	Tory Creek	0.007	0.976	0.018	0.7-97.6-1.8
128	GA13	[GA13-001]	30	34.769548	-84.033267	Bryant Creek	0.01	0.976	0.014	1-97.6-1.4
129	GA14	[GA14-001]	40	34.767345	-83.993942	Logan Creek	0.005	0.976	0.018	0.5-97.6-1.8
130	GCS1	[LR_2013_121]	29	35.591956	-83.516187	Grouse Creek Site 1	0.005	0.016	0.98	0.5-1.6-98
131	GPS1	[FC_2014_001]	40	35.594153	-83.561233	Goshen Prong Site 1	0.006	0.034	0.96	0.6-3.4-96
132	GPS4	[FC_2014_096]	50	35.5834	-83.544	Goshen Prong Site 4	0.008	0.029	0.963	0.8-2.9-96.3
133	GRSML1	[GRSML1-001]	48	35.591	-83.5744	Fish Camp Run	0.005	0.02	0.975	0.5-2-97.5
136	GRSML22	[GS35-001]	30	35.62383817	-83.64181971	Marks Creek	0.004	0.011	0.985	0.4-1.1-98.5
137	GRSML3	[GRSML3-001]	35	35.5879	-83.6316	Indian Flats	0.405	0.071	0.523	40.5-7.1-52.3
138	GRSML4	[GRSML4-001]	49	35.6509	-83.6281	Mannis Branch	0.009	0.006	0.986	0.9-0.6-98.6
139	GRSML5	[GRSML5-001]	24	35.5899	-83.5662	Silers's Creek	0.006	0.01	0.985	0.6-1-98.5
140	GRSML6	[GRSML6-1001]	76	35.5899	-83.5662	Silers's Creek (4,9,10)	0.006	0.009	0.985	0.6-0.9-98.5
142	GRSMP1	[GRSMP1-001]	47	35.6521	-83.1689	Lost Bottoms	0.006	0.019	0.974	0.6-1.9-97.4
143	GRSMP10	[GRSMP10-001]	21	35.62527	-83.47016	Road Prong	0.02	0.152	0.828	2-15.2-82.8
144	GRSMP11	[GRSMP11-001]	34	35.75969	-83.19495	Tom?s Creek	0.011	0.006	0.984	1.1-0.6-98.4
145	GRSMP12	[GRSMP12-001]	32	35.7389	-83.2783	Indian Camp Creek	0.005	0.005	0.991	0.5-0.5-99.1
146	GRSMP13	[GRSMP13-001]	25	35.67001	-83.09951	Little Cataloochee Creek	0.004	0.01	0.986	0.4-1-98.6
147	GRSMP14	[GRSMP14-001]	28	35.6767	-83.08874	Correll Branch	0.004	0.006	0.99	0.4-0.6-99
148	GRSMP16	[GRSMP16-001]	40	35.7608	-83.19703	Toms Creek	0.025	0.007	0.967	2.5-0.7-96.7
149	GRSMP17	[GRSMP17-009]	16	35.76479	-83.25353	Greenbrier Creek	0.005	0.009	0.986	0.5-0.9-98.6
150	GRSMP18	[GRSMP18-009]	16	35.73785	-83.27838	Indian Camp Creek	0.004	0.005	0.991	0.4-0.5-99.1
152	GRSMP2	[GRSMP2-001]	32	35.7671	-83.2023	Cosby Creek	0.017	0.008	0.975	1.7-0.8-97.5
153	GRSMP20	[GS34-001]	30	35.62745	-83.40842	Kephart Branch	0.108	0.02	0.873	10.8-2-87.3
157	GRSMP24	[GS37-001]	30	35.62274826	-83.42144591	Walker Camp Prong	0.402	0.124	0.474	40.2-12.4-47.4
158	GRSMP25	[GS38-001]	28	35.7456837	-83.215988	Rock Creek	0.004	0.005	0.991	0.4-0.5-99.1
159	GRSMP26	[GS39-001]	30	35.69511594	-83.32153141	Buck Fork	0.034	0.936	0.03	3.4-93.6-3
160	GRSMP27	[GS43-001]	30	35.69182448	-83.31598851	Chapman Prong	0.005	0.979	0.016	0.5-97.9-1.6
162	GRSMP29	[GS55-002]	30	35.64431163	-83.0726446	Winding Stair	0.003	0.006	0.991	0.3-0.6-99.1
163	GRSMP3	[GRSMP3-033]	48	35.7671	-83.2023	Cosby Creek	0.024	0.008	0.968	2.4-0.8-96.8
164	GRSMP30	[GS56-002]	30	35.59985518	-83.1308236	Hurricane Creek	0.068	0.014	0.917	6.8-1.4-91.7
165	GRSMP31	[GS57-002]	30	35.6021498	-83.16291579	Bear Branch	0.008	0.011	0.981	0.8-1.1-98.1
166	GRSMP32	[GS58-002]	30	35.67181836	-83.13536468	Pretty Hollow	0.004	0.009	0.988	0.4-0.9-98.8
167	GRSMP33	[GS59-002]	30	35.60188	-83.16237872	Horse Creek	0.005	0.011	0.984	0.5-1.1-98.4
168	GRSMP34	[GS60-002]	30	35.61488345	-83.14599307	Messer Branch	0.085	0.03	0.885	8.5-3-88.5
169	GRSMP35	[GS61-002]	29	35.61336491	-83.0939906	Sag Branch	0.013	0.009	0.977	1.3-0.9-97.7
170	GRSMP36	[GS62-002]	29	35.57193744	-83.12570343	Caldwell Fork	0.027	0.025	0.948	2.7-2.5-94.8
171	GRSMP37	[GS63-002]	30	35.67180283	-83.13877789	Onion Bed	0.004	0.023	0.973	0.4-2.3-97.3
172	GRSMP38	[GS64-002]	30	35.57635336	-83.12628358	Straight Creek	0.009	0.044	0.947	0.9-4.4-94.7
173	GRSMP39	[GS65-002]	30	35.59419869	-83.0987225	McKee Branch	0.035	0.046	0.92	3.5-4.6-92
174	GRSMP4	[GRSMP4-001]	28	35.7643	-83.2526	Greenbrier Creek	0.004	0.005	0.991	0.4-0.5-99.1
175	GRSMP5	[GRSMP5-035]	27	35.7643	-83.2526	Greenbrier Creek	0.004	0.005	0.991	0.4-0.5-99.1
176	GRSMP6	[GRSMP6-001]	33	35.7389	-83.2783	Indian Camp Creek	0.021	0.007	0.972	2.1-0.7-97.2
177	GRSMP8	[GRSMP8-001]	25	35.7671	-83.2023	Cosby Creek	0.013	0.008	0.979	1.3-0.8-97.9
178	GRSMP9	[GRSMP9-001]	34	35.7643	-83.2526	Greenbrier Creek	0.004	0.005	0.991	0.4-0.5-99.1
179	GRSMT1	[GRSMT1-001]	49	35.5563	-83.1677	Bunches Creek	0.008	0.839	0.153	0.8-83.9-15.3
180	GRSMT2	[GRSMT2-001]	50	35.5667	-83.18	Flatt Creek	0.007	0.815	0.178	0.7-81.5-17.8
181	GRSMT22	[GS36-001]	28	35.61986728	-83.23039471	Hyatt Creek	0.017	0.973	0.011	1.7-97.3-1.1
182	GRSMT23	[GS40-001]	29	35.58476105	-83.42515628	RF Deep Creek	0.011	0.98	0.01	1.1-98-1
183	GRSMT24	[GS41-001]	30	35.58503691	-83.42667635	Sahlee Creek	0.006	0.981	0.013	0.6-98.1-1.3
184	GRSMT25	[GS42-001]	30	35.55528252	-83.47670642	Noland Creek	0.006	0.976	0.018	0.6-97.6-1.8
185	GRSMT26	[GS44-001]	31	35.49706343	-83.65659546	Cold Springs Branch	0.006	0.98	0.014	0.6-98-1.4
186	GRSMT27	[GS45-001]	30	35.51194438	-83.69720183	Haw Gap Branch	0.007	0.979	0.014	0.7-97.9-1.4
187	GRSMT28	[GS46-001]	29	35.54112558	-83.67636608	Desolation Branch	0.006	0.984	0.01	0.6-98.4-1
188	GRSMT29	[GS47-001]	30	35.54053482	-83.6708987	Defeat Branch	0.006	0.98	0.014	0.6-98-1.4
189	GRSMT3	[GRSMT3-001]	40	35.5341	-83.5446	Huggin's Creek	0.118	0.846	0.036	11.8-84.6-3.6
190	GRSMT30	[GS49-002]	30	35.62001761	-83.33050789	Louie Camp Branch	0.022	0.968	0.01	2.2-96.8-1
191	GRSMT31	[GS50-002]	30	35.61226789	-83.26422737	Enloe Creek	0.06	0.907	0.033	6-90.7-3.3
192	GRSMT32	[GS51-002]	30	35.62431103	-83.32617226	Bearwallow Branch	0.009	0.959	0.032	0.9-95.9-3.2
193	GRSMT33	[GS52-002]	30	35.63332387	-83.32996679	Chasm Prong	0.009	0.98	0.011	0.9-98-1.1
194	GRSMT34	[GS53-001]	30	35.64340742	-83.25582982	R. Fork Raven Fork	0.016	0.959	0.025	1.6-95.9-2.5
195	GRSMT35	[GS54-002]	30	35.64491771	-83.32894523	Gulf Prong	0.027	0.959	0.014	2.7-95.9-1.4
197	GRSMT5	[GRSMT5-001]	47	35.4858	-83.5926	Bear Creek	0.063	0.887	0.05	6.3-88.7-5
198	GRSMT6	[GRSMT6-001]	25	35.58628	-83.36516	Kanati Fork	0.005	0.984	0.011	0.5-98.4-1.1
199	GRSMT7	[GRSMT7-001]	22	35.59933	-83.39906	Aden Branch	0.005	0.988	0.007	0.5-98.8-0.7
200	L2S1	[FC_2014_238]	50	35.57905	-83.578	Lean-to Site 1	0.004	0.014	0.981	0.4-1.4-98.1
201	LRS1	[LR_2013_001]	30	35.592602	-83.511766	Little River Site 1	0.005	0.011	0.984	0.5-1.1-98.4
202	LTGA11	[GA11-001]	30	34.946254	-83.453083	Keener Creek	0.006	0.97	0.024	0.6-97-2.4
203	LTNC10	[WRC113-001]	20	35.0511015	-83.308477	UT Tessentee Creek	0.172	0.818	0.01	17.2-81.8-1
204	LTNC100	[WRC091-001]	20	35.2377037	-84.0580182	(A) Tipton Creek (incl. trib.)	0.123	0.838	0.039	12.3-83.8-3.9
205	LTNC101	[WRC092-001]	20	35.0634056	-83.2739161	Bennies Branch	0.466	0.5	0.034	46.6-50-3.4
206	LTNC102	[WRC093-001]	20	35.089675	-83.189961	Big Creek	0.725	0.232	0.043	72.5-23.2-4.3
207	LTNC103	[WRC095-001]	20	35.1016582	-83.2430469	Brush Creek	0.632	0.341	0.027	63.2-34.1-2.7
208	LTNC104	[WRC096-001]	20	35.2257112	-83.2384502	Bryson Branch	0.02	0.967	0.014	2-96.7-1.4
209	LTNC105	[WRC098-001]	20	35.1037626	-83.2902498	Crow Creek	0.915	0.064	0.021	91.5-6.4-2.1
211	LTNC107	[WRC380A-001]	33	35.2204377	-83.0327662	Flat Creek (above falls)	0.317	0.318	0.364	31.7-31.8-36.4
212	LTNC108	[WRC381-001]	19	35.2568349	-82.9362342	Pinhook Creek (below falls)	0.009	0.828	0.163	0.9-82.8-16.3
213	LTNC109	[D901-001]	35	35.289958	-83.293475	Bettys Branch	0.006	0.982	0.013	0.6-98.2-1.3
214	LTNC11	[WRC293-001]	20	35.1970383	-82.9847656	Bracken Creek	0.667	0.042	0.291	66.7-4.2-29.1
215	LTNC110	[D902-001]	20	35.282125	-83.265064	Tatham Creek	0.008	0.98	0.012	0.8-98-1.2
216	LTNC111	[D903-001]	30	35.248756	-83.267727	Shell Branch	0.008	0.982	0.01	0.8-98.2-1
217	LTNC112	[D906-001]	39	35.302122	-83.372431	Huckleberry Creek	0.018	0.956	0.026	1.8-95.6-2.6
218	LTNC113	[D907-001]	36	35.302543	-83.341682	Beasley Creek	0.049	0.941	0.01	4.9-94.1-1
219	LTNC12	[WRC295-001]	20	35.2826209	-82.9853557	Charley Creek	0.118	0.869	0.013	11.8-86.9-1.3
220	LTNC13	[WRC296-001]	20	35.2201	-82.95806	Cold Creek	0.523	0.449	0.028	52.3-44.9-2.8
221	LTNC14	[WRC302-001]	20	35.2028632	-83.1893383	Gem Creek	0.179	0.768	0.053	17.9-76.8-5.3
222	LTNC15	[WRC306-001]	20	35.2788805	-83.0250111	Jeff Creek	0.006	0.96	0.035	0.6-96-3.5
223	LTNC16	[WRC308-001]	20	35.2016225	-83.2125065	Little Pine Creek	0.5	0.485	0.016	50-48.5-1.6
224	LTNC17	[WRC310-001]	20	35.2564608	-83.1336517	Mill Creek	0.125	0.851	0.024	12.5-85.1-2.4
225	LTNC18	[WRC311-001]	20	35.167814	-83.1852347	Mill Creek	0.454	0.527	0.018	45.4-52.7-1.8
226	LTNC19	[WRC318-001]	20	35.2766748	-83.0144098	Sols Creek	0.416	0.562	0.021	41.6-56.2-2.1
227	LTNC2	[NC02-001]	42	35.48692	-83.18631	Soco Creek	0.007	0.977	0.016	0.7-97.7-1.6
229	LTNC21	[WRC322-001]	20	35.2096888	-83.1164218	Trout Creek	0.936	0.032	0.032	93.6-3.2-3.2
230	LTNC22	[WRC119-001]	20	35.2551992	-83.5906381	UT Otter Creek	0.044	0.739	0.216	4.4-73.9-21.6
231	LTNC23	[WRC022-001]	20	35.254525	-83.966819	(C) Sassafras Creek (incl. trib.)	0.006	0.932	0.063	0.6-93.2-6.3
232	LTNC24	[WRC120-001]	20	35.023508	-83.487356	Yellow Patch Branch	0.244	0.646	0.11	24.4-64.6-11
233	LTNC25	[WRC023-001]	20	35.2455342	-83.8856125	Bear Creek	0.01	0.969	0.02	1-96.9-2
234	LTNC26	[WRC025-001]	20	35.3259869	-83.9640204	Wright Creek	0.033	0.956	0.011	3.3-95.6-1.1
235	LTNC27	[NC04-001]	40	35.5288	-83.1922	Madcap Branch	0.006	0.983	0.011	0.6-98.3-1.1
236	LTNC28	[NC05-001]	39	35.4902	-83.2151	Jenkin's Creek	0.027	0.912	0.062	2.7-91.2-6.2
237	LTNC29	[NC06-001]	24	35.4995	-83.1746	Rough Branch	0.095	0.851	0.055	9.5-85.1-5.5
238	LTNC3	[NC03-001]	40	35.52025	-83.22418	Big Witch Creek	0.062	0.846	0.093	6.2-84.6-9.3
240	LTNC31	[WRC376-001]	40	35.26218	-84.04492	Tellico River	0.008	0.936	0.056	0.8-93.6-5.6
241	LTNC32	[WRC377-001]	34	35.25168	-84.0299	Round Mountain Branch	0.015	0.927	0.058	1.5-92.7-5.8
242	LTNC33	[WRC378-001]	31	35.27757	-83.99892	Snowbird Creek	0.014	0.919	0.068	1.4-91.9-6.8
245	LTNC36	[WRC384-001]	28	35.384962	-83.079766	Dark Ridge Creek	0.043	0.939	0.018	4.3-93.9-1.8
246	LTNC37	[WRC109-001]	19	35.39795	-83.993239	Slickrock Creek	0.092	0.897	0.01	9.2-89.7-1
247	LTNC38	[WRC100-001]	20	35.051127	-83.4433848	Henson Creek	0.197	0.777	0.027	19.7-77.7-2.7
248	LTNC39	[WRC103-001]	20	35.3365644	-83.4061966	Little Laurel Creek (trib. of Alarka Cr.)	0.011	0.985	0.004	1.1-98.5-0.4
250	LTNC40	[WRC105-001]	20	35.0812545	-83.2460064	Long Branch	0.778	0.152	0.07	77.8-15.2-7
251	LTNC41	[WRC107-001]	20	35.2703011	-84.0475248	Peckerwood Creek	0.015	0.962	0.023	1.5-96.2-2.3
252	LTNC42	[WRC110-001]	20	35.0512067	-83.2553861	Turtle Pond Creek	0.497	0.483	0.019	49.7-48.3-1.9
253	LTNC43	[WRC114-001]	20	35.032742	-83.436394	UT to Coweeta Creek (near Reynolds Gap)	0.008	0.981	0.01	0.8-98.1-1
254	LTNC44	[WRC115-001]	20	35.2175734	-83.2342281	Wildcat Creek	0.156	0.831	0.014	15.6-83.1-1.4
256	LTNC46	[WRC118-001]	20	35.249133	-83.669244	Pierce Creek ( also listed as Piercy Creek)	0.064	0.924	0.012	6.4-92.4-1.2
257	LTNC47	[WRC267-001]	20	35.382	-83.12	(A) South Fork Sugarloaf Creek	0.007	0.986	0.007	0.7-98.6-0.7
259	LTNC49	[WRC269-001]	19	35.388	-83.126	(A) UT Sugarloaf Creek	0.05	0.943	0.007	5-94.3-0.7
270	LTNC58	[WRC282-001]	20	35.3280919	-83.0582684	(D) Chastine Creek (incl. tribs.)	0.008	0.973	0.019	0.8-97.3-1.9
