unique_id	score	bar_type	jurisdiction	nhs	drain_tot	strkm_tot	upstr_bars	Slope_perc	Q2_m3_s	w_W_m2_ST	hydro_rof	struct_rof	geo_rof	ave_del	ave_aff_del	max_del	ln_comp_del	Observed_Date	crossing_id	featureid
118	0.768	1	NA	NA	6.39	7.759733941	1	3.1199999	2.77197343	138.5969716	0.585502458	0.255637613	NA	NA	NA	NA	NA	NA	xy4300395273019443	201474721
121	0.565	1	NA	NA	0.8694	0.952067066	0	7.25	1.827622105	261.5085177	0.712386539	0.358493737	NA	NA	NA	NA	NA	NA	xy4300346473024569	201474720
124	0.653	1	NA	NA	0.7002	1.031108012	0	4.0700002	0.956452349	106.2015188	0.200160379	0.058365548	NA	NA	NA	NA	NA	NA	xy4298880172954030	201474728
126	0.628	1	NA	NA	0.3969	0.912475709	0	4.54	0.531228678	88.28791006	0.014426686	0.578284459	NA	NA	NA	NA	NA	NA	xy4298987572952728	201474728
128	0.841	1	NA	NA	9.1089	11.30596885	3	3.3099999	8.265389455	253.9009223	0.449959377	0.327288526	NA	NA	NA	NA	NA	NA	xy4299285073011868	201474778
132	0.598	1	NA	NA	0.3312	0.372052438	0	5.4200001	1.027103645	146.5585161	0.717422914	0.631974726	NA	NA	NA	NA	NA	NA	xy4298341572935354	201474796
135	0.626	1	NA	NA	2.6082	2.858384575	0	5.7399998	4.432842074	322.4464768	0.488610134	0.659113261	NA	NA	NA	NA	NA	NA	xy4297084872897253	201474806
139	0.63	1	NA	NA	0.864	0.252407542	0	6.4400001	1.262301094	193.0509672	0.475117644	0.870318477	NA	NA	NA	NA	NA	NA	xy4297985972895795	201474807
140	0.523	1	NA	NA	1.3419	1.12776746	2	7.1500001	1.308189344	218.1955969	0.469949439	0.595412364	NA	NA	NA	NA	NA	NA	xy4297249272894923	201474807
141	0.557	1	NA	NA	1.0188	0.704343604	1	6.4400001	1.262301094	193.0509672	0.921816976	0.64058229	NA	NA	NA	NA	NA	NA	xy4297607672895461	201474807
148	0.627	1	NA	NA	0.3924	0.485947833	0	6.5900002	0.427170724	114.9187243	0.411607458	0.582595553	NA	NA	NA	NA	NA	NA	xy4299545172976800	201474820
151	0.76	1	NA	NA	4.4757	5.306120468	1	2.6700001	4.014606555	142.7372745	0.684789463	0.143435212	NA	NA	NA	NA	NA	NA	xy4296353272838098	201474849
152	0.729	1	NA	NA	4.6926	5.450582345	2	2.6700001	4.014606555	142.7372745	0.479026347	0.98972445	NA	NA	NA	NA	NA	NA	xy4296228672837664	201474849
155	0.592	1	NA	NA	1.4886	0.879022916	0	4.1100001	1.472593352	133.072368	0.59065709	0.836477868	NA	NA	NA	NA	NA	NA	xy4295959072827306	201474850
157	0.71	1	NA	NA	3.591	4.013946441	0	2.51	3.477313284	124.8821195	0.465777812	0.518320759	NA	NA	NA	NA	NA	NA	xy4298931773013015	201474860
164	0.644	1	NA	NA	0.3078	0.779802617	0	NA	NA	NA	0.585857815	0.962117459	NA	NA	NA	NA	NA	NA	xy4297627872953366	201474868
166	0.928	1	NA	NA	69.3459	78.09614844	20	7.52	44.8151403	1343.181962	0.244666941	0.977415234	NA	NA	NA	NA	NA	NA	xy4297256972948191	201474918
167	0	3	NA	NA	69.3459	78.10269325	21	7.52	44.8151403	1343.181962	0.803247306	0.111386798	NA	NA	NA	NA	NA	NA	VT_191.01	201474918
168	0	1	NA	NA	69.3819	78.1623361	22	7.52	44.8151403	1343.181962	0.535717441	0.939001894	NA	NA	NA	NA	NA	NA	xy4297214972948768	201474918
171	0.749	1	NA	NA	3.1005	2.441216815	1	13.0799999	0.077562255	97.19358155	0.222902458	0.25193884	NA	NA	NA	NA	NA	NA	xy4297353272937082	201474870
173	0.602	1	NA	NA	0.9306	0.369410645	0	9.0600004	1.395162489	285.5257261	0.333919277	0.006441855	NA	NA	NA	NA	NA	NA	xy4297075072921639	201474870
179	0.871	1	NA	NA	18.1908	18.20105325	2	0.82	14.47744216	83.24619637	0.067345021	0.338582691	NA	NA	NA	NA	NA	NA	xy4298492372988881	201474902
181	0.765	1	NA	NA	3.9483	2.241215052	0	3.71	5.601722696	234.2822296	0.051889319	0.995058807	NA	NA	NA	NA	NA	NA	xy4298335173044344	201474969
183	0.803	1	NA	NA	7.6536	6.140894922	1	1.54	10.47115118	132.9604745	0.798639399	0.015561241	NA	NA	NA	NA	NA	NA	xy4298479873032380	201474954
184	0	1	NA	NA	10.476	8.665460423	2	3.27	8.415075414	253.0937308	0.484646742	0.828078693	NA	NA	NA	NA	NA	NA	xy4297989873010604	201474954
190	0.64	1	NA	NA	0.774	2.347668819	0	4.6900001	1.422442408	149.2432937	0.101733458	0.220411374	NA	NA	NA	NA	NA	NA	xy4297574372957872	201474932
192	0.571	1	NA	NA	0.1062	0.566484962	0	4.8200002	0.296713797	70.05200269	0.261709548	0.264511968	NA	NA	NA	NA	NA	NA	xy4297551372955891	201474932
196	0.79	1	NA	NA	6.21	5.119782668	0	3.1199999	10.60380921	271.0754341	0.48506821	0.82055998	NA	NA	NA	NA	NA	NA	xy4294972172844175	201474942
206	0.733	1	NA	NA	5.4288	5.233275537	4	2.6099999	4.207455098	142.8416526	0.751768738	0.75064944	NA	NA	NA	NA	NA	NA	xy4296675372889654	201475065
207	0.864	1	NA	NA	12.6657	8.260312072	8	1.33	9.461093359	109.1508068	0.123250187	0.48653617	NA	NA	NA	NA	NA	NA	xy4294439772877580	201475065
208	0.821	1	NA	NA	13.2678	9.219387663	9	1.33	9.461093359	109.1508068	0.637213006	0.531031814	NA	NA	NA	NA	NA	NA	xy4294759572868404	201475065
210	0	3	NA	NA	6.8733	5.550617242	5	0	5.245119697	0	0.663816487	0.056843827	NA	NA	NA	NA	NA	NA	VT_61.01	201475065
211	0.853	1	NA	NA	6.876	5.568573953	6	0.82	5.350695603	50.60851597	0.568923379	0.360230044	NA	NA	NA	NA	NA	NA	xy4296386072888782	201475065
212	0.817	1	NA	NA	10.2573	6.898352392	7	1.04	7.601438702	76.50430136	0.850659444	0.181547542	NA	NA	NA	NA	NA	NA	xy4295429972882760	201475065
214	0.774	1	NA	NA	5.3424	6.177103851	7	2.3499999	4.395558155	131.4557209	0.994333082	0.686084971	NA	NA	NA	NA	NA	NA	xy4297778372877080	201475020
215	0.869	1	NA	NA	9.3852	10.21627995	10	2.1300001	7.058953688	150.9921692	0.823384848	0.607108413	NA	NA	NA	NA	NA	NA	xy4294843772869763	201475020
216	0.918	1	NA	NA	8.64	9.272422786	9	2.1300001	7.058953688	150.9921692	0.933608069	0.359620661	NA	NA	NA	NA	NA	NA	xy4295488672871868	201475020
217	0.824	1	NA	NA	7.7346	8.674649195	8	2.0599999	6.014841081	134.7981458	0.103023485	0.229523856	NA	NA	NA	NA	NA	NA	xy4295956072874927	201475020
232	0.711	1	NA	NA	5.5656	3.179846126	0	1.26	6.600630792	86.37098922	0.184969949	0.637889738	NA	NA	NA	NA	NA	NA	xy4296712673036961	201475418
233	0.847	1	NA	NA	7.2828	5.007087509	2	2.46	7.776597185	183.03517	0.809344127	0.323776506	NA	NA	NA	NA	NA	NA	xy4297268273021513	201475418
234	0.817	1	NA	NA	8.5779	5.716704861	3	3.0799999	6.96717874	216.9121171	0.053109808	0.534158891	NA	NA	NA	NA	NA	NA	xy4297312773013585	201475418
235	0.751	1	NA	NA	6.2091	3.45399037	1	1.26	6.600630792	86.37098922	0.524384502	0.536595601	NA	NA	NA	NA	NA	NA	xy4296818073034394	201475418
236	0.925	1	NA	NA	36.6381	37.19656039	12	1.14	25.35737966	153.1657507	0.881012799	0.330627118	NA	NA	NA	NA	NA	NA	xy4296397772999850	201475117
239	0.923	1	NA	NA	23.1372	23.54694228	3	0.63	16.78838916	68.87310955	0.528854734	0.068971362	NA	NA	NA	NA	NA	NA	xy4296296672994389	201475118
249	0.731	1	NA	NA	4.4937	2.666696756	0	5.75	3.824623801	300.0314892	0.01306653	0.133543608	NA	NA	NA	NA	NA	NA	xy4292580672833032	201475273
250	0.738	1	NA	NA	4.6827	2.943890372	1	5.75	3.824623801	300.0314892	0.741359466	0.892887716	NA	NA	NA	NA	NA	NA	xy4292345372833668	201475273
251	0.739	1	NA	NA	4.8771	3.138319062	2	5.75	3.824623801	300.0314892	0.51375468	0.536873066	NA	NA	NA	NA	NA	NA	xy4292231872835088	201475273
252	0.711	1	NA	NA	4.9671	3.346052552	3	5.75	3.824623801	300.0314892	0.539071643	0.798085585	NA	NA	NA	NA	NA	NA	xy4292167372836917	201475273
253	0.926	1	NA	NA	18.3582	19.8843539	5	1.4400001	12.20660412	134.2346301	0.00389244	0.66218522	NA	NA	NA	NA	NA	NA	xy4292892672840966	201475272
263	0	1	NA	NA	24.0768	21.58068342	21	1.14	16.22917687	122.534314	0.77528398	0.935939968	NA	NA	NA	NA	NA	NA	xy4294293072860228	201475317
264	0.943	1	NA	NA	26.316	22.8328261	23	1.08	17.39905632	120.1963421	0.911149365	0.744126137	NA	NA	NA	NA	NA	NA	xy4293626272848809	201475317
265	0.934	1	NA	NA	25.9272	22.41935456	22	1.08	17.39905632	120.1963421	0.085740582	0.364280036	NA	NA	NA	NA	NA	NA	xy4293877072852302	201475317
273	0.592	1	NA	NA	1.5489	2.162864109	0	9.5699997	1.61245849	324.2356968	0.758483019	0.127042326	NA	NA	NA	NA	NA	NA	xy4292546472887674	201475367
275	0.862	1	NA	NA	8.5221	7.97205753	2	1.79	6.230936962	119.2159412	0.970601278	0.935564237	NA	NA	NA	NA	NA	NA	xy4292140972884585	201475422
276	0.3	3	NA	NA	8.6094	8.079130009	3	1.79	6.230936962	119.2159412	0.498497982	0.327701214	NA	NA	NA	NA	NA	NA	VT_246.04	201475422
279	0.733	1	NA	NA	5.7393	4.86827692	0	3.6600001	4.384366983	204.47451	0.538059456	0.959013154	NA	NA	NA	NA	NA	NA	xy4292821572888925	201475331
282	0.949	1	NA	NA	55.6479	54.02592945	37	0.43	31.55023668	64.44280043	0.21897658	0.546076531	NA	NA	NA	NA	NA	NA	xy4291439572837630	201475435
285	0.65	1	NA	NA	2.3355	2.6786867	0	4.7600002	1.864873716	173.43483	0.6143674	0.366209091	NA	NA	NA	NA	NA	NA	xy4291663172827614	201475340
286	0.7	1	NA	NA	2.5164	2.912598265	1	4.7600002	1.864873716	173.43483	0.503248792	0.246020481	NA	NA	NA	NA	NA	NA	xy4291561572829848	201475340
287	0.689	1	NA	NA	2.8953	3.473833944	2	4.7600002	1.864873716	173.43483	0.521847288	0.933037965	NA	NA	NA	NA	NA	NA	xy4291550772836491	201475340
293	0.815	1	NA	NA	7.3539	4.907172431	1	1.14	7.242204263	81.85493388	0.13537541	0.685870262	NA	NA	NA	NA	NA	NA	xy4294566573002539	201475373
294	0.72	1	NA	NA	9.1287	5.660266202	3	2.27	7.746109934	168.566905	0.333890296	0.136926934	NA	NA	NA	NA	NA	NA	xy4294631072995535	201475373
295	0.792	1	NA	NA	9.2601	5.929665457	4	2.27	7.746109934	168.566905	0.303597918	0.718199582	NA	NA	NA	NA	NA	NA	xy4294796572993381	201475373
296	0.772	1	NA	NA	9.0828	5.604844762	2	2.27	7.746109934	168.566905	0.494960233	0.511529037	NA	NA	NA	NA	NA	NA	xy4294588572995888	201475373
297	0.792	1	NA	NA	9.2601	5.936144906	5	2.27	7.746109934	168.566905	0.363725579	0.759686112	NA	NA	NA	NA	NA	NA	xy4294798372993306	201475373
298	0.848	1	NA	NA	9.405	6.213888153	6	2.27	7.746109934	168.566905	0.125921219	0.714585881	NA	NA	NA	NA	NA	NA	xy4294961972991211	201475373
299	0.969	1	NA	NA	73.377	70.27220827	24	0.48	47.2800835	88.06127648	0.167389694	0.387490541	NA	NA	NA	NA	NA	NA	xy4295037072986301	201475364
304	0.634	1	NA	NA	2.502	0.433911049	0	3.49	2.896473932	158.4765002	0.694334022	0.977165663	NA	NA	NA	NA	NA	NA	xy4294028573019763	201475462
307	0.756	1	NA	NA	9.1755	8.65580751	5	1.79	6.230936962	119.2159412	0.5742063	0.595835663	NA	NA	NA	NA	NA	NA	xy4291740372883040	201475422
310	0.667	1	NA	NA	0.0144	0.090911203	0	1.79	6.230936962	119.2159412	0.337279009	0.819890495	NA	NA	NA	NA	NA	NA	xy4291846572883507	201475422
314	0.653	1	NA	NA	0.2511	0.316326924	0	5.2600002	0.254457524	70.79425942	0.799627272	0.767626349	NA	NA	NA	NA	NA	NA	xy4291430172839201	201475435
315	0.671	1	NA	NA	0.2691	0.42581893	1	5.2600002	0.254457524	70.79425942	0.85569379	0.237646106	NA	NA	NA	NA	NA	NA	xy4291350872838878	201475435
317	0.575	1	NA	NA	3.0753	3.079164571	0	4.4499998	2.731835495	196.2419702	0.932869238	0.159195676	NA	NA	NA	NA	NA	NA	xy4291680972883095	201475564
321	0.621	1	NA	NA	1.6551	1.594936529	0	4.75	1.71481444	165.9612919	0.097379826	0.186672735	NA	NA	NA	NA	NA	NA	xy4291277072852037	201475445
322	0.592	1	NA	NA	1.7928	1.678012672	1	4.75	1.71481444	165.9612919	0.534443877	0.29634732	NA	NA	NA	NA	NA	NA	xy4291218072851607	201475445
323	0.68	1	NA	NA	2.1033	2.263505758	4	4.75	1.71481444	165.9612919	0.350244979	0.740046155	NA	NA	NA	NA	NA	NA	xy4290877572846938	201475445
324	0.633	1	NA	NA	1.8621	1.895866807	3	4.75	1.71481444	165.9612919	0.289695559	0.785414952	NA	NA	NA	NA	NA	NA	xy4291072272850132	201475445
325	0.652	1	NA	NA	1.8549	1.859446448	2	4.75	1.71481444	165.9612919	0.725540256	0.518326949	NA	NA	NA	NA	NA	NA	xy4291087572850528	201475445
336	0.623	1	NA	NA	0.6921	0.681201278	0	6.25	0.759742032	145.3509002	0.604100627	0.368918721	NA	NA	NA	NA	NA	NA	xy4291123672879567	201475473
337	0.599	1	NA	NA	0.711	0.779217156	1	6.25	0.759742032	145.3509002	0.749674909	0.148123262	NA	NA	NA	NA	NA	NA	xy4291178572878638	201475473
339	0.867	1	NA	NA	17.0838	15.93768406	11	1.45	11.40320833	130.6430098	0.356753629	0.506856441	NA	NA	NA	NA	NA	NA	xy4290389972837716	201475486
341	0.918	1	NA	NA	14.922	13.91723182	10	1.33	10.14881142	113.0482588	0.788154275	0.018805561	NA	NA	NA	NA	NA	NA	xy4289759772832620	201475589
348	0.967	1	NA	NA	43.3323	29.29442908	11	1.1900001	29.09323651	171.2567241	0.455117197	0.127018601	NA	NA	NA	NA	NA	NA	xy4293854972981566	201475513
351	0.671	1	NA	NA	3.0249	2.634654127	0	2.9000001	3.245096067	139.385123	0.921561176	0.306752092	NA	NA	NA	NA	NA	NA	xy4290011572801987	201475514
352	0.76	1	NA	NA	3.5127	3.370374883	1	2.9000001	3.245096067	139.385123	0.90096562	0.383525843	NA	NA	NA	NA	NA	NA	xy4289814572809489	201475514
355	0.917	1	NA	NA	18.9162	18.09556272	9	0.43	12.39379086	40.390123	0.214133632	0.144595332	NA	NA	NA	NA	NA	NA	xy4290764172869615	201475578
356	0.901	1	NA	NA	20.6361	18.79763219	10	2.8199999	13.84854552	279.9985684	0.820145326	0.067762893	NA	NA	NA	NA	NA	NA	xy4290240672865643	201475578
357	0.92	1	NA	NA	21.6756	19.8138046	11	2.8199999	13.84854552	279.9985684	0.08518817	0.174509192	NA	NA	NA	NA	NA	NA	xy4289786372855352	201475578
360	0.952	1	NA	NA	76.8708	75.53814507	57	0.45	41.80274887	77.6282068	0.662799459	0.076482057	NA	NA	NA	NA	NA	NA	xy4290555272849613	201475579
362	0	1	NA	NA	0.0747	0.167055986	0	10.1199999	0.321682792	153.143671	0.642172399	0.865378608	NA	NA	NA	NA	NA	NA	xy4290887072853951	201475579
363	0.622	1	NA	NA	0.2223	0.655320216	1	10.1199999	0.321682792	153.143671	0.597404447	0.796623466	NA	NA	NA	NA	NA	NA	xy4290515972851387	201475579
365	0.736	1	NA	NA	4.8969	4.411797746	1	0.37	3.71821591	19.0359109	0.878969938	0.342663981	NA	NA	NA	NA	NA	NA	xy4289606372813080	201475585
366	0.868	1	NA	NA	9.5886	8.36002652	4	1.27	7.370102071	91.99094855	0.623285347	0.713282107	NA	NA	NA	NA	NA	NA	xy4289589272814671	201475585
367	0.841	1	NA	NA	10.0746	8.946952713	5	1.27	7.370102071	91.99094855	0.753690448	0.55717016	NA	NA	NA	NA	NA	NA	xy4289337372820370	201475585
368	0.845	1	NA	NA	10.3167	9.311949262	6	3.76	2.227713176	149.7345811	0.678663359	0.595753674	NA	NA	NA	NA	NA	NA	xy4289195072823314	201475585
370	0.65	1	NA	NA	0.0135	0.033029055	0	3.1400001	0.493470061	58.85247049	0.689848503	0.978385658	NA	NA	NA	NA	NA	NA	xy4286352672822422	201475844
371	0.3	3	NA	NA	2.4903	2.412905401	1	0.03	1.869828492	1.094527715	0.163334118	0.5009566	NA	NA	NA	NA	NA	NA	VT_246.01	201475844
372	0.721	1	NA	NA	2.556	2.55876527	2	3.76	2.227713176	149.7345811	0.470517978	0.132121842	NA	NA	NA	NA	NA	NA	xy4288505272820786	201475844
377	0.962	1	NA	NA	5.625	6.380572592	0	0.99	5.091049157	59.59961788	0.753605192	0.476376347	NA	NA	NA	NA	NA	NA	xy4291975672970351	201475618
383	0.613	1	NA	NA	0.4563	0.491345648	0	0.9	0.484571705	16.71576107	0.421854926	0.026221957	NA	NA	NA	NA	NA	NA	xy4287985972801266	201475651
389	0	1	NA	NA	0.9675	1.407643484	0	7.2800002	0.887856218	183.0237054	0.198719242	0.020657314	NA	NA	NA	NA	NA	NA	xy4291349772959315	201475655
395	0	3	NA	NA	228.4641	226.8745927	64	1.5700001	121.8314262	462.3639469	0.251916474	0.346786723	NA	NA	NA	NA	NA	NA	VT_182.01	201475835
400	0	1	NA	NA	1.8378	1.216842042	0	7.8099999	2.580075391	334.712445	0.288002525	0.490667493	NA	NA	NA	NA	NA	NA	xy4292159873052370	201475751
403	0.968	1	NA	NA	102.654	98.82158925	72	0.28	52.54849993	54.15553194	0.335288553	0.179408235	NA	NA	NA	NA	NA	NA	xy4288607772865108	201475764
409	0.672	1	NA	NA	2.2149	2.028433897	0	3.99	2.750857088	176.5678149	0.267964057	0.110160103	NA	NA	NA	NA	NA	NA	xy4289485772895926	201475825
410	0.676	1	NA	NA	3.5505	2.843631527	2	3.99	2.750857088	176.5678149	0.567301671	0.271871482	NA	NA	NA	NA	NA	NA	xy4288806772894473	201475825
412	0.706	1	NA	NA	3.3219	2.543106074	1	3.99	2.750857088	176.5678149	0.038916428	0.217106968	NA	NA	NA	NA	NA	NA	xy4289062372894651	201475825
414	0.582	1	NA	NA	1.4436	2.491747954	0	10.71	2.478204574	449.8447753	0.891123026	0.328176249	NA	NA	NA	NA	NA	NA	xy4289961672912092	201475828
415	0.611	1	NA	NA	3.2553	4.703719208	4	5.5900002	5.024618184	334.3243307	0.477738698	0.14556017	NA	NA	NA	NA	NA	NA	xy4288527872894761	201475828
416	0.628	1	NA	NA	2.0898	3.965081162	3	10.71	2.478204574	449.8447753	0.040320791	0.369343199	NA	NA	NA	NA	NA	NA	xy4289014972900354	201475828
417	0.624	1	NA	NA	2.0781	3.929116684	2	10.71	2.478204574	449.8447753	0.512353413	0.357776973	NA	NA	NA	NA	NA	NA	xy4289040372900543	201475828
418	0.565	1	NA	NA	1.6758	2.909304979	1	10.71	2.478204574	449.8447753	0.471216467	0.49026899	NA	NA	NA	NA	NA	NA	xy4289644772909382	201475828
421	0.63	1	NA	NA	0.4212	0.342288535	0	NA	NA	NA	0.824111374	0.056656783	NA	NA	NA	NA	NA	NA	xy4289483372970858	201475851
422	0.646	1	NA	NA	1.9143	1.84658398	2	NA	NA	NA	0.062892953	0.085711534	NA	NA	NA	NA	NA	NA	xy4289487772955080	201475851
423	0.58	1	NA	NA	1.8891	1.753120568	1	NA	NA	NA	0.995985644	0.799723239	NA	NA	NA	NA	NA	NA	xy4289482772956221	201475851
427	0.665	1	NA	NA	2.0403	1.2442006	0	3.3599999	1.716807064	117.4639608	0.667271533	0.832059748	NA	NA	NA	NA	NA	NA	xy4287512872859449	201475878
428	0.642	1	NA	NA	2.1285	1.482405887	1	3.3599999	1.716807064	117.4639608	0.408932656	0.486148364	NA	NA	NA	NA	NA	NA	xy4287569772862147	201475878
450	0.607	1	NA	NA	0.4023	0.363991103	0	5.25	0.342344543	81.95880912	0.175711234	0.234142978	NA	NA	NA	NA	NA	NA	xy4284922572727694	201475935
451	0	1	NA	NA	2.0061	2.773790194	2	1.3099999	1.654319611	44.95578825	0.581281027	0.750823706	NA	NA	NA	NA	NA	NA	xy4284445172724975	201475980
454	0.682	1	NA	NA	0.9495	1.368878537	0	1.78	0.774550441	41.7974204	0.561462763	0.1869287	NA	NA	NA	NA	NA	NA	xy4284687372724772	201475936
457	0.805	1	NA	NA	8.2467	8.477351234	8	1.8200001	6.357685646	122.4406304	0.097736919	0.435144141	NA	NA	NA	NA	NA	NA	xy4288157672891195	201475959
458	0.795	1	NA	NA	9.882	9.783642536	9	1.8200001	6.357685646	122.4406304	0.924481845	0.278659078	NA	NA	NA	NA	NA	NA	xy4287200072885470	201475959
461	0	3	NA	NA	0.5706	0.447733618	0	0	3.44562199	0	0.845547435	0.803335955	NA	NA	NA	NA	NA	NA	VT_253.03	201476132
462	0.678	1	NA	NA	3.3453	0.571398347	1	4.23	3.470854991	210.2631835	0.638870713	0.055172515	NA	NA	NA	NA	NA	NA	xy4288988473037091	201476132
463	0	3	NA	NA	4.7007	1.602320201	2	0.24	4.772444381	13.98898811	0.645560898	0.689438027	NA	NA	NA	NA	NA	NA	VT_253.02	201476132
464	0.724	1	NA	NA	4.7025	1.648726083	3	2.6199999	5.299006288	160.9174423	0.437943558	0.750720595	NA	NA	NA	NA	NA	NA	xy4289078773027551	201476132
465	0.77	1	NA	NA	6.3567	3.092924787	6	0.89	5.749225054	56.93761686	0.819276647	0.719271678	NA	NA	NA	NA	NA	NA	xy4289703273016074	201476132
466	0.766	1	NA	NA	6.3486	3.053530984	5	0.89	5.749225054	56.93761686	0.613746398	0.399374816	NA	NA	NA	NA	NA	NA	xy4289694973016546	201476132
467	0	1	NA	NA	5.5926	2.652050861	4	1.25	5.210904392	76.13269382	0.532650787	0.948643653	NA	NA	NA	NA	NA	NA	xy4289578573020544	201476132
469	0.803	1	NA	NA	8.0109	9.033853297	4	17.3199997	6.698679633	1196.043886	0.998656407	0.583633661	NA	NA	NA	NA	NA	NA	xy4288185772948661	201475983
471	1	1	NA	NA	245.0637	247.4045061	73	1.15	137.4384936	359.7134327	0.189823547	0.689299978	NA	NA	NA	NA	NA	NA	xy4288114372948145	201476069
472	1	1	NA	NA	245.9124	248.4121988	75	1.15	137.4384936	359.7134327	0.390862538	0.762802703	NA	NA	NA	NA	NA	NA	xy4287514672945523	201476069
474	1	1	NA	NA	245.3355	247.8388189	74	1.15	137.4384936	359.7134327	0.742834456	0.993159187	NA	NA	NA	NA	NA	NA	xy4287839572945321	201476069
478	0.914	1	NA	NA	19.0881	27.8784943	29	1.7	12.20729692	158.4759336	0.324816966	0.284504975	NA	NA	NA	NA	NA	NA	xy4286534172856625	201476002
479	0.933	1	NA	NA	21.1887	29.66964362	31	0.59	13.07357194	56.91854034	0.407827108	0.045125048	NA	NA	NA	NA	NA	NA	xy4286772672873328	201476002
481	0.943	1	NA	NA	20.3751	28.64063678	30	0.53	12.85646777	50.70389356	0.404018619	0.804102354	NA	NA	NA	NA	NA	NA	xy4286585772864441	201476002
