unique_id	bar_type	drain_tot	drain_bar	strkm_tot	strkm_bar	upstr_bars	slope_perc	Q2_m3_s	w_W_m2_ST	obs_date	jurisdiction	nhs	crossing_id	featureid
152	1	4.6926	0.2169	5.450582345	0.144461877	2	2.6700001	4.014606555	142.7372745	NA	NA	NA	xy4296228672837664	201474849
155	1	1.4886	1.4886	0.879022916	0.879022916	0	4.1100001	1.472593352	133.072368	NA	NA	NA	xy4295959072827306	201474850
157	1	3.591	3.591	4.013946441	4.013946441	0	2.51	3.477313284	124.8821195	NA	NA	NA	xy4298931773013015	201474860
164	1	0.3078	0.3078	0.779802617	0.779802617	0	NA	NA	NA	NA	NA	NA	xy4297627872953366	201474868
166	1	69.3459	41.706	78.09614844	48.10850626	20	7.52	44.8151403	1343.181962	NA	NA	NA	xy4297256972948191	201474918
167	3	69.3459	0	78.10269325	0.006544809	21	7.52	44.8151403	1343.181962	NA	NA	NA	VT_191.01	201474918
168	1	69.3819	0.036	78.1623361	0.059642842	22	7.52	44.8151403	1343.181962	NA	NA	NA	xy4297214972948768	201474918
171	1	3.1005	2.1699	2.441216815	2.07180617	1	13.0799999	0.077562255	97.19358155	NA	NA	NA	xy4297353272937082	201474870
173	1	0.9306	0.9306	0.369410645	0.369410645	0	9.0600004	1.395162489	285.5257261	NA	NA	NA	xy4297075072921639	201474870
179	1	18.1908	17.5608	18.20105325	17.29832967	2	0.82	14.47744216	83.24619637	NA	NA	NA	xy4298492372988881	201474902
181	1	3.9483	3.9483	2.241215052	2.241215052	0	3.71	5.601722696	234.2822296	NA	NA	NA	xy4298335173044344	201474969
183	1	7.6536	3.7053	6.140894922	3.89967987	1	1.54	10.47115118	132.9604745	NA	NA	NA	xy4298479873032380	201474954
184	1	10.476	2.8224	8.665460423	2.524565501	2	3.27	8.415075414	253.0937308	NA	NA	NA	xy4297989873010604	201474954
190	1	0.774	0.774	2.347668819	2.347668819	0	4.6900001	1.422442408	149.2432937	NA	NA	NA	xy4297574372957872	201474932
192	1	0.1062	0.1062	0.566484962	0.566484962	0	4.8200002	0.296713797	70.05200269	NA	NA	NA	xy4297551372955891	201474932
196	1	6.21	6.21	5.119782668	5.119782668	0	3.1199999	10.60380921	271.0754341	NA	NA	NA	xy4294972172844175	201474942
206	1	5.4288	1.4787	5.233275537	1.247123501	4	2.6099999	4.207455098	142.8416526	NA	NA	NA	xy4296675372889654	201475065
207	1	12.6657	2.4084	8.260312072	1.36195968	8	1.33	9.461093359	109.1508068	NA	NA	NA	xy4294439772877580	201475065
208	1	13.2678	0.6021	9.219387663	0.959075591	9	1.33	9.461093359	109.1508068	NA	NA	NA	xy4294759572868404	201475065
210	3	6.8733	1.4445	5.550617242	0.317341705	5	0	5.245119697	0	NA	NA	NA	VT_61.01	201475065
211	1	6.876	0.0027	5.568573953	0.017956711	6	0.82	5.350695603	50.60851597	NA	NA	NA	xy4296386072888782	201475065
212	1	10.2573	3.3813	6.898352392	1.329778439	7	1.04	7.601438702	76.50430136	NA	NA	NA	xy4295429972882760	201475065
214	1	5.3424	0.18	6.177103851	0.499568765	7	2.3499999	4.395558155	131.4557209	NA	NA	NA	xy4297778372877080	201475020
215	1	9.3852	0.7452	10.21627995	0.943857164	10	2.1300001	7.058953688	150.9921692	NA	NA	NA	xy4294843772869763	201475020
216	1	8.64	0.9054	9.272422786	0.597773592	9	2.1300001	7.058953688	150.9921692	NA	NA	NA	xy4295488672871868	201475020
217	1	7.7346	2.3922	8.674649195	2.497545343	8	2.0599999	6.014841081	134.7981458	NA	NA	NA	xy4295956072874927	201475020
232	1	5.5656	5.5656	3.179846126	3.179846126	0	1.26	6.600630792	86.37098922	NA	NA	NA	xy4296712673036961	201475418
233	1	7.2828	1.0737	5.007087509	1.553097139	2	2.46	7.776597185	183.03517	NA	NA	NA	xy4297268273021513	201475418
234	1	8.5779	1.2951	5.716704861	0.709617352	3	3.0799999	6.96717874	216.9121171	NA	NA	NA	xy4297312773013585	201475418
235	1	6.2091	0.6435	3.45399037	0.274144244	1	1.26	6.600630792	86.37098922	NA	NA	NA	xy4296818073034394	201475418
236	1	36.6381	4.8843	37.19656039	7.494479816	12	1.14	25.35737966	153.1657507	NA	NA	NA	xy4296397772999850	201475117
239	1	23.1372	4.9464	23.54694228	5.345889036	3	0.63	16.78838916	68.87310955	NA	NA	NA	xy4296296672994389	201475118
249	1	4.4937	4.4937	2.666696756	2.666696756	0	5.75	3.824623801	300.0314892	NA	NA	NA	xy4292580672833032	201475273
250	1	4.6827	0.189	2.943890372	0.277193615	1	5.75	3.824623801	300.0314892	NA	NA	NA	xy4292345372833668	201475273
251	1	4.8771	0.1944	3.138319062	0.194428691	2	5.75	3.824623801	300.0314892	NA	NA	NA	xy4292231872835088	201475273
252	1	4.9671	0.09	3.346052552	0.207733489	3	5.75	3.824623801	300.0314892	NA	NA	NA	xy4292167372836917	201475273
253	1	18.3582	5.967	19.8843539	8.434965972	5	1.4400001	12.20660412	134.2346301	NA	NA	NA	xy4292892672840966	201475272
263	1	24.0768	1.4238	21.58068342	2.145015812	21	1.14	16.22917687	122.534314	NA	NA	NA	xy4294293072860228	201475317
264	1	26.316	0.3888	22.8328261	0.413471543	23	1.08	17.39905632	120.1963421	NA	NA	NA	xy4293626272848809	201475317
265	1	25.9272	1.8504	22.41935456	0.838671134	22	1.08	17.39905632	120.1963421	NA	NA	NA	xy4293877072852302	201475317
273	1	1.5489	1.5489	2.162864109	2.162864109	0	9.5699997	1.61245849	324.2356968	NA	NA	NA	xy4292546472887674	201475367
275	1	8.5221	1.2339	7.97205753	0.940916502	2	1.79	6.230936962	119.2159412	NA	NA	NA	xy4292140972884585	201475422
276	3	8.6094	0.0873	8.079130009	0.107072478	3	1.79	6.230936962	119.2159412	NA	NA	NA	VT_246.04	201475422
279	1	5.7393	5.7393	4.86827692	4.86827692	0	3.6600001	4.384366983	204.47451	NA	NA	NA	xy4292821572888925	201475331
282	1	55.6479	3.1113	54.02592945	4.488862956	37	0.43	31.55023668	64.44280043	NA	NA	NA	xy4291439572837630	201475435
285	1	2.3355	2.3355	2.6786867	2.6786867	0	4.7600002	1.864873716	173.43483	NA	NA	NA	xy4291663172827614	201475340
286	1	2.5164	0.1809	2.912598265	0.233911565	1	4.7600002	1.864873716	173.43483	NA	NA	NA	xy4291561572829848	201475340
287	1	2.8953	0.3789	3.473833944	0.561235679	2	4.7600002	1.864873716	173.43483	NA	NA	NA	xy4291550772836491	201475340
293	1	7.3539	4.8519	4.907172431	4.473261382	1	1.14	7.242204263	81.85493388	NA	NA	NA	xy4294566573002539	201475373
294	1	9.1287	0.0459	5.660266202	0.05542144	3	2.27	7.746109934	168.566905	NA	NA	NA	xy4294631072995535	201475373
295	1	9.2601	0.1314	5.929665457	0.269399255	4	2.27	7.746109934	168.566905	NA	NA	NA	xy4294796572993381	201475373
296	1	9.0828	1.7289	5.604844762	0.697672331	2	2.27	7.746109934	168.566905	NA	NA	NA	xy4294588572995888	201475373
297	1	9.2601	0	5.936144906	0.00647945	5	2.27	7.746109934	168.566905	NA	NA	NA	xy4294798372993306	201475373
298	1	9.405	0.1449	6.213888153	0.277743247	6	2.27	7.746109934	168.566905	NA	NA	NA	xy4294961972991211	201475373
299	1	73.377	4.1967	70.27220827	3.314817445	24	0.48	47.2800835	88.06127648	NA	NA	NA	xy4295037072986301	201475364
304	1	2.502	2.502	0.433911049	0.433911049	0	3.49	2.896473932	158.4765002	NA	NA	NA	xy4294028573019763	201475462
307	1	9.1755	0.5517	8.65580751	0.485766299	5	1.79	6.230936962	119.2159412	NA	NA	NA	xy4291740372883040	201475422
310	1	0.0144	0.0144	0.090911203	0.090911203	0	1.79	6.230936962	119.2159412	NA	NA	NA	xy4291846572883507	201475422
314	1	0.2511	0.2511	0.316326924	0.316326924	0	5.2600002	0.254457524	70.79425942	NA	NA	NA	xy4291430172839201	201475435
315	1	0.2691	0.018	0.42581893	0.109492007	1	5.2600002	0.254457524	70.79425942	NA	NA	NA	xy4291350872838878	201475435
317	1	3.0753	3.0753	3.079164571	3.079164571	0	4.4499998	2.731835495	196.2419702	NA	NA	NA	xy4291680972883095	201475564
321	1	1.6551	1.6551	1.594936529	1.594936529	0	4.75	1.71481444	165.9612919	NA	NA	NA	xy4291277072852037	201475445
322	1	1.7928	0.1377	1.678012672	0.083076143	1	4.75	1.71481444	165.9612919	NA	NA	NA	xy4291218072851607	201475445
323	1	2.1033	0.2412	2.263505758	0.367638951	4	4.75	1.71481444	165.9612919	NA	NA	NA	xy4290877572846938	201475445
324	1	1.8621	0.0072	1.895866807	0.036420358	3	4.75	1.71481444	165.9612919	NA	NA	NA	xy4291072272850132	201475445
325	1	1.8549	0.0621	1.859446448	0.181433776	2	4.75	1.71481444	165.9612919	NA	NA	NA	xy4291087572850528	201475445
336	1	0.6921	0.6921	0.681201278	0.681201278	0	6.25	0.759742032	145.3509002	NA	NA	NA	xy4291123672879567	201475473
337	1	0.711	0.0189	0.779217156	0.098015877	1	6.25	0.759742032	145.3509002	NA	NA	NA	xy4291178572878638	201475473
339	1	17.0838	2.1618	15.93768406	2.020452235	11	1.45	11.40320833	130.6430098	NA	NA	NA	xy4290389972837716	201475486
341	1	14.922	2.0493	13.91723182	2.046517291	10	1.33	10.14881142	113.0482588	NA	NA	NA	xy4289759772832620	201475589
348	1	43.3323	30.042	29.29442908	20.56610098	11	1.1900001	29.09323651	171.2567241	NA	NA	NA	xy4293854972981566	201475513
351	1	3.0249	3.0249	2.634654127	2.634654127	0	2.9000001	3.245096067	139.385123	NA	NA	NA	xy4290011572801987	201475514
352	1	3.5127	0.4878	3.370374883	0.735720756	1	2.9000001	3.245096067	139.385123	NA	NA	NA	xy4289814572809489	201475514
355	1	18.9162	5.9544	18.09556272	5.581373478	9	0.43	12.39379086	40.390123	NA	NA	NA	xy4290764172869615	201475578
356	1	20.6361	1.7199	18.79763219	0.702069479	10	2.8199999	13.84854552	279.9985684	NA	NA	NA	xy4290240672865643	201475578
357	1	21.6756	1.0395	19.8138046	1.016172402	11	2.8199999	13.84854552	279.9985684	NA	NA	NA	xy4289786372855352	201475578
360	1	76.8708	1.7667	75.53814507	2.885206868	57	0.45	41.80274887	77.6282068	NA	NA	NA	xy4290555272849613	201475579
362	1	0.0747	0.0747	0.167055986	0.167055986	0	10.1199999	0.321682792	153.143671	NA	NA	NA	xy4290887072853951	201475579
363	1	0.2223	0.1476	0.655320216	0.48826423	1	10.1199999	0.321682792	153.143671	NA	NA	NA	xy4290515972851387	201475579
365	1	4.8969	4.4406	4.411797746	3.920452098	1	0.37	3.71821591	19.0359109	NA	NA	NA	xy4289606372813080	201475585
366	1	9.5886	1.179	8.36002652	0.577853891	4	1.27	7.370102071	91.99094855	NA	NA	NA	xy4289589272814671	201475585
367	1	10.0746	0.486	8.946952713	0.586926194	5	1.27	7.370102071	91.99094855	NA	NA	NA	xy4289337372820370	201475585
368	1	10.3167	0.2421	9.311949262	0.364996549	6	3.76	2.227713176	149.7345811	NA	NA	NA	xy4289195072823314	201475585
370	1	0.0135	0.0135	0.033029055	0.033029055	0	3.1400001	0.493470061	58.85247049	NA	NA	NA	xy4286352672822422	201475844
371	3	2.4903	2.4768	2.412905401	2.379876346	1	0.03	1.869828492	1.094527715	NA	NA	NA	VT_246.01	201475844
372	1	2.556	0.0657	2.55876527	0.145859869	2	3.76	2.227713176	149.7345811	NA	NA	NA	xy4288505272820786	201475844
377	1	5.625	5.625	6.380572592	6.380572592	0	0.99	5.091049157	59.59961788	NA	NA	NA	xy4291975672970351	201475618
383	1	0.4563	0.4563	0.491345648	0.491345648	0	0.9	0.484571705	16.71576107	NA	NA	NA	xy4287985972801266	201475651
389	1	0.9675	0.9675	1.407643484	1.407643484	0	7.2800002	0.887856218	183.0237054	NA	NA	NA	xy4291349772959315	201475655
395	3	228.4641	34.9002	226.8745927	38.44324943	64	1.5700001	121.8314262	462.3639469	NA	NA	NA	VT_182.01	201475835
400	1	1.8378	1.8378	1.216842042	1.216842042	0	7.8099999	2.580075391	334.712445	NA	NA	NA	xy4292159873052370	201475751
403	1	102.654	3.8853	98.82158925	2.814319373	72	0.28	52.54849993	54.15553194	NA	NA	NA	xy4288607772865108	201475764
409	1	2.2149	2.2149	2.028433897	2.028433897	0	3.99	2.750857088	176.5678149	NA	NA	NA	xy4289485772895926	201475825
410	1	3.5505	0.2286	2.843631527	0.300525452	2	3.99	2.750857088	176.5678149	NA	NA	NA	xy4288806772894473	201475825
412	1	3.3219	1.107	2.543106074	0.514672177	1	3.99	2.750857088	176.5678149	NA	NA	NA	xy4289062372894651	201475825
414	1	1.4436	1.4436	2.491747954	2.491747954	0	10.71	2.478204574	449.8447753	NA	NA	NA	xy4289961672912092	201475828
415	1	3.2553	1.1655	4.703719208	0.738638046	4	5.5900002	5.024618184	334.3243307	NA	NA	NA	xy4288527872894761	201475828
416	1	2.0898	0.0117	3.965081162	0.035964478	3	10.71	2.478204574	449.8447753	NA	NA	NA	xy4289014972900354	201475828
417	1	2.0781	0.4023	3.929116684	1.019811705	2	10.71	2.478204574	449.8447753	NA	NA	NA	xy4289040372900543	201475828
418	1	1.6758	0.2322	2.909304979	0.417557026	1	10.71	2.478204574	449.8447753	NA	NA	NA	xy4289644772909382	201475828
421	1	0.4212	0.4212	0.342288535	0.342288535	0	NA	NA	NA	NA	NA	NA	xy4289483372970858	201475851
422	1	1.9143	0.0252	1.84658398	0.093463412	2	NA	NA	NA	NA	NA	NA	xy4289487772955080	201475851
423	1	1.8891	1.4679	1.753120568	1.410832033	1	NA	NA	NA	NA	NA	NA	xy4289482772956221	201475851
427	1	2.0403	2.0403	1.2442006	1.2442006	0	3.3599999	1.716807064	117.4639608	NA	NA	NA	xy4287512872859449	201475878
428	1	2.1285	0.0882	1.482405887	0.238205287	1	3.3599999	1.716807064	117.4639608	NA	NA	NA	xy4287569772862147	201475878
450	1	0.4023	0.4023	0.363991103	0.363991103	0	5.25	0.342344543	81.95880912	NA	NA	NA	xy4284922572727694	201475935
451	1	2.0061	0.6543	2.773790194	1.040920554	2	1.3099999	1.654319611	44.95578825	NA	NA	NA	xy4284445172724975	201475980
454	1	0.9495	0.9495	1.368878537	1.368878537	0	1.78	0.774550441	41.7974204	NA	NA	NA	xy4284687372724772	201475936
457	1	8.2467	1.4409	8.477351234	0.9300005	8	1.8200001	6.357685646	122.4406304	NA	NA	NA	xy4288157672891195	201475959
458	1	9.882	1.6353	9.783642536	1.306291302	9	1.8200001	6.357685646	122.4406304	NA	NA	NA	xy4287200072885470	201475959
461	3	0.5706	0.5706	0.447733618	0.447733618	0	0	3.44562199	0	NA	NA	NA	VT_253.03	201476132
462	1	3.3453	2.7747	0.571398347	0.123664729	1	4.23	3.470854991	210.2631835	NA	NA	NA	xy4288988473037091	201476132
463	3	4.7007	1.3554	1.602320201	1.030921854	2	0.24	4.772444381	13.98898811	NA	NA	NA	VT_253.02	201476132
464	1	4.7025	0.0018	1.648726083	0.046405881	3	2.6199999	5.299006288	160.9174423	NA	NA	NA	xy4289078773027551	201476132
465	1	6.3567	0.0081	3.092924787	0.039393804	6	0.89	5.749225054	56.93761686	NA	NA	NA	xy4289703273016074	201476132
466	1	6.3486	0.756	3.053530984	0.401480122	5	0.89	5.749225054	56.93761686	NA	NA	NA	xy4289694973016546	201476132
467	1	5.5926	0.8901	2.652050861	1.003324778	4	1.25	5.210904392	76.13269382	NA	NA	NA	xy4289578573020544	201476132
469	1	8.0109	0.3321	9.033853297	0.893796532	4	17.3199997	6.698679633	1196.043886	NA	NA	NA	xy4288185772948661	201475983
471	1	245.0637	6.6744	247.4045061	9.649476124	73	1.15	137.4384936	359.7134327	NA	NA	NA	xy4288114372948145	201476069
472	1	245.9124	0.5769	248.4121988	0.573379857	75	1.15	137.4384936	359.7134327	NA	NA	NA	xy4287514672945523	201476069
474	1	245.3355	0.2718	247.8388189	0.434312771	74	1.15	137.4384936	359.7134327	NA	NA	NA	xy4287839572945321	201476069
478	1	19.0881	0.6903	27.8784943	1.569946952	29	1.7	12.20729692	158.4759336	NA	NA	NA	xy4286534172856625	201476002
479	1	21.1887	0.8136	29.66964362	1.02900684	31	0.59	13.07357194	56.91854034	NA	NA	NA	xy4286772672873328	201476002
481	1	20.3751	1.287	28.64063678	0.762142482	30	0.53	12.85646777	50.70389356	NA	NA	NA	xy4286585772864441	201476002
482	1	108.0918	3.3093	104.6772351	4.373239953	75	0.26	55.0933445	51.49055015	NA	NA	NA	xy4286851372871184	201475972
485	1	0.6201	0.6201	0.484074482	0.484074482	0	7.6100001	0.461958084	138.0036527	NA	NA	NA	xy4287089472879700	201475971
487	1	0.6471	0.6471	0.266254066	0.266254066	0	6.46	0.952954945	168.2570754	NA	NA	NA	xy4286864972848345	201475973
491	1	4.1976	3.6531	3.177052629	2.892450802	1	4.2199998	6.657503787	290.5178168	NA	NA	NA	xy4287862272956428	201476151
493	1	1.9404	1.9404	2.998268246	2.998268246	0	6.9299998	3.101457131	325.6272537	NA	NA	NA	xy4288370272972946	201476090
494	1	3.4812	1.5408	4.963004135	1.96473589	1	NA	NA	NA	NA	NA	NA	xy4288188272954118	201476090
497	1	0.6876	0.6876	0.575432289	0.575432289	0	6.0500002	1.038372921	164.488938	NA	NA	NA	xy4285502772854471	201476086
498	1	1.3131	0.6255	1.318428146	0.742995858	1	0.52	11.90491782	47.87085231	NA	NA	NA	xy4286123172853196	201476008
500	1	1.7064	1.7064	2.577367104	2.577367104	0	6.77	1.488422425	220.3719939	NA	NA	NA	xy4287109872905526	201476011
501	1	2.1087	0	2.72234665	0.018943644	2	21.5300007	1.504914074	704.7004143	NA	NA	NA	xy4287041072904040	201476011
503	1	2.1087	0.4023	2.703403006	0.126035902	1	21.5300007	1.504914074	704.7004143	NA	NA	NA	xy4287050372904236	201476011
507	1	0.126	0.126	0.27589466	0.27589466	0	10.1199999	0.765133955	236.1858507	NA	NA	NA	xy4287177272901501	201476012
510	1	2.7234	2.7	4.071243868	3.964448343	1	1.38	1.926080931	51.10000964	NA	NA	NA	xy4284003972723752	201476024
514	1	0.0234	0.0234	0.106795525	0.106795525	0	6.2199998	0.187220499	71.80781315	NA	NA	NA	xy4284976172708341	201476024
525	1	16.4376	1.5246	24.72386514	3.029399546	25	0.72	11.03691697	63.82062203	NA	NA	NA	xy4286048572851007	201476033
528	1	3.3651	2.7216	4.456192698	3.638353327	3	2.3	8.358306259	177.4155159	NA	NA	NA	xy4286254072837162	201476034
529	1	3.5838	0.1521	5.084767157	0.520310944	5	2.3	8.358306259	177.4155159	NA	NA	NA	xy4285806972840533	201476034
530	1	3.4317	0.0666	4.564456213	0.108263515	4	2.3	8.358306259	177.4155159	NA	NA	NA	xy4286179772837961	201476034
536	1	0.5634	0.5634	0.412669041	0.412669041	0	4.79	0.750140005	110.6907435	NA	NA	NA	xy4287454472840543	201476034
537	1	0.5832	0.0198	0.478754283	0.066085242	1	4.79	0.750140005	110.6907435	NA	NA	NA	xy4287395472840556	201476034
539	1	0.0603	0.0603	0.339085088	0.339085088	0	4.02	0.276310172	56.3805254	NA	NA	NA	xy4287671572835977	201476034
541	1	3.0402	3.0402	2.411190516	2.411190516	0	4.5999999	2.437979278	191.6361596	NA	NA	NA	xy4287195672923612	201476042
545	1	7.5492	1.1439	9.644112363	1.772075985	10	0.88	8.300937498	67.64736319	NA	NA	NA	xy4285527972837721	201476060
546	1	256.3434	7.3908	259.0435269	8.220137575	77	3.6600001	125.8318995	1095.421103	NA	NA	NA	xy4287065672919557	201476053
549	1	1.1511	1.1511	1.360597095	1.360597095	0	9.8800001	1.138375238	281.2576224	NA	NA	NA	xy4286863872917609	201476133
550	1	1.1592	0.0081	1.455396135	0.094799039	1	9.8800001	1.138375238	281.2576224	NA	NA	NA	xy4286877072916459	201476133
553	1	1.0962	1.0962	1.136161769	1.136161769	0	8.0200005	0.975646437	211.3611951	NA	NA	NA	xy4286600972908037	201476131
557	1	0.5823	0.5823	0.949609565	0.949609565	0	8.5100002	0.535916718	166.2198384	NA	NA	NA	xy4285441472814705	201476060
558	1	0.5868	0.0045	0.979193964	0.029584399	1	8.5100002	0.535916718	166.2198384	NA	NA	NA	xy4285463272814911	201476060
559	1	0.5904	0.0036	1.018373086	0.039179122	2	1.74	4.434477842	97.76313653	NA	NA	NA	xy4285490972815199	201476060
562	1	6.4053	0.5904	7.872036378	0.684914933	9	3.8199999	5.09344769	230.0244028	NA	NA	NA	xy4285634872825507	201476060
564	1	5.0472	0.0711	6.566768293	0.226272532	6	1.74	4.434477842	97.76313653	NA	NA	NA	xy4285487972816695	201476060
565	1	5.7015	0.6543	7.054490862	0.48772257	7	1.74	4.434477842	97.76313653	NA	NA	NA	xy4285513572821544	201476060
566	1	5.8149	0.1134	7.187121445	0.132630583	8	1.74	4.434477842	97.76313653	NA	NA	NA	xy4285586472822744	201476060
568	1	3.6459	3.6459	4.473420737	4.473420737	0	NA	NA	NA	NA	NA	NA	xy4286034772811703	201476060
569	1	3.942	0.2961	4.935837295	0.462416558	1	3.9100001	3.406997351	192.5605405	NA	NA	NA	xy4285666972811367	201476060
570	1	4.3857	0.4437	5.322122674	0.386285379	2	3.9100001	3.406997351	192.5605405	NA	NA	NA	xy4285522672814269	201476060
573	1	1.3545	1.3545	1.196205097	1.196205097	0	0.08	2.107452108	3.098656715	NA	NA	NA	xy4288938873020833	201476089
575	1	3.6342	3.6342	3.109826972	3.109826972	0	6.7800002	3.674775124	346.7765507	NA	NA	NA	xy4288852973009100	201476205
576	1	3.7413	0.1071	3.222356182	0.11252921	1	3.05	3.812504161	158.8947789	NA	NA	NA	xy4288951173008868	201476205
582	1	0.6957	0.6957	0.532051157	0.532051157	0	8.1800003	0.136552534	80.65064285	NA	NA	NA	xy4283445372687634	201476108
583	1	1.26	0.5643	1.130737723	0.598686566	1	5.75	3.62023712	291.9046307	NA	NA	NA	xy4282927372688383	201476108
597	1	0.7164	0.7164	0.956689866	0.956689866	0	9.0799999	0.724896472	206.2663907	NA	NA	NA	xy4284903072841060	201476141
600	1	3.0312	0.8073	5.942361045	1.621448958	5	3.6099999	2.349177226	147.6283316	NA	NA	NA	xy4284785072835685	201476152
601	1	3.0636	0.0324	6.008896203	0.066535158	6	3.6099999	2.349177226	147.6283316	NA	NA	NA	xy4284826972836254	201476152
604	1	0.7074	0.3573	1.425423971	1.004110879	1	6.3899999	1.533597114	211.1354323	NA	NA	NA	xy4284110672835453	201476211
607	1	0.3591	0.3591	0.518166437	0.518166437	0	7.75	0.449026453	138.561411	NA	NA	NA	xy4284291272829383	201476171
610	1	1.134	1.134	2.25968263	2.25968263	0	6.4699998	1.014735428	173.8942852	NA	NA	NA	xy4284580172829112	201476171
611	1	1.1574	0.0234	2.37732168	0.11763905	1	6.4699998	1.014735428	173.8942852	NA	NA	NA	xy4284557272830503	201476171
