layer	short_heading	long_heading	unit	direction	data_type	scale	display	rank	tooltip	conversion
crossings	max_rof	Integrated Risk		reverse	decimal	linear	yes	3	Maximum value for hydrologic, structural, and geomorphic risk of failure (0 = Good, 1 = Poor)	
crossings	ave_del	Average Delay	Min.	reverse	decimal	log	not yet	12	Average traffic delay to emergency sevices for all trips if road-stream crossing becomes compromised 	
crossings	ave_aff_del	Average Affected Delay	Min.	reverse	decimal	log	not yet	13	Average traffic delay to emergency sevices for affected trips if road-stream crossing becomes compromised 	
crossings	max_del	Maximum Delay	Min.	reverse	decimal	log	not yet	11	Maximum traffic delay to emergency sevices for all trips if road-stream crossing becomes compromised 	
crossings	int_eco_dis	Integrated Disruption		reverse	decimal	linear	yes	1	Maximum value for IEI weighted delta and IEI weighted delta 16 C scores	
crossings	ln_comp_del	Integrated Delay		reverse	decimal	linear	yes	4	Sum of all logistically converted trip delays transformed by the natural logarithm and scaled to most affected crossing (0 = Least affected, 1 = most affected)	
crossings	delta_scaled	Delta Score		forward	decimal	linear	not yet	6	Need description	
crossings	effect_scaled	IEI Weighted Delta		forward	decimal	linear	not yet	7	Need description	
crossings	effect_scaled_16	IEI Weighted Delta 16 C		forward	decimal	linear	not yet	8	Need description	
crossings	effect_scaled_18	IEI Weighted Delta 18 C		forward	decimal	linear	not yet	9	Need description	
crossings	effect_scaled_20	IEI Weighted Delta 20 C		forward	decimal	linear	not yet	10	Need description	
crossings	Observed_Date	Assessment Date		forward	date	linear	no	26	Date the crossing was field assessed (NA indicates crossing has not been field assessed)	
crossings	trans_vuln	Transportation Vulnerability		reverse	decimal	linear	yes	2	The transportation system vulnerability score calculated by multiplying the Emergency Service Disruption score by the Crossing Risk of Failure score, both of which are selected in the stream crossing prioritization window	
crossings	cross_prior	Crossing Prioritization		reverse	decimal	linear	yes	0	The crossing prioritization score calculated by adding the maximum value of the Ecological Disruption and Transportation System Vulnerability scores to the average of those two scores and rescaling to the highest value resulting in a range of 0 (low) to 1 (high)	
crossings	featureid	Feature ID		forward	integer	linear	never	29	The unique identifier of the catchment in which the stream crossing is located	
crossings	unique_id	Unique ID		forward	integer	linear	never	28	The unique identifier of the stream crossing	
crossings	crossing_id	Crossing ID		forward	text	linear	never	27	The NAACC XY identifier (culverts and bridges) or TNC identifier (dams) of the stream crossing	
catchments	agriculture	Agriculture	%	reverse	decimal	log	yes	2	Percentage of the catchment used for agriculture	
catchments	elevation	Elevation	M	forward	decimal	linear	yes	0	Average elevation (meters) of the catchment	
catchments	forest	Forest Cover	%	forward	decimal	log_rec	yes	1	Percentage of the catchment covered with forest	
catchments	impervious	Impervious Surface	%	reverse	decimal	log	yes	3	Percentage of the catchment covered with impervious surface	
catchments	slope_pcnt	Slope	%	forward	decimal	log	yes	4	Average slope (percent) of the catchment	
catchments	water	Water Cover	%	reverse	decimal	log	yes	5	Percentage of the catchment covered with water	
catchments	featureid	Feature ID		forward	integer	linear	never	6	The unique identifier of the catchment	
streams	str_order	Stream Order		forward	text	categorical	yes	0	Stream order (Strahler method) of stream reach	{"1":"1","2":"2","3":"3","4":"4","5":"5","6":"6"}
streams	occ_cur	Habitat Suitability		reverse	decimal	log_rec	yes	1	Probability of habitat suitability of stream reach for brook trout	
streams	T_mean_sum	Temperature	C	forward	decimal	linear	yes	2	Average summer temperature (degrees celsius) of stream reach	
streams	T_inertia	Resistance	C	reverse	decimal	linear	yes	3	Total summed differences (degrees celsius) between predicted water temperature and air temperature for the spring to fall time period	
streams	featureid	Feature ID		forward	integer	linear	never	7	The unique identifier of the catchment in which the stream centroid is located	
streams	unique_id	Unique ID		forward	integer	linear	never	6	The unique identifier of the stream	
streams	from_node	From Node		forward	integer	linear	never	4	The unique identifier of the first point of the stream reach	
streams	to_node	To Node		forward	integer	linear	never	5	The unique identifier of the last point of the stream reach	
political	state	State								
political	county	County								
political	town	Town								
political	dot_district	DOT District								
political	huc12_name	HUC 12								
