layer	short_heading	long_heading	unit	direction	data_type	scale	display	rank	tooltip	conversion
crossings	ln_comp_del	Overall EMS Delay		reverse	decimal	linear	yes	4	Integrated metric that combines frequency of use by EMS and potential delays for each trip (0 = Least affected, 1 = Most affected) (sum of all logistically converted trip delays transformed by the natural logarithm and scaled to most affected crossing)	
crossings	delta_scaled	Connectivity Loss		forward	decimal	linear	not yet	6	Loss of aquatic connectivity caused by crossing impassibility	
crossings	effect_scaled	Connectivity Restoration Potential		forward	decimal	linear	not yet	7	Potential for improved aquatic connectivity via crossing replacement (connectivity loss weighted by habitat quality)	
crossings	effect_scaled_16	Coldwater (16 C) Restoration Potential		forward	decimal	linear	not yet	8	Potential for improved aquatic connectivity of coldwater streams (below 16 C average summer temperature) via crossing replacement (connectivity loss weighted by habitat quality) 0 = Low, 1 = High	
crossings	effect_scaled_18	Coldwater (18 C) Restoration Potential		forward	decimal	linear	not yet	9	Potential for improved aquatic connectivity of coldwater streams (below 18 C average summer temperature) via crossing replacement (connectivity loss weighted by habitat quality)  0 = Low, 1 = High	
crossings	effect_scaled_20	Coldwater (20 C) Restoration Potential		forward	decimal	linear	not yet	10	Potential for improved aquatic connectivity of coldwater streams (below 20 C average summer temperature) via crossing replacement (connectivity loss weighted by habitat quality)  0 = Low, 1 = High	
crossings	Observed_Date	Assessment Date		forward	date	linear	no	24	Date the crossing was field assessed (NA indicates crossing has not been field assessed)	
crossings	trans_vuln	Transportation Vulnerability		reverse	decimal	linear	yes	2	Transportation system vulnerability score that combines the Overall EMS delay score (criticality) and Overall Risk of Failure score (risk)	
crossings	cross_prior	Crossing Prioritization		reverse	decimal	linear	yes	0	Crossing prioritization score that combines the maximum value of the Ecological Disruption and Transportation Vulnerability scores (0 = Low, 1 = High)	
crossings	featureid	Feature ID		forward	integer	linear	never	29	The unique identifier of the catchment in which the stream crossing is located	
crossings	unique_id	Unique ID		forward	integer	linear	never	28	The unique identifier of the stream crossing	
crossings	crossing_id	Crossing ID		forward	text	linear	never	27	The NAACC XY identifier (culverts and bridges) or TNC identifier (dams) of the stream crossing	
catchments	agriculture	Agriculture	%	reverse	decimal	log	yes	3	Percentage of the catchment used for agriculture	
catchments	elevation	Elevation	M	forward	decimal	linear	yes	0	Average elevation (meters) of the catchment	
catchments	forest	Forest Cover	%	forward	decimal	linear	yes	2	Percentage of the catchment covered with forest	
catchments	impervious	Impervious Surface	%	reverse	decimal	log	yes	5	Percentage of the catchment covered with impervious surface	
catchments	slope_pcnt	Catchment Slope	%	forward	decimal	log	yes	1	Average hillside slope (percent) of the catchment	
catchments	water	Water Cover	%	reverse	decimal	log	yes	4	Percentage of the catchment covered with water	
catchments	featureid	Feature ID		forward	integer	linear	never	6	The unique identifier of the catchment	
streams	str_order	Stream Order		forward	text	categorical	yes	0	Stream order (Strahler method) of stream reach	{"1":"1","2":"2","3":"3","4":"4","5":"5","6":"6"}
streams	occ_cur	Trout Habitat Suitability		reverse	decimal	linear	yes	1	Probability that the stream reach is suitable for brook trout	
streams	T_mean_sum	Stream Temperature	C	forward	decimal	linear	yes	2	Average predicted summer temperature (degrees C) of stream reach	
streams	T_inertia	Stream Temperature Resistance		reverse	decimal	linear	yes	3	Predicted resistance of stream temperature to changes in air temperature (0 = Low, 1 = High)	
streams	featureid	Feature ID		forward	integer	linear	never	7	The unique identifier of the catchment (in which the stream centroid is located)	
streams	unique_id	Unique ID		forward	integer	linear	never	6	The unique identifier of the stream	
streams	from_node	From Node		forward	integer	linear	never	4	The unique identifier of the first point of the stream reach	
streams	to_node	To Node		forward	integer	linear	never	5	The unique identifier of the last point of the stream reach	
political	state	State								
political	county	County								
political	town	Town								
political	dot_district	DOT District								
political	huc12_name	HUC 12								
political	ej_criteria	Environmental Justice								
